,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
0,,,Afghanistan,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
1,,,Afghanistan,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
2,,,Afghanistan,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
3,,,Afghanistan,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
4,,,Afghanistan,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
5,,,Afghanistan,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
6,,,Afghanistan,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
7,,,Afghanistan,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
8,,,Afghanistan,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
9,,,Afghanistan,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
10,,,Afghanistan,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
11,,,Afghanistan,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
12,,,Afghanistan,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
13,,,Afghanistan,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
14,,,Afghanistan,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
15,,,Afghanistan,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
16,,,Afghanistan,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
17,,,Afghanistan,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
18,,,Afghanistan,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
19,,,Afghanistan,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
20,,,Afghanistan,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
21,,,Afghanistan,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
22,,,Afghanistan,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
23,,,Afghanistan,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
24,,,Afghanistan,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
25,,,Afghanistan,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
26,,,Afghanistan,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
27,,,Afghanistan,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
28,,,Afghanistan,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
29,,,Afghanistan,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
30,,,Afghanistan,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
31,,,Afghanistan,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
32,,,Afghanistan,2020-02-24,ConfirmedCases,1.0,Fatalities,0.0
33,,,Afghanistan,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
34,,,Afghanistan,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
35,,,Afghanistan,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
36,,,Afghanistan,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
37,,,Afghanistan,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
38,,,Afghanistan,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
39,,,Afghanistan,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
40,,,Afghanistan,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
41,,,Afghanistan,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
42,,,Afghanistan,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
43,,,Afghanistan,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
44,,,Afghanistan,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
45,,,Afghanistan,2020-03-08,ConfirmedCases,3.0,Fatalities,0.0
46,,,Afghanistan,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
47,,,Afghanistan,2020-03-10,ConfirmedCases,1.0,Fatalities,0.0
48,,,Afghanistan,2020-03-11,ConfirmedCases,2.0,Fatalities,0.0
