,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
107,,,Albania,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
108,,,Albania,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
109,,,Albania,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
110,,,Albania,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
111,,,Albania,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
112,,,Albania,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
113,,,Albania,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
114,,,Albania,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
115,,,Albania,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
116,,,Albania,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
117,,,Albania,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
118,,,Albania,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
119,,,Albania,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
120,,,Albania,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
121,,,Albania,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
122,,,Albania,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
123,,,Albania,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
124,,,Albania,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
125,,,Albania,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
126,,,Albania,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
127,,,Albania,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
128,,,Albania,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
129,,,Albania,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
130,,,Albania,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
131,,,Albania,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
132,,,Albania,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
133,,,Albania,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
134,,,Albania,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
135,,,Albania,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
136,,,Albania,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
137,,,Albania,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
138,,,Albania,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
139,,,Albania,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
140,,,Albania,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
141,,,Albania,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
142,,,Albania,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
143,,,Albania,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
144,,,Albania,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
145,,,Albania,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
146,,,Albania,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
147,,,Albania,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
148,,,Albania,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
149,,,Albania,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
150,,,Albania,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
151,,,Albania,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
152,,,Albania,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
153,,,Albania,2020-03-09,ConfirmedCases,2.0,Fatalities,0.0
154,,,Albania,2020-03-10,ConfirmedCases,8.0,Fatalities,0.0
155,,,Albania,2020-03-11,ConfirmedCases,2.0,Fatalities,1.0
156,,,Albania,2020-03-12,ConfirmedCases,11.0,Fatalities,0.0
157,,,Albania,2020-03-13,ConfirmedCases,10.0,Fatalities,0.0
158,,,Albania,2020-03-14,ConfirmedCases,5.0,Fatalities,0.0
159,,,Albania,2020-03-15,ConfirmedCases,4.0,Fatalities,0.0
160,,,Albania,2020-03-16,ConfirmedCases,9.0,Fatalities,0.0
161,,,Albania,2020-03-17,ConfirmedCases,4.0,Fatalities,0.0
162,,,Albania,2020-03-18,ConfirmedCases,4.0,Fatalities,1.0
163,,,Albania,2020-03-19,ConfirmedCases,5.0,Fatalities,0.0
164,,,Albania,2020-03-20,ConfirmedCases,6.0,Fatalities,0.0
165,,,Albania,2020-03-21,ConfirmedCases,6.0,Fatalities,0.0
166,,,Albania,2020-03-22,ConfirmedCases,13.0,Fatalities,0.0
167,,,Albania,2020-03-23,ConfirmedCases,15.0,Fatalities,2.0
168,,,Albania,2020-03-24,ConfirmedCases,19.0,Fatalities,1.0
169,,,Albania,2020-03-25,ConfirmedCases,23.0,Fatalities,0.0
170,,,Albania,2020-03-26,ConfirmedCases,28.0,Fatalities,1.0
171,,,Albania,2020-03-27,ConfirmedCases,12.0,Fatalities,2.0
172,,,Albania,2020-03-28,ConfirmedCases,11.0,Fatalities,2.0
173,,,Albania,2020-03-29,ConfirmedCases,15.0,Fatalities,0.0
174,,,Albania,2020-03-30,ConfirmedCases,11.0,Fatalities,1.0
175,,,Albania,2020-03-31,ConfirmedCases,20.0,Fatalities,4.0
176,,,Albania,2020-04-01,ConfirmedCases,16.0,Fatalities,0.0
177,,,Albania,2020-04-02,ConfirmedCases,18.0,Fatalities,1.0
178,,,Albania,2020-04-03,ConfirmedCases,27.0,Fatalities,1.0
179,,,Albania,2020-04-04,ConfirmedCases,29.0,Fatalities,3.0
180,,,Albania,2020-04-05,ConfirmedCases,28.0,Fatalities,0.0
181,,,Albania,2020-04-06,ConfirmedCases,16.0,Fatalities,1.0
182,,,Albania,2020-04-07,ConfirmedCases,6.0,Fatalities,1.0
183,,,Albania,2020-04-08,ConfirmedCases,17.0,Fatalities,0.0
184,,,Albania,2020-04-09,ConfirmedCases,9.0,Fatalities,1.0
185,,,Albania,2020-04-10,ConfirmedCases,7.0,Fatalities,0.0
186,,,Albania,2020-04-11,ConfirmedCases,17.0,Fatalities,0.0
187,,,Albania,2020-04-12,ConfirmedCases,13.0,Fatalities,0.0
188,,,Albania,2020-04-13,ConfirmedCases,21.0,Fatalities,0.0
189,,,Albania,2020-04-14,ConfirmedCases,8.0,Fatalities,1.0
190,,,Albania,2020-04-15,ConfirmedCases,19.0,Fatalities,1.0
191,,,Albania,2020-04-16,ConfirmedCases,24.0,Fatalities,1.0
192,,,Albania,2020-04-17,ConfirmedCases,21.0,Fatalities,0.0
193,,,Albania,2020-04-18,ConfirmedCases,9.0,Fatalities,0.0
194,,,Albania,2020-04-19,ConfirmedCases,14.0,Fatalities,0.0
195,,,Albania,2020-04-20,ConfirmedCases,22.0,Fatalities,0.0
196,,,Albania,2020-04-21,ConfirmedCases,25.0,Fatalities,0.0
197,,,Albania,2020-04-22,ConfirmedCases,25.0,Fatalities,1.0
198,,,Albania,2020-04-23,ConfirmedCases,29.0,Fatalities,0.0
199,,,Albania,2020-04-24,ConfirmedCases,15.0,Fatalities,0.0
200,,,Albania,2020-04-25,ConfirmedCases,34.0,Fatalities,0.0
201,,,Albania,2020-04-26,ConfirmedCases,14.0,Fatalities,1.0
202,,,Albania,2020-04-27,ConfirmedCases,10.0,Fatalities,0.0
203,,,Albania,2020-04-28,ConfirmedCases,14.0,Fatalities,2.0
204,,,Albania,2020-04-29,ConfirmedCases,16.0,Fatalities,0.0
205,,,Albania,2020-04-30,ConfirmedCases,7.0,Fatalities,1.0
206,,,Albania,2020-05-01,ConfirmedCases,9.0,Fatalities,0.0
207,,,Albania,2020-05-02,ConfirmedCases,7.0,Fatalities,0.0
208,,,Albania,2020-05-03,ConfirmedCases,6.0,Fatalities,0.0
209,,,Albania,2020-05-04,ConfirmedCases,8.0,Fatalities,0.0
210,,,Albania,2020-05-05,ConfirmedCases,17.0,Fatalities,0.0
211,,,Albania,2020-05-06,ConfirmedCases,12.0,Fatalities,0.0
212,,,Albania,2020-05-07,ConfirmedCases,10.0,Fatalities,0.0
213,,,Albania,2020-05-08,ConfirmedCases,8.0,Fatalities,0.0
