,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
214,,,Algeria,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
215,,,Algeria,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
216,,,Algeria,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
217,,,Algeria,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
218,,,Algeria,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
219,,,Algeria,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
220,,,Algeria,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
221,,,Algeria,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
222,,,Algeria,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
223,,,Algeria,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
224,,,Algeria,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
225,,,Algeria,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
226,,,Algeria,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
227,,,Algeria,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
228,,,Algeria,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
229,,,Algeria,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
230,,,Algeria,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
231,,,Algeria,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
232,,,Algeria,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
233,,,Algeria,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
234,,,Algeria,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
235,,,Algeria,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
236,,,Algeria,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
237,,,Algeria,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
