,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
321,,,Andorra,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
322,,,Andorra,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
323,,,Andorra,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
324,,,Andorra,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
325,,,Andorra,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
326,,,Andorra,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
327,,,Andorra,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
328,,,Andorra,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
329,,,Andorra,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
330,,,Andorra,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
331,,,Andorra,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
332,,,Andorra,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
333,,,Andorra,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
334,,,Andorra,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
335,,,Andorra,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
336,,,Andorra,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
337,,,Andorra,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
338,,,Andorra,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
339,,,Andorra,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
340,,,Andorra,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
341,,,Andorra,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
342,,,Andorra,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
343,,,Andorra,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
344,,,Andorra,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
345,,,Andorra,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
346,,,Andorra,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
347,,,Andorra,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
348,,,Andorra,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
349,,,Andorra,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
350,,,Andorra,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
351,,,Andorra,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
352,,,Andorra,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
353,,,Andorra,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
354,,,Andorra,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
355,,,Andorra,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
356,,,Andorra,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
357,,,Andorra,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
358,,,Andorra,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
359,,,Andorra,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
360,,,Andorra,2020-03-02,ConfirmedCases,1.0,Fatalities,0.0
361,,,Andorra,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
362,,,Andorra,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
363,,,Andorra,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
364,,,Andorra,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
365,,,Andorra,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
366,,,Andorra,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
367,,,Andorra,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
368,,,Andorra,2020-03-10,ConfirmedCases,0.0,Fatalities,0.0
369,,,Andorra,2020-03-11,ConfirmedCases,0.0,Fatalities,0.0
