,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
535,,,Antigua and Barbuda,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
536,,,Antigua and Barbuda,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
537,,,Antigua and Barbuda,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
538,,,Antigua and Barbuda,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
539,,,Antigua and Barbuda,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
540,,,Antigua and Barbuda,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
541,,,Antigua and Barbuda,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
542,,,Antigua and Barbuda,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
543,,,Antigua and Barbuda,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
544,,,Antigua and Barbuda,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
545,,,Antigua and Barbuda,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
546,,,Antigua and Barbuda,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
547,,,Antigua and Barbuda,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
548,,,Antigua and Barbuda,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
549,,,Antigua and Barbuda,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
550,,,Antigua and Barbuda,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
551,,,Antigua and Barbuda,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
552,,,Antigua and Barbuda,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
553,,,Antigua and Barbuda,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
554,,,Antigua and Barbuda,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
555,,,Antigua and Barbuda,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
556,,,Antigua and Barbuda,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
557,,,Antigua and Barbuda,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
558,,,Antigua and Barbuda,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
559,,,Antigua and Barbuda,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
560,,,Antigua and Barbuda,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
561,,,Antigua and Barbuda,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
562,,,Antigua and Barbuda,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
563,,,Antigua and Barbuda,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
564,,,Antigua and Barbuda,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
565,,,Antigua and Barbuda,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
566,,,Antigua and Barbuda,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
567,,,Antigua and Barbuda,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
568,,,Antigua and Barbuda,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
569,,,Antigua and Barbuda,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
570,,,Antigua and Barbuda,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
571,,,Antigua and Barbuda,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
572,,,Antigua and Barbuda,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
573,,,Antigua and Barbuda,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
574,,,Antigua and Barbuda,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
575,,,Antigua and Barbuda,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
576,,,Antigua and Barbuda,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
577,,,Antigua and Barbuda,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
578,,,Antigua and Barbuda,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
579,,,Antigua and Barbuda,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
580,,,Antigua and Barbuda,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
581,,,Antigua and Barbuda,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
582,,,Antigua and Barbuda,2020-03-10,ConfirmedCases,0.0,Fatalities,0.0
583,,,Antigua and Barbuda,2020-03-11,ConfirmedCases,0.0,Fatalities,0.0
584,,,Antigua and Barbuda,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
585,,,Antigua and Barbuda,2020-03-13,ConfirmedCases,1.0,Fatalities,0.0
586,,,Antigua and Barbuda,2020-03-14,ConfirmedCases,0.0,Fatalities,0.0
587,,,Antigua and Barbuda,2020-03-15,ConfirmedCases,0.0,Fatalities,0.0
588,,,Antigua and Barbuda,2020-03-16,ConfirmedCases,0.0,Fatalities,0.0
589,,,Antigua and Barbuda,2020-03-17,ConfirmedCases,0.0,Fatalities,0.0
590,,,Antigua and Barbuda,2020-03-18,ConfirmedCases,0.0,Fatalities,0.0
591,,,Antigua and Barbuda,2020-03-19,ConfirmedCases,0.0,Fatalities,0.0
592,,,Antigua and Barbuda,2020-03-20,ConfirmedCases,0.0,Fatalities,0.0
593,,,Antigua and Barbuda,2020-03-21,ConfirmedCases,0.0,Fatalities,0.0
594,,,Antigua and Barbuda,2020-03-22,ConfirmedCases,0.0,Fatalities,0.0
595,,,Antigua and Barbuda,2020-03-23,ConfirmedCases,2.0,Fatalities,0.0
596,,,Antigua and Barbuda,2020-03-24,ConfirmedCases,0.0,Fatalities,0.0
597,,,Antigua and Barbuda,2020-03-25,ConfirmedCases,0.0,Fatalities,0.0
598,,,Antigua and Barbuda,2020-03-26,ConfirmedCases,4.0,Fatalities,0.0
599,,,Antigua and Barbuda,2020-03-27,ConfirmedCases,0.0,Fatalities,0.0
600,,,Antigua and Barbuda,2020-03-28,ConfirmedCases,0.0,Fatalities,0.0
601,,,Antigua and Barbuda,2020-03-29,ConfirmedCases,0.0,Fatalities,0.0
602,,,Antigua and Barbuda,2020-03-30,ConfirmedCases,0.0,Fatalities,0.0
603,,,Antigua and Barbuda,2020-03-31,ConfirmedCases,0.0,Fatalities,0.0
604,,,Antigua and Barbuda,2020-04-01,ConfirmedCases,0.0,Fatalities,0.0
605,,,Antigua and Barbuda,2020-04-02,ConfirmedCases,2.0,Fatalities,0.0
606,,,Antigua and Barbuda,2020-04-03,ConfirmedCases,6.0,Fatalities,0.0
607,,,Antigua and Barbuda,2020-04-04,ConfirmedCases,0.0,Fatalities,0.0
608,,,Antigua and Barbuda,2020-04-05,ConfirmedCases,0.0,Fatalities,0.0
609,,,Antigua and Barbuda,2020-04-06,ConfirmedCases,0.0,Fatalities,0.0
610,,,Antigua and Barbuda,2020-04-07,ConfirmedCases,4.0,Fatalities,1.0
611,,,Antigua and Barbuda,2020-04-08,ConfirmedCases,0.0,Fatalities,1.0
612,,,Antigua and Barbuda,2020-04-09,ConfirmedCases,0.0,Fatalities,0.0
613,,,Antigua and Barbuda,2020-04-10,ConfirmedCases,0.0,Fatalities,0.0
614,,,Antigua and Barbuda,2020-04-11,ConfirmedCases,2.0,Fatalities,0.0
615,,,Antigua and Barbuda,2020-04-12,ConfirmedCases,0.0,Fatalities,0.0
616,,,Antigua and Barbuda,2020-04-13,ConfirmedCases,2.0,Fatalities,0.0
617,,,Antigua and Barbuda,2020-04-14,ConfirmedCases,0.0,Fatalities,0.0
618,,,Antigua and Barbuda,2020-04-15,ConfirmedCases,0.0,Fatalities,0.0
619,,,Antigua and Barbuda,2020-04-16,ConfirmedCases,0.0,Fatalities,1.0
620,,,Antigua and Barbuda,2020-04-17,ConfirmedCases,0.0,Fatalities,0.0
621,,,Antigua and Barbuda,2020-04-18,ConfirmedCases,0.0,Fatalities,0.0
622,,,Antigua and Barbuda,2020-04-19,ConfirmedCases,0.0,Fatalities,0.0
623,,,Antigua and Barbuda,2020-04-20,ConfirmedCases,0.0,Fatalities,0.0
624,,,Antigua and Barbuda,2020-04-21,ConfirmedCases,0.0,Fatalities,0.0
625,,,Antigua and Barbuda,2020-04-22,ConfirmedCases,1.0,Fatalities,0.0
626,,,Antigua and Barbuda,2020-04-23,ConfirmedCases,0.0,Fatalities,0.0
627,,,Antigua and Barbuda,2020-04-24,ConfirmedCases,0.0,Fatalities,0.0
628,,,Antigua and Barbuda,2020-04-25,ConfirmedCases,0.0,Fatalities,0.0
629,,,Antigua and Barbuda,2020-04-26,ConfirmedCases,0.0,Fatalities,0.0
630,,,Antigua and Barbuda,2020-04-27,ConfirmedCases,0.0,Fatalities,0.0
631,,,Antigua and Barbuda,2020-04-28,ConfirmedCases,0.0,Fatalities,0.0
632,,,Antigua and Barbuda,2020-04-29,ConfirmedCases,0.0,Fatalities,0.0
633,,,Antigua and Barbuda,2020-04-30,ConfirmedCases,0.0,Fatalities,0.0
634,,,Antigua and Barbuda,2020-05-01,ConfirmedCases,1.0,Fatalities,0.0
635,,,Antigua and Barbuda,2020-05-02,ConfirmedCases,0.0,Fatalities,0.0
636,,,Antigua and Barbuda,2020-05-03,ConfirmedCases,0.0,Fatalities,0.0
637,,,Antigua and Barbuda,2020-05-04,ConfirmedCases,0.0,Fatalities,0.0
638,,,Antigua and Barbuda,2020-05-05,ConfirmedCases,0.0,Fatalities,0.0
639,,,Antigua and Barbuda,2020-05-06,ConfirmedCases,0.0,Fatalities,0.0
640,,,Antigua and Barbuda,2020-05-07,ConfirmedCases,0.0,Fatalities,0.0
641,,,Antigua and Barbuda,2020-05-08,ConfirmedCases,0.0,Fatalities,0.0
