,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
642,,,Argentina,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
643,,,Argentina,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
644,,,Argentina,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
645,,,Argentina,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
646,,,Argentina,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
647,,,Argentina,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
648,,,Argentina,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
649,,,Argentina,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
650,,,Argentina,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
651,,,Argentina,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
652,,,Argentina,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
653,,,Argentina,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
654,,,Argentina,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
655,,,Argentina,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
656,,,Argentina,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
657,,,Argentina,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
658,,,Argentina,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
659,,,Argentina,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
660,,,Argentina,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
661,,,Argentina,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
662,,,Argentina,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
663,,,Argentina,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
664,,,Argentina,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
665,,,Argentina,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
666,,,Argentina,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
667,,,Argentina,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
668,,,Argentina,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
669,,,Argentina,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
670,,,Argentina,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
671,,,Argentina,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
672,,,Argentina,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
673,,,Argentina,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
674,,,Argentina,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
675,,,Argentina,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
676,,,Argentina,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
677,,,Argentina,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
678,,,Argentina,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
679,,,Argentina,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
680,,,Argentina,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
681,,,Argentina,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
682,,,Argentina,2020-03-03,ConfirmedCases,1.0,Fatalities,0.0
683,,,Argentina,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
684,,,Argentina,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
685,,,Argentina,2020-03-06,ConfirmedCases,1.0,Fatalities,0.0
686,,,Argentina,2020-03-07,ConfirmedCases,6.0,Fatalities,0.0
687,,,Argentina,2020-03-08,ConfirmedCases,4.0,Fatalities,1.0
688,,,Argentina,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
689,,,Argentina,2020-03-10,ConfirmedCases,5.0,Fatalities,0.0
690,,,Argentina,2020-03-11,ConfirmedCases,2.0,Fatalities,0.0
691,,,Argentina,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
692,,,Argentina,2020-03-13,ConfirmedCases,12.0,Fatalities,1.0
693,,,Argentina,2020-03-14,ConfirmedCases,3.0,Fatalities,0.0
694,,,Argentina,2020-03-15,ConfirmedCases,11.0,Fatalities,0.0
695,,,Argentina,2020-03-16,ConfirmedCases,11.0,Fatalities,0.0
696,,,Argentina,2020-03-17,ConfirmedCases,12.0,Fatalities,0.0
697,,,Argentina,2020-03-18,ConfirmedCases,11.0,Fatalities,0.0
698,,,Argentina,2020-03-19,ConfirmedCases,18.0,Fatalities,1.0
699,,,Argentina,2020-03-20,ConfirmedCases,31.0,Fatalities,0.0
700,,,Argentina,2020-03-21,ConfirmedCases,30.0,Fatalities,1.0
701,,,Argentina,2020-03-22,ConfirmedCases,108.0,Fatalities,0.0
702,,,Argentina,2020-03-23,ConfirmedCases,35.0,Fatalities,0.0
703,,,Argentina,2020-03-24,ConfirmedCases,86.0,Fatalities,2.0
704,,,Argentina,2020-03-25,ConfirmedCases,0.0,Fatalities,2.0
705,,,Argentina,2020-03-26,ConfirmedCases,115.0,Fatalities,1.0
706,,,Argentina,2020-03-27,ConfirmedCases,87.0,Fatalities,4.0
707,,,Argentina,2020-03-28,ConfirmedCases,101.0,Fatalities,5.0
708,,,Argentina,2020-03-29,ConfirmedCases,55.0,Fatalities,1.0
709,,,Argentina,2020-03-30,ConfirmedCases,75.0,Fatalities,4.0
710,,,Argentina,2020-03-31,ConfirmedCases,234.0,Fatalities,4.0
711,,,Argentina,2020-04-01,ConfirmedCases,0.0,Fatalities,1.0
712,,,Argentina,2020-04-02,ConfirmedCases,79.0,Fatalities,8.0
713,,,Argentina,2020-04-03,ConfirmedCases,132.0,Fatalities,3.0
714,,,Argentina,2020-04-04,ConfirmedCases,186.0,Fatalities,4.0
715,,,Argentina,2020-04-05,ConfirmedCases,0.0,Fatalities,1.0
716,,,Argentina,2020-04-06,ConfirmedCases,103.0,Fatalities,4.0
717,,,Argentina,2020-04-07,ConfirmedCases,74.0,Fatalities,8.0
718,,,Argentina,2020-04-08,ConfirmedCases,87.0,Fatalities,7.0
719,,,Argentina,2020-04-09,ConfirmedCases,80.0,Fatalities,9.0
720,,,Argentina,2020-04-10,ConfirmedCases,180.0,Fatalities,10.0
721,,,Argentina,2020-04-11,ConfirmedCases,0.0,Fatalities,1.0
722,,,Argentina,2020-04-12,ConfirmedCases,167.0,Fatalities,7.0
723,,,Argentina,2020-04-13,ConfirmedCases,66.0,Fatalities,7.0
724,,,Argentina,2020-04-14,ConfirmedCases,69.0,Fatalities,5.0
725,,,Argentina,2020-04-15,ConfirmedCases,166.0,Fatalities,9.0
726,,,Argentina,2020-04-16,ConfirmedCases,128.0,Fatalities,4.0
727,,,Argentina,2020-04-17,ConfirmedCases,98.0,Fatalities,8.0
728,,,Argentina,2020-04-18,ConfirmedCases,89.0,Fatalities,6.0
729,,,Argentina,2020-04-19,ConfirmedCases,81.0,Fatalities,3.0
730,,,Argentina,2020-04-20,ConfirmedCases,102.0,Fatalities,4.0
731,,,Argentina,2020-04-21,ConfirmedCases,90.0,Fatalities,11.0
732,,,Argentina,2020-04-22,ConfirmedCases,113.0,Fatalities,5.0
733,,,Argentina,2020-04-23,ConfirmedCases,291.0,Fatalities,13.0
734,,,Argentina,2020-04-24,ConfirmedCases,172.0,Fatalities,11.0
735,,,Argentina,2020-04-25,ConfirmedCases,173.0,Fatalities,9.0
736,,,Argentina,2020-04-26,ConfirmedCases,112.0,Fatalities,7.0
737,,,Argentina,2020-04-27,ConfirmedCases,111.0,Fatalities,5.0
738,,,Argentina,2020-04-28,ConfirmedCases,124.0,Fatalities,10.0
739,,,Argentina,2020-04-29,ConfirmedCases,158.0,Fatalities,7.0
740,,,Argentina,2020-04-30,ConfirmedCases,143.0,Fatalities,4.0
741,,,Argentina,2020-05-01,ConfirmedCases,104.0,Fatalities,7.0
742,,,Argentina,2020-05-02,ConfirmedCases,149.0,Fatalities,12.0
743,,,Argentina,2020-05-03,ConfirmedCases,102.0,Fatalities,9.0
744,,,Argentina,2020-05-04,ConfirmedCases,104.0,Fatalities,14.0
745,,,Argentina,2020-05-05,ConfirmedCases,133.0,Fatalities,4.0
746,,,Argentina,2020-05-06,ConfirmedCases,188.0,Fatalities,9.0
747,,,Argentina,2020-05-07,ConfirmedCases,163.0,Fatalities,9.0
748,,,Argentina,2020-05-08,ConfirmedCases,240.0,Fatalities,11.0
