,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
1819,,,Austria,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
1820,,,Austria,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
1821,,,Austria,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
1822,,,Austria,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
1823,,,Austria,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
1824,,,Austria,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
1825,,,Austria,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
1826,,,Austria,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
1827,,,Austria,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
1828,,,Austria,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
1829,,,Austria,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
1830,,,Austria,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
1831,,,Austria,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
1832,,,Austria,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
1833,,,Austria,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
1834,,,Austria,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
1835,,,Austria,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
1836,,,Austria,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
1837,,,Austria,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
1838,,,Austria,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
1839,,,Austria,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
1840,,,Austria,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
1841,,,Austria,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
1842,,,Austria,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
1843,,,Austria,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
1844,,,Austria,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
1845,,,Austria,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
1846,,,Austria,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
1847,,,Austria,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
1848,,,Austria,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
1849,,,Austria,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
1850,,,Austria,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
1851,,,Austria,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
1852,,,Austria,2020-02-25,ConfirmedCases,2.0,Fatalities,0.0
1853,,,Austria,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
1854,,,Austria,2020-02-27,ConfirmedCases,1.0,Fatalities,0.0
1855,,,Austria,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
1856,,,Austria,2020-02-29,ConfirmedCases,6.0,Fatalities,0.0
1857,,,Austria,2020-03-01,ConfirmedCases,5.0,Fatalities,0.0
1858,,,Austria,2020-03-02,ConfirmedCases,4.0,Fatalities,0.0
1859,,,Austria,2020-03-03,ConfirmedCases,3.0,Fatalities,0.0
1860,,,Austria,2020-03-04,ConfirmedCases,8.0,Fatalities,0.0
1861,,,Austria,2020-03-05,ConfirmedCases,12.0,Fatalities,0.0
1862,,,Austria,2020-03-06,ConfirmedCases,14.0,Fatalities,0.0
1863,,,Austria,2020-03-07,ConfirmedCases,24.0,Fatalities,0.0
1864,,,Austria,2020-03-08,ConfirmedCases,25.0,Fatalities,0.0
1865,,,Austria,2020-03-09,ConfirmedCases,27.0,Fatalities,0.0
1866,,,Austria,2020-03-10,ConfirmedCases,51.0,Fatalities,0.0
1867,,,Austria,2020-03-11,ConfirmedCases,64.0,Fatalities,0.0
1868,,,Austria,2020-03-12,ConfirmedCases,56.0,Fatalities,1.0
1869,,,Austria,2020-03-13,ConfirmedCases,202.0,Fatalities,0.0
1870,,,Austria,2020-03-14,ConfirmedCases,151.0,Fatalities,0.0
1871,,,Austria,2020-03-15,ConfirmedCases,205.0,Fatalities,0.0
1872,,,Austria,2020-03-16,ConfirmedCases,158.0,Fatalities,2.0
1873,,,Austria,2020-03-17,ConfirmedCases,314.0,Fatalities,0.0
1874,,,Austria,2020-03-18,ConfirmedCases,314.0,Fatalities,1.0
1875,,,Austria,2020-03-19,ConfirmedCases,367.0,Fatalities,2.0
1876,,,Austria,2020-03-20,ConfirmedCases,375.0,Fatalities,0.0
