,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
2247,,,Bangladesh,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
2248,,,Bangladesh,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
2249,,,Bangladesh,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
2250,,,Bangladesh,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
2251,,,Bangladesh,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
2252,,,Bangladesh,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
2253,,,Bangladesh,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
2254,,,Bangladesh,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
2255,,,Bangladesh,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
2256,,,Bangladesh,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
2257,,,Bangladesh,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
2258,,,Bangladesh,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
2259,,,Bangladesh,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
2260,,,Bangladesh,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
2261,,,Bangladesh,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
2262,,,Bangladesh,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
2263,,,Bangladesh,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
2264,,,Bangladesh,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
2265,,,Bangladesh,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
2266,,,Bangladesh,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
2267,,,Bangladesh,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
2268,,,Bangladesh,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
2269,,,Bangladesh,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
