,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
2568,,,Belgium,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
2569,,,Belgium,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
2570,,,Belgium,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
2571,,,Belgium,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
2572,,,Belgium,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
2573,,,Belgium,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
2574,,,Belgium,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
2575,,,Belgium,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
2576,,,Belgium,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
2577,,,Belgium,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
2578,,,Belgium,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
2579,,,Belgium,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
2580,,,Belgium,2020-02-04,ConfirmedCases,1.0,Fatalities,0.0
2581,,,Belgium,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
2582,,,Belgium,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
2583,,,Belgium,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
2584,,,Belgium,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
2585,,,Belgium,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
2586,,,Belgium,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
2587,,,Belgium,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
2588,,,Belgium,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
2589,,,Belgium,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
2590,,,Belgium,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
2591,,,Belgium,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
2592,,,Belgium,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
2593,,,Belgium,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
2594,,,Belgium,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
2595,,,Belgium,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
2596,,,Belgium,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
2597,,,Belgium,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
