,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
2782,,,Benin,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
2783,,,Benin,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
2784,,,Benin,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
2785,,,Benin,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
2786,,,Benin,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
2787,,,Benin,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
2788,,,Benin,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
2789,,,Benin,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
2790,,,Benin,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
2791,,,Benin,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
2792,,,Benin,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
2793,,,Benin,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
2794,,,Benin,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
2795,,,Benin,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
2796,,,Benin,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
2797,,,Benin,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
2798,,,Benin,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
2799,,,Benin,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
2800,,,Benin,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
2801,,,Benin,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
2802,,,Benin,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
2803,,,Benin,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
2804,,,Benin,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
2805,,,Benin,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
2806,,,Benin,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
2807,,,Benin,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
2808,,,Benin,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
2809,,,Benin,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
2810,,,Benin,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
2811,,,Benin,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
2812,,,Benin,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
2813,,,Benin,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
2814,,,Benin,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
2815,,,Benin,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
2816,,,Benin,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
2817,,,Benin,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
2818,,,Benin,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
2819,,,Benin,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
2820,,,Benin,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
2821,,,Benin,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
2822,,,Benin,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
2823,,,Benin,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
2824,,,Benin,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
2825,,,Benin,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
2826,,,Benin,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
2827,,,Benin,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
2828,,,Benin,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
2829,,,Benin,2020-03-10,ConfirmedCases,0.0,Fatalities,0.0
2830,,,Benin,2020-03-11,ConfirmedCases,0.0,Fatalities,0.0
2831,,,Benin,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
2832,,,Benin,2020-03-13,ConfirmedCases,0.0,Fatalities,0.0
2833,,,Benin,2020-03-14,ConfirmedCases,0.0,Fatalities,0.0
2834,,,Benin,2020-03-15,ConfirmedCases,0.0,Fatalities,0.0
2835,,,Benin,2020-03-16,ConfirmedCases,1.0,Fatalities,0.0
2836,,,Benin,2020-03-17,ConfirmedCases,0.0,Fatalities,0.0
2837,,,Benin,2020-03-18,ConfirmedCases,1.0,Fatalities,0.0
2838,,,Benin,2020-03-19,ConfirmedCases,0.0,Fatalities,0.0
2839,,,Benin,2020-03-20,ConfirmedCases,0.0,Fatalities,0.0
2840,,,Benin,2020-03-21,ConfirmedCases,0.0,Fatalities,0.0
2841,,,Benin,2020-03-22,ConfirmedCases,0.0,Fatalities,0.0
2842,,,Benin,2020-03-23,ConfirmedCases,3.0,Fatalities,0.0
2843,,,Benin,2020-03-24,ConfirmedCases,1.0,Fatalities,0.0
2844,,,Benin,2020-03-25,ConfirmedCases,0.0,Fatalities,0.0
2845,,,Benin,2020-03-26,ConfirmedCases,0.0,Fatalities,0.0
2846,,,Benin,2020-03-27,ConfirmedCases,0.0,Fatalities,0.0
2847,,,Benin,2020-03-28,ConfirmedCases,0.0,Fatalities,0.0
2848,,,Benin,2020-03-29,ConfirmedCases,0.0,Fatalities,0.0
2849,,,Benin,2020-03-30,ConfirmedCases,0.0,Fatalities,0.0
2850,,,Benin,2020-03-31,ConfirmedCases,3.0,Fatalities,0.0
2851,,,Benin,2020-04-01,ConfirmedCases,4.0,Fatalities,0.0
2852,,,Benin,2020-04-02,ConfirmedCases,0.0,Fatalities,0.0
2853,,,Benin,2020-04-03,ConfirmedCases,3.0,Fatalities,0.0
2854,,,Benin,2020-04-04,ConfirmedCases,0.0,Fatalities,0.0
2855,,,Benin,2020-04-05,ConfirmedCases,6.0,Fatalities,0.0
2856,,,Benin,2020-04-06,ConfirmedCases,4.0,Fatalities,1.0
2857,,,Benin,2020-04-07,ConfirmedCases,0.0,Fatalities,0.0
2858,,,Benin,2020-04-08,ConfirmedCases,0.0,Fatalities,0.0
2859,,,Benin,2020-04-09,ConfirmedCases,0.0,Fatalities,0.0
2860,,,Benin,2020-04-10,ConfirmedCases,9.0,Fatalities,0.0
2861,,,Benin,2020-04-11,ConfirmedCases,0.0,Fatalities,0.0
2862,,,Benin,2020-04-12,ConfirmedCases,0.0,Fatalities,0.0
2863,,,Benin,2020-04-13,ConfirmedCases,0.0,Fatalities,0.0
2864,,,Benin,2020-04-14,ConfirmedCases,0.0,Fatalities,0.0
2865,,,Benin,2020-04-15,ConfirmedCases,0.0,Fatalities,0.0
2866,,,Benin,2020-04-16,ConfirmedCases,0.0,Fatalities,0.0
2867,,,Benin,2020-04-17,ConfirmedCases,0.0,Fatalities,0.0
2868,,,Benin,2020-04-18,ConfirmedCases,0.0,Fatalities,0.0
2869,,,Benin,2020-04-19,ConfirmedCases,0.0,Fatalities,0.0
2870,,,Benin,2020-04-20,ConfirmedCases,19.0,Fatalities,0.0
2871,,,Benin,2020-04-21,ConfirmedCases,0.0,Fatalities,0.0
2872,,,Benin,2020-04-22,ConfirmedCases,0.0,Fatalities,0.0
2873,,,Benin,2020-04-23,ConfirmedCases,0.0,Fatalities,0.0
2874,,,Benin,2020-04-24,ConfirmedCases,0.0,Fatalities,0.0
2875,,,Benin,2020-04-25,ConfirmedCases,0.0,Fatalities,0.0
2876,,,Benin,2020-04-26,ConfirmedCases,10.0,Fatalities,0.0
2877,,,Benin,2020-04-27,ConfirmedCases,0.0,Fatalities,0.0
2878,,,Benin,2020-04-28,ConfirmedCases,0.0,Fatalities,0.0
2879,,,Benin,2020-04-29,ConfirmedCases,0.0,Fatalities,0.0
2880,,,Benin,2020-04-30,ConfirmedCases,0.0,Fatalities,0.0
2881,,,Benin,2020-05-01,ConfirmedCases,26.0,Fatalities,1.0
2882,,,Benin,2020-05-02,ConfirmedCases,0.0,Fatalities,0.0
2883,,,Benin,2020-05-03,ConfirmedCases,0.0,Fatalities,0.0
2884,,,Benin,2020-05-04,ConfirmedCases,6.0,Fatalities,0.0
2885,,,Benin,2020-05-05,ConfirmedCases,0.0,Fatalities,0.0
2886,,,Benin,2020-05-06,ConfirmedCases,0.0,Fatalities,0.0
2887,,,Benin,2020-05-07,ConfirmedCases,44.0,Fatalities,0.0
2888,,,Benin,2020-05-08,ConfirmedCases,102.0,Fatalities,0.0
