,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
3103,,,Bosnia and Herzegovina,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
3104,,,Bosnia and Herzegovina,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
3105,,,Bosnia and Herzegovina,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
3106,,,Bosnia and Herzegovina,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
3107,,,Bosnia and Herzegovina,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
3108,,,Bosnia and Herzegovina,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
3109,,,Bosnia and Herzegovina,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
3110,,,Bosnia and Herzegovina,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
3111,,,Bosnia and Herzegovina,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
3112,,,Bosnia and Herzegovina,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
3113,,,Bosnia and Herzegovina,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
3114,,,Bosnia and Herzegovina,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
3115,,,Bosnia and Herzegovina,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
3116,,,Bosnia and Herzegovina,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
3117,,,Bosnia and Herzegovina,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
3118,,,Bosnia and Herzegovina,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
3119,,,Bosnia and Herzegovina,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
3120,,,Bosnia and Herzegovina,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
3121,,,Bosnia and Herzegovina,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
3122,,,Bosnia and Herzegovina,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
3123,,,Bosnia and Herzegovina,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
3124,,,Bosnia and Herzegovina,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
3125,,,Bosnia and Herzegovina,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
3126,,,Bosnia and Herzegovina,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
3127,,,Bosnia and Herzegovina,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
3128,,,Bosnia and Herzegovina,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
3129,,,Bosnia and Herzegovina,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
3130,,,Bosnia and Herzegovina,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
3131,,,Bosnia and Herzegovina,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
3132,,,Bosnia and Herzegovina,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
3133,,,Bosnia and Herzegovina,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
3134,,,Bosnia and Herzegovina,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
3135,,,Bosnia and Herzegovina,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
3136,,,Bosnia and Herzegovina,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
3137,,,Bosnia and Herzegovina,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
3138,,,Bosnia and Herzegovina,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
3139,,,Bosnia and Herzegovina,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
3140,,,Bosnia and Herzegovina,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
3141,,,Bosnia and Herzegovina,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
3142,,,Bosnia and Herzegovina,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
3143,,,Bosnia and Herzegovina,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
3144,,,Bosnia and Herzegovina,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
3145,,,Bosnia and Herzegovina,2020-03-05,ConfirmedCases,2.0,Fatalities,0.0
3146,,,Bosnia and Herzegovina,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
3147,,,Bosnia and Herzegovina,2020-03-07,ConfirmedCases,1.0,Fatalities,0.0
3148,,,Bosnia and Herzegovina,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
3149,,,Bosnia and Herzegovina,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
3150,,,Bosnia and Herzegovina,2020-03-10,ConfirmedCases,2.0,Fatalities,0.0
3151,,,Bosnia and Herzegovina,2020-03-11,ConfirmedCases,2.0,Fatalities,0.0
3152,,,Bosnia and Herzegovina,2020-03-12,ConfirmedCases,4.0,Fatalities,0.0
