,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
3638,,,Burkina Faso,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
3639,,,Burkina Faso,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
3640,,,Burkina Faso,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
3641,,,Burkina Faso,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
3642,,,Burkina Faso,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
3643,,,Burkina Faso,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
3644,,,Burkina Faso,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
3645,,,Burkina Faso,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
3646,,,Burkina Faso,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
3647,,,Burkina Faso,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
3648,,,Burkina Faso,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
3649,,,Burkina Faso,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
3650,,,Burkina Faso,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
3651,,,Burkina Faso,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
3652,,,Burkina Faso,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
3653,,,Burkina Faso,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
3654,,,Burkina Faso,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
3655,,,Burkina Faso,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
3656,,,Burkina Faso,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
3657,,,Burkina Faso,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
3658,,,Burkina Faso,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
3659,,,Burkina Faso,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
3660,,,Burkina Faso,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
3661,,,Burkina Faso,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
3662,,,Burkina Faso,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
3663,,,Burkina Faso,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
3664,,,Burkina Faso,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
3665,,,Burkina Faso,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
3666,,,Burkina Faso,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
3667,,,Burkina Faso,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
3668,,,Burkina Faso,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
3669,,,Burkina Faso,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
3670,,,Burkina Faso,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
3671,,,Burkina Faso,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
3672,,,Burkina Faso,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
