,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
3959,,,Cabo Verde,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
3960,,,Cabo Verde,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
3961,,,Cabo Verde,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
3962,,,Cabo Verde,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
3963,,,Cabo Verde,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
3964,,,Cabo Verde,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
3965,,,Cabo Verde,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
3966,,,Cabo Verde,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
3967,,,Cabo Verde,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
3968,,,Cabo Verde,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
3969,,,Cabo Verde,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
3970,,,Cabo Verde,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
3971,,,Cabo Verde,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
3972,,,Cabo Verde,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
3973,,,Cabo Verde,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
3974,,,Cabo Verde,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
3975,,,Cabo Verde,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
3976,,,Cabo Verde,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
3977,,,Cabo Verde,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
3978,,,Cabo Verde,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
3979,,,Cabo Verde,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
3980,,,Cabo Verde,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
3981,,,Cabo Verde,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
3982,,,Cabo Verde,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
3983,,,Cabo Verde,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
3984,,,Cabo Verde,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
3985,,,Cabo Verde,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
3986,,,Cabo Verde,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
3987,,,Cabo Verde,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
3988,,,Cabo Verde,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
3989,,,Cabo Verde,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
3990,,,Cabo Verde,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
3991,,,Cabo Verde,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
3992,,,Cabo Verde,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
3993,,,Cabo Verde,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
3994,,,Cabo Verde,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
3995,,,Cabo Verde,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
3996,,,Cabo Verde,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
3997,,,Cabo Verde,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
3998,,,Cabo Verde,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
3999,,,Cabo Verde,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
4000,,,Cabo Verde,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
4001,,,Cabo Verde,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
4002,,,Cabo Verde,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
4003,,,Cabo Verde,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
4004,,,Cabo Verde,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
4005,,,Cabo Verde,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
4006,,,Cabo Verde,2020-03-10,ConfirmedCases,0.0,Fatalities,0.0
4007,,,Cabo Verde,2020-03-11,ConfirmedCases,0.0,Fatalities,0.0
4008,,,Cabo Verde,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
4009,,,Cabo Verde,2020-03-13,ConfirmedCases,0.0,Fatalities,0.0
4010,,,Cabo Verde,2020-03-14,ConfirmedCases,0.0,Fatalities,0.0
4011,,,Cabo Verde,2020-03-15,ConfirmedCases,0.0,Fatalities,0.0
4012,,,Cabo Verde,2020-03-16,ConfirmedCases,0.0,Fatalities,0.0
4013,,,Cabo Verde,2020-03-17,ConfirmedCases,0.0,Fatalities,0.0
4014,,,Cabo Verde,2020-03-18,ConfirmedCases,0.0,Fatalities,0.0
4015,,,Cabo Verde,2020-03-19,ConfirmedCases,0.0,Fatalities,0.0
4016,,,Cabo Verde,2020-03-20,ConfirmedCases,1.0,Fatalities,0.0
4017,,,Cabo Verde,2020-03-21,ConfirmedCases,2.0,Fatalities,0.0
4018,,,Cabo Verde,2020-03-22,ConfirmedCases,0.0,Fatalities,0.0
4019,,,Cabo Verde,2020-03-23,ConfirmedCases,0.0,Fatalities,0.0
4020,,,Cabo Verde,2020-03-24,ConfirmedCases,0.0,Fatalities,1.0
4021,,,Cabo Verde,2020-03-25,ConfirmedCases,1.0,Fatalities,0.0
4022,,,Cabo Verde,2020-03-26,ConfirmedCases,0.0,Fatalities,0.0
4023,,,Cabo Verde,2020-03-27,ConfirmedCases,1.0,Fatalities,0.0
4024,,,Cabo Verde,2020-03-28,ConfirmedCases,0.0,Fatalities,0.0
4025,,,Cabo Verde,2020-03-29,ConfirmedCases,1.0,Fatalities,0.0
4026,,,Cabo Verde,2020-03-30,ConfirmedCases,0.0,Fatalities,0.0
4027,,,Cabo Verde,2020-03-31,ConfirmedCases,0.0,Fatalities,0.0
4028,,,Cabo Verde,2020-04-01,ConfirmedCases,0.0,Fatalities,0.0
4029,,,Cabo Verde,2020-04-02,ConfirmedCases,0.0,Fatalities,0.0
4030,,,Cabo Verde,2020-04-03,ConfirmedCases,0.0,Fatalities,0.0
4031,,,Cabo Verde,2020-04-04,ConfirmedCases,1.0,Fatalities,0.0
4032,,,Cabo Verde,2020-04-05,ConfirmedCases,0.0,Fatalities,0.0
4033,,,Cabo Verde,2020-04-06,ConfirmedCases,0.0,Fatalities,0.0
4034,,,Cabo Verde,2020-04-07,ConfirmedCases,0.0,Fatalities,0.0
4035,,,Cabo Verde,2020-04-08,ConfirmedCases,0.0,Fatalities,0.0
4036,,,Cabo Verde,2020-04-09,ConfirmedCases,0.0,Fatalities,0.0
4037,,,Cabo Verde,2020-04-10,ConfirmedCases,0.0,Fatalities,0.0
4038,,,Cabo Verde,2020-04-11,ConfirmedCases,1.0,Fatalities,0.0
4039,,,Cabo Verde,2020-04-12,ConfirmedCases,0.0,Fatalities,0.0
4040,,,Cabo Verde,2020-04-13,ConfirmedCases,2.0,Fatalities,0.0
4041,,,Cabo Verde,2020-04-14,ConfirmedCases,1.0,Fatalities,0.0
4042,,,Cabo Verde,2020-04-15,ConfirmedCases,45.0,Fatalities,0.0
4043,,,Cabo Verde,2020-04-16,ConfirmedCases,0.0,Fatalities,0.0
4044,,,Cabo Verde,2020-04-17,ConfirmedCases,0.0,Fatalities,0.0
4045,,,Cabo Verde,2020-04-18,ConfirmedCases,2.0,Fatalities,0.0
4046,,,Cabo Verde,2020-04-19,ConfirmedCases,3.0,Fatalities,0.0
4047,,,Cabo Verde,2020-04-20,ConfirmedCases,6.0,Fatalities,0.0
4048,,,Cabo Verde,2020-04-21,ConfirmedCases,1.0,Fatalities,0.0
4049,,,Cabo Verde,2020-04-22,ConfirmedCases,5.0,Fatalities,0.0
4050,,,Cabo Verde,2020-04-23,ConfirmedCases,9.0,Fatalities,0.0
4051,,,Cabo Verde,2020-04-24,ConfirmedCases,6.0,Fatalities,0.0
4052,,,Cabo Verde,2020-04-25,ConfirmedCases,2.0,Fatalities,0.0
4053,,,Cabo Verde,2020-04-26,ConfirmedCases,16.0,Fatalities,0.0
4054,,,Cabo Verde,2020-04-27,ConfirmedCases,3.0,Fatalities,0.0
4055,,,Cabo Verde,2020-04-28,ConfirmedCases,5.0,Fatalities,0.0
4056,,,Cabo Verde,2020-04-29,ConfirmedCases,0.0,Fatalities,0.0
4057,,,Cabo Verde,2020-04-30,ConfirmedCases,7.0,Fatalities,0.0
4058,,,Cabo Verde,2020-05-01,ConfirmedCases,1.0,Fatalities,0.0
4059,,,Cabo Verde,2020-05-02,ConfirmedCases,30.0,Fatalities,1.0
