,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
4173,,,Cameroon,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
4174,,,Cameroon,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
4175,,,Cameroon,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
4176,,,Cameroon,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
4177,,,Cameroon,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
4178,,,Cameroon,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
4179,,,Cameroon,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
4180,,,Cameroon,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
4181,,,Cameroon,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
4182,,,Cameroon,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
4183,,,Cameroon,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
4184,,,Cameroon,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
4185,,,Cameroon,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
4186,,,Cameroon,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
4187,,,Cameroon,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
4188,,,Cameroon,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
4189,,,Cameroon,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
4190,,,Cameroon,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
4191,,,Cameroon,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
4192,,,Cameroon,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
4193,,,Cameroon,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
4194,,,Cameroon,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
4195,,,Cameroon,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
4196,,,Cameroon,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
4197,,,Cameroon,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
4198,,,Cameroon,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
4199,,,Cameroon,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
4200,,,Cameroon,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
4201,,,Cameroon,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
4202,,,Cameroon,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
4203,,,Cameroon,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
