,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
5671,,,Central African Republic,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
5672,,,Central African Republic,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
5673,,,Central African Republic,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
5674,,,Central African Republic,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
5675,,,Central African Republic,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
5676,,,Central African Republic,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
5677,,,Central African Republic,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
5678,,,Central African Republic,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
5679,,,Central African Republic,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
5680,,,Central African Republic,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
5681,,,Central African Republic,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
5682,,,Central African Republic,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
5683,,,Central African Republic,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
5684,,,Central African Republic,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
5685,,,Central African Republic,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
5686,,,Central African Republic,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
5687,,,Central African Republic,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
5688,,,Central African Republic,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
5689,,,Central African Republic,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
5690,,,Central African Republic,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
5691,,,Central African Republic,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
5692,,,Central African Republic,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
5693,,,Central African Republic,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
5694,,,Central African Republic,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
5695,,,Central African Republic,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
5696,,,Central African Republic,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
5697,,,Central African Republic,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
5698,,,Central African Republic,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
5699,,,Central African Republic,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
5700,,,Central African Republic,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
5701,,,Central African Republic,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
5702,,,Central African Republic,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
5703,,,Central African Republic,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
5704,,,Central African Republic,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
5705,,,Central African Republic,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
5706,,,Central African Republic,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
5707,,,Central African Republic,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
5708,,,Central African Republic,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
5709,,,Central African Republic,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
5710,,,Central African Republic,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
5711,,,Central African Republic,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
5712,,,Central African Republic,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
5713,,,Central African Republic,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
5714,,,Central African Republic,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
5715,,,Central African Republic,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
5716,,,Central African Republic,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
5717,,,Central African Republic,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
5718,,,Central African Republic,2020-03-10,ConfirmedCases,0.0,Fatalities,0.0
5719,,,Central African Republic,2020-03-11,ConfirmedCases,0.0,Fatalities,0.0
5720,,,Central African Republic,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
5721,,,Central African Republic,2020-03-13,ConfirmedCases,0.0,Fatalities,0.0
5722,,,Central African Republic,2020-03-14,ConfirmedCases,0.0,Fatalities,0.0
5723,,,Central African Republic,2020-03-15,ConfirmedCases,1.0,Fatalities,0.0
5724,,,Central African Republic,2020-03-16,ConfirmedCases,0.0,Fatalities,0.0
5725,,,Central African Republic,2020-03-17,ConfirmedCases,0.0,Fatalities,0.0
5726,,,Central African Republic,2020-03-18,ConfirmedCases,0.0,Fatalities,0.0
5727,,,Central African Republic,2020-03-19,ConfirmedCases,0.0,Fatalities,0.0
5728,,,Central African Republic,2020-03-20,ConfirmedCases,2.0,Fatalities,0.0
5729,,,Central African Republic,2020-03-21,ConfirmedCases,0.0,Fatalities,0.0
5730,,,Central African Republic,2020-03-22,ConfirmedCases,0.0,Fatalities,0.0
5731,,,Central African Republic,2020-03-23,ConfirmedCases,0.0,Fatalities,0.0
5732,,,Central African Republic,2020-03-24,ConfirmedCases,0.0,Fatalities,0.0
5733,,,Central African Republic,2020-03-25,ConfirmedCases,0.0,Fatalities,0.0
5734,,,Central African Republic,2020-03-26,ConfirmedCases,0.0,Fatalities,0.0
5735,,,Central African Republic,2020-03-27,ConfirmedCases,0.0,Fatalities,0.0
5736,,,Central African Republic,2020-03-28,ConfirmedCases,0.0,Fatalities,0.0
5737,,,Central African Republic,2020-03-29,ConfirmedCases,0.0,Fatalities,0.0
5738,,,Central African Republic,2020-03-30,ConfirmedCases,0.0,Fatalities,0.0
5739,,,Central African Republic,2020-03-31,ConfirmedCases,0.0,Fatalities,0.0
5740,,,Central African Republic,2020-04-01,ConfirmedCases,0.0,Fatalities,0.0
5741,,,Central African Republic,2020-04-02,ConfirmedCases,0.0,Fatalities,0.0
5742,,,Central African Republic,2020-04-03,ConfirmedCases,5.0,Fatalities,0.0
5743,,,Central African Republic,2020-04-04,ConfirmedCases,0.0,Fatalities,0.0
5744,,,Central African Republic,2020-04-05,ConfirmedCases,0.0,Fatalities,0.0
5745,,,Central African Republic,2020-04-06,ConfirmedCases,0.0,Fatalities,0.0
5746,,,Central African Republic,2020-04-07,ConfirmedCases,0.0,Fatalities,0.0
5747,,,Central African Republic,2020-04-08,ConfirmedCases,0.0,Fatalities,0.0
5748,,,Central African Republic,2020-04-09,ConfirmedCases,0.0,Fatalities,0.0
5749,,,Central African Republic,2020-04-10,ConfirmedCases,0.0,Fatalities,0.0
5750,,,Central African Republic,2020-04-11,ConfirmedCases,0.0,Fatalities,0.0
5751,,,Central African Republic,2020-04-12,ConfirmedCases,0.0,Fatalities,0.0
5752,,,Central African Republic,2020-04-13,ConfirmedCases,3.0,Fatalities,0.0
5753,,,Central African Republic,2020-04-14,ConfirmedCases,0.0,Fatalities,0.0
5754,,,Central African Republic,2020-04-15,ConfirmedCases,1.0,Fatalities,0.0
5755,,,Central African Republic,2020-04-16,ConfirmedCases,0.0,Fatalities,0.0
5756,,,Central African Republic,2020-04-17,ConfirmedCases,0.0,Fatalities,0.0
5757,,,Central African Republic,2020-04-18,ConfirmedCases,0.0,Fatalities,0.0
5758,,,Central African Republic,2020-04-19,ConfirmedCases,0.0,Fatalities,0.0
5759,,,Central African Republic,2020-04-20,ConfirmedCases,0.0,Fatalities,0.0
5760,,,Central African Republic,2020-04-21,ConfirmedCases,2.0,Fatalities,0.0
5761,,,Central African Republic,2020-04-22,ConfirmedCases,0.0,Fatalities,0.0
5762,,,Central African Republic,2020-04-23,ConfirmedCases,2.0,Fatalities,0.0
5763,,,Central African Republic,2020-04-24,ConfirmedCases,0.0,Fatalities,0.0
5764,,,Central African Republic,2020-04-25,ConfirmedCases,0.0,Fatalities,0.0
5765,,,Central African Republic,2020-04-26,ConfirmedCases,3.0,Fatalities,0.0
5766,,,Central African Republic,2020-04-27,ConfirmedCases,0.0,Fatalities,0.0
5767,,,Central African Republic,2020-04-28,ConfirmedCases,31.0,Fatalities,0.0
5768,,,Central African Republic,2020-04-29,ConfirmedCases,0.0,Fatalities,0.0
5769,,,Central African Republic,2020-04-30,ConfirmedCases,0.0,Fatalities,0.0
5770,,,Central African Republic,2020-05-01,ConfirmedCases,22.0,Fatalities,0.0
5771,,,Central African Republic,2020-05-02,ConfirmedCases,0.0,Fatalities,0.0
5772,,,Central African Republic,2020-05-03,ConfirmedCases,0.0,Fatalities,0.0
5773,,,Central African Republic,2020-05-04,ConfirmedCases,13.0,Fatalities,0.0
5774,,,Central African Republic,2020-05-05,ConfirmedCases,0.0,Fatalities,0.0
5775,,,Central African Republic,2020-05-06,ConfirmedCases,9.0,Fatalities,0.0
5776,,,Central African Republic,2020-05-07,ConfirmedCases,0.0,Fatalities,0.0
5777,,,Central African Republic,2020-05-08,ConfirmedCases,49.0,Fatalities,0.0
