,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
9523,,,China,2020-01-23,ConfirmedCases,95.0,Fatalities,1.0
9524,,,China,2020-01-24,ConfirmedCases,277.0,Fatalities,8.0
9525,,,China,2020-01-25,ConfirmedCases,486.0,Fatalities,16.0
9526,,,China,2020-01-26,ConfirmedCases,669.0,Fatalities,14.0
9527,,,China,2020-01-27,ConfirmedCases,802.0,Fatalities,26.0
9528,,,China,2020-01-28,ConfirmedCases,2632.0,Fatalities,49.0
9529,,,China,2020-01-29,ConfirmedCases,578.0,Fatalities,2.0
9530,,,China,2020-01-30,ConfirmedCases,2054.0,Fatalities,38.0
9531,,,China,2020-01-31,ConfirmedCases,1661.0,Fatalities,42.0
9532,,,China,2020-02-01,ConfirmedCases,2089.0,Fatalities,46.0
9533,,,China,2020-02-02,ConfirmedCases,4739.0,Fatalities,102.0
9534,,,China,2020-02-03,ConfirmedCases,3086.0,Fatalities,64.0
9535,,,China,2020-02-04,ConfirmedCases,3991.0,Fatalities,66.0
9536,,,China,2020-02-05,ConfirmedCases,3733.0,Fatalities,72.0
9537,,,China,2020-02-06,ConfirmedCases,3147.0,Fatalities,70.0
9538,,,China,2020-02-07,ConfirmedCases,3523.0,Fatalities,85.0
9539,,,China,2020-02-08,ConfirmedCases,2704.0,Fatalities,87.0
9540,,,China,2020-02-09,ConfirmedCases,3015.0,Fatalities,100.0
9541,,,China,2020-02-10,ConfirmedCases,2525.0,Fatalities,107.0
9542,,,China,2020-02-11,ConfirmedCases,2032.0,Fatalities,100.0
9543,,,China,2020-02-12,ConfirmedCases,373.0,Fatalities,5.0
9544,,,China,2020-02-13,ConfirmedCases,15136.0,Fatalities,252.0
9545,,,China,2020-02-14,ConfirmedCases,6463.0,Fatalities,152.0
9546,,,China,2020-02-15,ConfirmedCases,2055.0,Fatalities,142.0
9547,,,China,2020-02-16,ConfirmedCases,2100.0,Fatalities,103.0
9548,,,China,2020-02-17,ConfirmedCases,1921.0,Fatalities,98.0
9549,,,China,2020-02-18,ConfirmedCases,1777.0,Fatalities,139.0
9550,,,China,2020-02-19,ConfirmedCases,408.0,Fatalities,113.0
9551,,,China,2020-02-20,ConfirmedCases,458.0,Fatalities,122.0
9552,,,China,2020-02-21,ConfirmedCases,473.0,Fatalities,0.0
9553,,,China,2020-02-22,ConfirmedCases,1451.0,Fatalities,205.0
9554,,,China,2020-02-23,ConfirmedCases,21.0,Fatalities,2.0
9555,,,China,2020-02-24,ConfirmedCases,219.0,Fatalities,150.0
9556,,,China,2020-02-25,ConfirmedCases,513.0,Fatalities,70.0
9557,,,China,2020-02-26,ConfirmedCases,412.0,Fatalities,52.0
9558,,,China,2020-02-27,ConfirmedCases,434.0,Fatalities,29.0
9559,,,China,2020-02-28,ConfirmedCases,328.0,Fatalities,44.0
9560,,,China,2020-02-29,ConfirmedCases,428.0,Fatalities,47.0
9561,,,China,2020-03-01,ConfirmedCases,576.0,Fatalities,35.0
9562,,,China,2020-03-02,ConfirmedCases,204.0,Fatalities,42.0
9563,,,China,2020-03-03,ConfirmedCases,125.0,Fatalities,33.0
9564,,,China,2020-03-04,ConfirmedCases,125.0,Fatalities,36.0
9565,,,China,2020-03-05,ConfirmedCases,151.0,Fatalities,32.0
9566,,,China,2020-03-06,ConfirmedCases,153.0,Fatalities,29.0
9567,,,China,2020-03-07,ConfirmedCases,80.0,Fatalities,28.0
9568,,,China,2020-03-08,ConfirmedCases,53.0,Fatalities,28.0
9569,,,China,2020-03-09,ConfirmedCases,37.0,Fatalities,23.0
