,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
9630,,,Colombia,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
9631,,,Colombia,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
9632,,,Colombia,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
9633,,,Colombia,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
9634,,,Colombia,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
9635,,,Colombia,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
9636,,,Colombia,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
9637,,,Colombia,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
9638,,,Colombia,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
9639,,,Colombia,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
9640,,,Colombia,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
9641,,,Colombia,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
9642,,,Colombia,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
9643,,,Colombia,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
9644,,,Colombia,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
9645,,,Colombia,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
9646,,,Colombia,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
9647,,,Colombia,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
9648,,,Colombia,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
9649,,,Colombia,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
9650,,,Colombia,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
9651,,,Colombia,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
9652,,,Colombia,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
9653,,,Colombia,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
9654,,,Colombia,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
9655,,,Colombia,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
9656,,,Colombia,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
9657,,,Colombia,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
9658,,,Colombia,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
9659,,,Colombia,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
9660,,,Colombia,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
9661,,,Colombia,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
9662,,,Colombia,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
9663,,,Colombia,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
9664,,,Colombia,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
9665,,,Colombia,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
9666,,,Colombia,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
9667,,,Colombia,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
9668,,,Colombia,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
9669,,,Colombia,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
9670,,,Colombia,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
9671,,,Colombia,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
9672,,,Colombia,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
9673,,,Colombia,2020-03-06,ConfirmedCases,1.0,Fatalities,0.0
9674,,,Colombia,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
9675,,,Colombia,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
9676,,,Colombia,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
9677,,,Colombia,2020-03-10,ConfirmedCases,2.0,Fatalities,0.0
9678,,,Colombia,2020-03-11,ConfirmedCases,6.0,Fatalities,0.0
9679,,,Colombia,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
9680,,,Colombia,2020-03-13,ConfirmedCases,4.0,Fatalities,0.0
