,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
9844,,,Congo (Brazzaville),2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
9845,,,Congo (Brazzaville),2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
9846,,,Congo (Brazzaville),2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
9847,,,Congo (Brazzaville),2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
9848,,,Congo (Brazzaville),2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
9849,,,Congo (Brazzaville),2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
9850,,,Congo (Brazzaville),2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
9851,,,Congo (Brazzaville),2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
9852,,,Congo (Brazzaville),2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
9853,,,Congo (Brazzaville),2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
9854,,,Congo (Brazzaville),2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
9855,,,Congo (Brazzaville),2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
9856,,,Congo (Brazzaville),2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
9857,,,Congo (Brazzaville),2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
9858,,,Congo (Brazzaville),2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
9859,,,Congo (Brazzaville),2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
9860,,,Congo (Brazzaville),2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
9861,,,Congo (Brazzaville),2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
9862,,,Congo (Brazzaville),2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
9863,,,Congo (Brazzaville),2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
9864,,,Congo (Brazzaville),2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
9865,,,Congo (Brazzaville),2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
9866,,,Congo (Brazzaville),2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
9867,,,Congo (Brazzaville),2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
9868,,,Congo (Brazzaville),2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
9869,,,Congo (Brazzaville),2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
9870,,,Congo (Brazzaville),2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
9871,,,Congo (Brazzaville),2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
9872,,,Congo (Brazzaville),2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
9873,,,Congo (Brazzaville),2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
9874,,,Congo (Brazzaville),2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
9875,,,Congo (Brazzaville),2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
9876,,,Congo (Brazzaville),2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
9877,,,Congo (Brazzaville),2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
9878,,,Congo (Brazzaville),2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
9879,,,Congo (Brazzaville),2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
