,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
9951,,,Congo (Kinshasa),2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
9952,,,Congo (Kinshasa),2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
9953,,,Congo (Kinshasa),2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
9954,,,Congo (Kinshasa),2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
9955,,,Congo (Kinshasa),2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
9956,,,Congo (Kinshasa),2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
9957,,,Congo (Kinshasa),2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
9958,,,Congo (Kinshasa),2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
9959,,,Congo (Kinshasa),2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
9960,,,Congo (Kinshasa),2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
9961,,,Congo (Kinshasa),2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
9962,,,Congo (Kinshasa),2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
9963,,,Congo (Kinshasa),2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
9964,,,Congo (Kinshasa),2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
9965,,,Congo (Kinshasa),2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
9966,,,Congo (Kinshasa),2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
9967,,,Congo (Kinshasa),2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
9968,,,Congo (Kinshasa),2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
9969,,,Congo (Kinshasa),2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
9970,,,Congo (Kinshasa),2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
9971,,,Congo (Kinshasa),2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
9972,,,Congo (Kinshasa),2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
9973,,,Congo (Kinshasa),2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
9974,,,Congo (Kinshasa),2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
9975,,,Congo (Kinshasa),2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
9976,,,Congo (Kinshasa),2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
9977,,,Congo (Kinshasa),2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
9978,,,Congo (Kinshasa),2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
9979,,,Congo (Kinshasa),2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
9980,,,Congo (Kinshasa),2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
9981,,,Congo (Kinshasa),2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
9982,,,Congo (Kinshasa),2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
9983,,,Congo (Kinshasa),2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
