,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
10058,,,Costa Rica,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
10059,,,Costa Rica,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
10060,,,Costa Rica,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
10061,,,Costa Rica,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
10062,,,Costa Rica,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
10063,,,Costa Rica,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
10064,,,Costa Rica,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
10065,,,Costa Rica,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
10066,,,Costa Rica,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
10067,,,Costa Rica,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
10068,,,Costa Rica,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
10069,,,Costa Rica,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
10070,,,Costa Rica,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
10071,,,Costa Rica,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
10072,,,Costa Rica,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
10073,,,Costa Rica,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
10074,,,Costa Rica,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
10075,,,Costa Rica,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
10076,,,Costa Rica,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
10077,,,Costa Rica,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
10078,,,Costa Rica,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
10079,,,Costa Rica,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
10080,,,Costa Rica,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
10081,,,Costa Rica,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
10082,,,Costa Rica,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
10083,,,Costa Rica,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
10084,,,Costa Rica,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
10085,,,Costa Rica,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
10086,,,Costa Rica,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
10087,,,Costa Rica,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
10088,,,Costa Rica,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
10089,,,Costa Rica,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
10090,,,Costa Rica,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
10091,,,Costa Rica,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
10092,,,Costa Rica,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
10093,,,Costa Rica,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
10094,,,Costa Rica,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
