,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
10272,,,Croatia,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
10273,,,Croatia,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
10274,,,Croatia,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
10275,,,Croatia,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
10276,,,Croatia,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
10277,,,Croatia,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
10278,,,Croatia,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
10279,,,Croatia,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
10280,,,Croatia,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
10281,,,Croatia,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
10282,,,Croatia,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
10283,,,Croatia,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
10284,,,Croatia,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
10285,,,Croatia,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
10286,,,Croatia,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
10287,,,Croatia,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
10288,,,Croatia,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
10289,,,Croatia,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
10290,,,Croatia,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
10291,,,Croatia,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
10292,,,Croatia,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
10293,,,Croatia,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
10294,,,Croatia,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
10295,,,Croatia,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
10296,,,Croatia,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
10297,,,Croatia,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
10298,,,Croatia,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
10299,,,Croatia,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
10300,,,Croatia,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
10301,,,Croatia,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
10302,,,Croatia,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
10303,,,Croatia,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
10304,,,Croatia,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
10305,,,Croatia,2020-02-25,ConfirmedCases,1.0,Fatalities,0.0
10306,,,Croatia,2020-02-26,ConfirmedCases,2.0,Fatalities,0.0
10307,,,Croatia,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
10308,,,Croatia,2020-02-28,ConfirmedCases,2.0,Fatalities,0.0
10309,,,Croatia,2020-02-29,ConfirmedCases,1.0,Fatalities,0.0
10310,,,Croatia,2020-03-01,ConfirmedCases,1.0,Fatalities,0.0
10311,,,Croatia,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
10312,,,Croatia,2020-03-03,ConfirmedCases,2.0,Fatalities,0.0
10313,,,Croatia,2020-03-04,ConfirmedCases,1.0,Fatalities,0.0
10314,,,Croatia,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
10315,,,Croatia,2020-03-06,ConfirmedCases,1.0,Fatalities,0.0
10316,,,Croatia,2020-03-07,ConfirmedCases,1.0,Fatalities,0.0
10317,,,Croatia,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
10318,,,Croatia,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
10319,,,Croatia,2020-03-10,ConfirmedCases,2.0,Fatalities,0.0
10320,,,Croatia,2020-03-11,ConfirmedCases,5.0,Fatalities,0.0
10321,,,Croatia,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
