,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
10379,,,Cuba,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
10380,,,Cuba,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
10381,,,Cuba,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
10382,,,Cuba,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
10383,,,Cuba,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
10384,,,Cuba,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
10385,,,Cuba,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
10386,,,Cuba,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
10387,,,Cuba,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
10388,,,Cuba,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
10389,,,Cuba,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
10390,,,Cuba,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
10391,,,Cuba,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
10392,,,Cuba,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
10393,,,Cuba,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
10394,,,Cuba,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
10395,,,Cuba,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
10396,,,Cuba,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
10397,,,Cuba,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
10398,,,Cuba,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
10399,,,Cuba,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
10400,,,Cuba,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
10401,,,Cuba,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
10402,,,Cuba,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
10403,,,Cuba,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
10404,,,Cuba,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
10405,,,Cuba,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
10406,,,Cuba,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
10407,,,Cuba,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
10408,,,Cuba,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
10409,,,Cuba,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
10410,,,Cuba,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
10411,,,Cuba,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
10412,,,Cuba,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
10413,,,Cuba,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
10414,,,Cuba,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
10415,,,Cuba,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
10416,,,Cuba,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
10417,,,Cuba,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
10418,,,Cuba,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
10419,,,Cuba,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
10420,,,Cuba,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
10421,,,Cuba,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
10422,,,Cuba,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
10423,,,Cuba,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
10424,,,Cuba,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
10425,,,Cuba,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
10426,,,Cuba,2020-03-10,ConfirmedCases,0.0,Fatalities,0.0
10427,,,Cuba,2020-03-11,ConfirmedCases,0.0,Fatalities,0.0
