,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
10914,,,Denmark,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
10915,,,Denmark,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
10916,,,Denmark,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
10917,,,Denmark,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
10918,,,Denmark,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
10919,,,Denmark,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
10920,,,Denmark,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
10921,,,Denmark,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
10922,,,Denmark,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
10923,,,Denmark,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
10924,,,Denmark,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
10925,,,Denmark,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
10926,,,Denmark,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
10927,,,Denmark,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
10928,,,Denmark,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
10929,,,Denmark,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
10930,,,Denmark,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
10931,,,Denmark,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
10932,,,Denmark,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
10933,,,Denmark,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
10934,,,Denmark,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
10935,,,Denmark,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
10936,,,Denmark,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
10937,,,Denmark,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
10938,,,Denmark,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
10939,,,Denmark,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
10940,,,Denmark,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
10941,,,Denmark,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
10942,,,Denmark,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
10943,,,Denmark,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
10944,,,Denmark,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
10945,,,Denmark,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
10946,,,Denmark,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
10947,,,Denmark,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
10948,,,Denmark,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
10949,,,Denmark,2020-02-27,ConfirmedCases,1.0,Fatalities,0.0
10950,,,Denmark,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
10951,,,Denmark,2020-02-29,ConfirmedCases,2.0,Fatalities,0.0
10952,,,Denmark,2020-03-01,ConfirmedCases,1.0,Fatalities,0.0
10953,,,Denmark,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
10954,,,Denmark,2020-03-03,ConfirmedCases,2.0,Fatalities,0.0
10955,,,Denmark,2020-03-04,ConfirmedCases,4.0,Fatalities,0.0
10956,,,Denmark,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
10957,,,Denmark,2020-03-06,ConfirmedCases,13.0,Fatalities,0.0
10958,,,Denmark,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
10959,,,Denmark,2020-03-08,ConfirmedCases,12.0,Fatalities,0.0
10960,,,Denmark,2020-03-09,ConfirmedCases,55.0,Fatalities,0.0
10961,,,Denmark,2020-03-10,ConfirmedCases,172.0,Fatalities,0.0
10962,,,Denmark,2020-03-11,ConfirmedCases,180.0,Fatalities,0.0
10963,,,Denmark,2020-03-12,ConfirmedCases,173.0,Fatalities,0.0
10964,,,Denmark,2020-03-13,ConfirmedCases,186.0,Fatalities,0.0
10965,,,Denmark,2020-03-14,ConfirmedCases,26.0,Fatalities,1.0
10966,,,Denmark,2020-03-15,ConfirmedCases,37.0,Fatalities,1.0
10967,,,Denmark,2020-03-16,ConfirmedCases,50.0,Fatalities,1.0
10968,,,Denmark,2020-03-17,ConfirmedCases,63.0,Fatalities,1.0
10969,,,Denmark,2020-03-18,ConfirmedCases,80.0,Fatalities,0.0
10970,,,Denmark,2020-03-19,ConfirmedCases,94.0,Fatalities,2.0
10971,,,Denmark,2020-03-20,ConfirmedCases,104.0,Fatalities,3.0
10972,,,Denmark,2020-03-21,ConfirmedCases,71.0,Fatalities,4.0
10973,,,Denmark,2020-03-22,ConfirmedCases,69.0,Fatalities,0.0
10974,,,Denmark,2020-03-23,ConfirmedCases,55.0,Fatalities,11.0
10975,,,Denmark,2020-03-24,ConfirmedCases,141.0,Fatalities,8.0
10976,,,Denmark,2020-03-25,ConfirmedCases,133.0,Fatalities,2.0
10977,,,Denmark,2020-03-26,ConfirmedCases,153.0,Fatalities,7.0
10978,,,Denmark,2020-03-27,ConfirmedCases,169.0,Fatalities,11.0
10979,,,Denmark,2020-03-28,ConfirmedCases,155.0,Fatalities,13.0
10980,,,Denmark,2020-03-29,ConfirmedCases,194.0,Fatalities,7.0
10981,,,Denmark,2020-03-30,ConfirmedCases,182.0,Fatalities,5.0
10982,,,Denmark,2020-03-31,ConfirmedCases,283.0,Fatalities,13.0
10983,,,Denmark,2020-04-01,ConfirmedCases,247.0,Fatalities,14.0
