,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
11021,,,Diamond Princess,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
11022,,,Diamond Princess,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
11023,,,Diamond Princess,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
11024,,,Diamond Princess,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
11025,,,Diamond Princess,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
11026,,,Diamond Princess,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
11027,,,Diamond Princess,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
11028,,,Diamond Princess,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
11029,,,Diamond Princess,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
11030,,,Diamond Princess,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
11031,,,Diamond Princess,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
11032,,,Diamond Princess,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
11033,,,Diamond Princess,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
11034,,,Diamond Princess,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
11035,,,Diamond Princess,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
11036,,,Diamond Princess,2020-02-07,ConfirmedCases,61.0,Fatalities,0.0
11037,,,Diamond Princess,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
11038,,,Diamond Princess,2020-02-09,ConfirmedCases,3.0,Fatalities,0.0
11039,,,Diamond Princess,2020-02-10,ConfirmedCases,71.0,Fatalities,0.0
11040,,,Diamond Princess,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
11041,,,Diamond Princess,2020-02-12,ConfirmedCases,40.0,Fatalities,0.0
11042,,,Diamond Princess,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
11043,,,Diamond Princess,2020-02-14,ConfirmedCases,43.0,Fatalities,0.0
11044,,,Diamond Princess,2020-02-15,ConfirmedCases,67.0,Fatalities,0.0
11045,,,Diamond Princess,2020-02-16,ConfirmedCases,70.0,Fatalities,0.0
11046,,,Diamond Princess,2020-02-17,ConfirmedCases,99.0,Fatalities,0.0
11047,,,Diamond Princess,2020-02-18,ConfirmedCases,88.0,Fatalities,0.0
11048,,,Diamond Princess,2020-02-19,ConfirmedCases,79.0,Fatalities,0.0
11049,,,Diamond Princess,2020-02-20,ConfirmedCases,13.0,Fatalities,2.0
11050,,,Diamond Princess,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
11051,,,Diamond Princess,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
11052,,,Diamond Princess,2020-02-23,ConfirmedCases,57.0,Fatalities,1.0
11053,,,Diamond Princess,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
11054,,,Diamond Princess,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
11055,,,Diamond Princess,2020-02-26,ConfirmedCases,14.0,Fatalities,1.0
11056,,,Diamond Princess,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
11057,,,Diamond Princess,2020-02-28,ConfirmedCases,0.0,Fatalities,2.0
11058,,,Diamond Princess,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
11059,,,Diamond Princess,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
