,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
11235,,,Dominica,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
11236,,,Dominica,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
11237,,,Dominica,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
11238,,,Dominica,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
11239,,,Dominica,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
11240,,,Dominica,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
11241,,,Dominica,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
11242,,,Dominica,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
11243,,,Dominica,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
11244,,,Dominica,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
11245,,,Dominica,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
11246,,,Dominica,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
11247,,,Dominica,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
11248,,,Dominica,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
11249,,,Dominica,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
11250,,,Dominica,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
11251,,,Dominica,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
11252,,,Dominica,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
11253,,,Dominica,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
11254,,,Dominica,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
11255,,,Dominica,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
11256,,,Dominica,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
11257,,,Dominica,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
11258,,,Dominica,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
11259,,,Dominica,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
11260,,,Dominica,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
11261,,,Dominica,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
11262,,,Dominica,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
11263,,,Dominica,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
11264,,,Dominica,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
11265,,,Dominica,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
11266,,,Dominica,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
11267,,,Dominica,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
11268,,,Dominica,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
11269,,,Dominica,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
11270,,,Dominica,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
11271,,,Dominica,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
11272,,,Dominica,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
11273,,,Dominica,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
11274,,,Dominica,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
11275,,,Dominica,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
11276,,,Dominica,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
11277,,,Dominica,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
11278,,,Dominica,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
11279,,,Dominica,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
11280,,,Dominica,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
11281,,,Dominica,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
11282,,,Dominica,2020-03-10,ConfirmedCases,0.0,Fatalities,0.0
11283,,,Dominica,2020-03-11,ConfirmedCases,0.0,Fatalities,0.0
11284,,,Dominica,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
11285,,,Dominica,2020-03-13,ConfirmedCases,0.0,Fatalities,0.0
11286,,,Dominica,2020-03-14,ConfirmedCases,0.0,Fatalities,0.0
11287,,,Dominica,2020-03-15,ConfirmedCases,0.0,Fatalities,0.0
11288,,,Dominica,2020-03-16,ConfirmedCases,0.0,Fatalities,0.0
11289,,,Dominica,2020-03-17,ConfirmedCases,0.0,Fatalities,0.0
11290,,,Dominica,2020-03-18,ConfirmedCases,0.0,Fatalities,0.0
11291,,,Dominica,2020-03-19,ConfirmedCases,0.0,Fatalities,0.0
11292,,,Dominica,2020-03-20,ConfirmedCases,0.0,Fatalities,0.0
11293,,,Dominica,2020-03-21,ConfirmedCases,0.0,Fatalities,0.0
11294,,,Dominica,2020-03-22,ConfirmedCases,1.0,Fatalities,0.0
11295,,,Dominica,2020-03-23,ConfirmedCases,1.0,Fatalities,0.0
11296,,,Dominica,2020-03-24,ConfirmedCases,0.0,Fatalities,0.0
11297,,,Dominica,2020-03-25,ConfirmedCases,5.0,Fatalities,0.0
11298,,,Dominica,2020-03-26,ConfirmedCases,4.0,Fatalities,0.0
11299,,,Dominica,2020-03-27,ConfirmedCases,0.0,Fatalities,0.0
11300,,,Dominica,2020-03-28,ConfirmedCases,0.0,Fatalities,0.0
11301,,,Dominica,2020-03-29,ConfirmedCases,0.0,Fatalities,0.0
11302,,,Dominica,2020-03-30,ConfirmedCases,0.0,Fatalities,0.0
11303,,,Dominica,2020-03-31,ConfirmedCases,1.0,Fatalities,0.0
11304,,,Dominica,2020-04-01,ConfirmedCases,0.0,Fatalities,0.0
11305,,,Dominica,2020-04-02,ConfirmedCases,0.0,Fatalities,0.0
11306,,,Dominica,2020-04-03,ConfirmedCases,0.0,Fatalities,0.0
11307,,,Dominica,2020-04-04,ConfirmedCases,2.0,Fatalities,0.0
11308,,,Dominica,2020-04-05,ConfirmedCases,0.0,Fatalities,0.0
11309,,,Dominica,2020-04-06,ConfirmedCases,1.0,Fatalities,0.0
11310,,,Dominica,2020-04-07,ConfirmedCases,0.0,Fatalities,0.0
11311,,,Dominica,2020-04-08,ConfirmedCases,0.0,Fatalities,0.0
11312,,,Dominica,2020-04-09,ConfirmedCases,0.0,Fatalities,0.0
11313,,,Dominica,2020-04-10,ConfirmedCases,1.0,Fatalities,0.0
11314,,,Dominica,2020-04-11,ConfirmedCases,0.0,Fatalities,0.0
11315,,,Dominica,2020-04-12,ConfirmedCases,0.0,Fatalities,0.0
11316,,,Dominica,2020-04-13,ConfirmedCases,0.0,Fatalities,0.0
11317,,,Dominica,2020-04-14,ConfirmedCases,0.0,Fatalities,0.0
11318,,,Dominica,2020-04-15,ConfirmedCases,0.0,Fatalities,0.0
11319,,,Dominica,2020-04-16,ConfirmedCases,0.0,Fatalities,0.0
11320,,,Dominica,2020-04-17,ConfirmedCases,0.0,Fatalities,0.0
11321,,,Dominica,2020-04-18,ConfirmedCases,0.0,Fatalities,0.0
11322,,,Dominica,2020-04-19,ConfirmedCases,0.0,Fatalities,0.0
11323,,,Dominica,2020-04-20,ConfirmedCases,0.0,Fatalities,0.0
11324,,,Dominica,2020-04-21,ConfirmedCases,0.0,Fatalities,0.0
11325,,,Dominica,2020-04-22,ConfirmedCases,0.0,Fatalities,0.0
11326,,,Dominica,2020-04-23,ConfirmedCases,0.0,Fatalities,0.0
11327,,,Dominica,2020-04-24,ConfirmedCases,0.0,Fatalities,0.0
11328,,,Dominica,2020-04-25,ConfirmedCases,0.0,Fatalities,0.0
11329,,,Dominica,2020-04-26,ConfirmedCases,0.0,Fatalities,0.0
11330,,,Dominica,2020-04-27,ConfirmedCases,0.0,Fatalities,0.0
11331,,,Dominica,2020-04-28,ConfirmedCases,0.0,Fatalities,0.0
11332,,,Dominica,2020-04-29,ConfirmedCases,0.0,Fatalities,0.0
11333,,,Dominica,2020-04-30,ConfirmedCases,0.0,Fatalities,0.0
11334,,,Dominica,2020-05-01,ConfirmedCases,0.0,Fatalities,0.0
11335,,,Dominica,2020-05-02,ConfirmedCases,0.0,Fatalities,0.0
11336,,,Dominica,2020-05-03,ConfirmedCases,0.0,Fatalities,0.0
11337,,,Dominica,2020-05-04,ConfirmedCases,0.0,Fatalities,0.0
11338,,,Dominica,2020-05-05,ConfirmedCases,0.0,Fatalities,0.0
11339,,,Dominica,2020-05-06,ConfirmedCases,0.0,Fatalities,0.0
11340,,,Dominica,2020-05-07,ConfirmedCases,0.0,Fatalities,0.0
11341,,,Dominica,2020-05-08,ConfirmedCases,0.0,Fatalities,0.0
