,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
11342,,,Dominican Republic,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
11343,,,Dominican Republic,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
11344,,,Dominican Republic,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
11345,,,Dominican Republic,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
11346,,,Dominican Republic,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
11347,,,Dominican Republic,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
11348,,,Dominican Republic,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
11349,,,Dominican Republic,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
11350,,,Dominican Republic,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
11351,,,Dominican Republic,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
11352,,,Dominican Republic,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
11353,,,Dominican Republic,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
11354,,,Dominican Republic,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
11355,,,Dominican Republic,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
11356,,,Dominican Republic,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
11357,,,Dominican Republic,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
11358,,,Dominican Republic,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
11359,,,Dominican Republic,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
11360,,,Dominican Republic,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
11361,,,Dominican Republic,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
11362,,,Dominican Republic,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
11363,,,Dominican Republic,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
11364,,,Dominican Republic,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
11365,,,Dominican Republic,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
11366,,,Dominican Republic,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
11367,,,Dominican Republic,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
11368,,,Dominican Republic,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
11369,,,Dominican Republic,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
11370,,,Dominican Republic,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
11371,,,Dominican Republic,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
11372,,,Dominican Republic,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
11373,,,Dominican Republic,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
11374,,,Dominican Republic,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
11375,,,Dominican Republic,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
11376,,,Dominican Republic,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
11377,,,Dominican Republic,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
11378,,,Dominican Republic,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
11379,,,Dominican Republic,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
11380,,,Dominican Republic,2020-03-01,ConfirmedCases,1.0,Fatalities,0.0
11381,,,Dominican Republic,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
11382,,,Dominican Republic,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
11383,,,Dominican Republic,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
11384,,,Dominican Republic,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
11385,,,Dominican Republic,2020-03-06,ConfirmedCases,1.0,Fatalities,0.0
11386,,,Dominican Republic,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
11387,,,Dominican Republic,2020-03-08,ConfirmedCases,3.0,Fatalities,0.0
11388,,,Dominican Republic,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
11389,,,Dominican Republic,2020-03-10,ConfirmedCases,0.0,Fatalities,0.0
11390,,,Dominican Republic,2020-03-11,ConfirmedCases,0.0,Fatalities,0.0
11391,,,Dominican Republic,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
11392,,,Dominican Republic,2020-03-13,ConfirmedCases,0.0,Fatalities,0.0
11393,,,Dominican Republic,2020-03-14,ConfirmedCases,6.0,Fatalities,0.0
11394,,,Dominican Republic,2020-03-15,ConfirmedCases,0.0,Fatalities,0.0
11395,,,Dominican Republic,2020-03-16,ConfirmedCases,0.0,Fatalities,0.0
11396,,,Dominican Republic,2020-03-17,ConfirmedCases,10.0,Fatalities,1.0
11397,,,Dominican Republic,2020-03-18,ConfirmedCases,0.0,Fatalities,0.0
11398,,,Dominican Republic,2020-03-19,ConfirmedCases,13.0,Fatalities,1.0
11399,,,Dominican Republic,2020-03-20,ConfirmedCases,38.0,Fatalities,0.0
11400,,,Dominican Republic,2020-03-21,ConfirmedCases,40.0,Fatalities,0.0
