,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
11556,,,Egypt,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
11557,,,Egypt,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
11558,,,Egypt,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
11559,,,Egypt,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
11560,,,Egypt,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
11561,,,Egypt,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
11562,,,Egypt,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
11563,,,Egypt,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
11564,,,Egypt,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
11565,,,Egypt,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
11566,,,Egypt,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
11567,,,Egypt,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
11568,,,Egypt,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
11569,,,Egypt,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
11570,,,Egypt,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
11571,,,Egypt,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
11572,,,Egypt,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
11573,,,Egypt,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
11574,,,Egypt,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
11575,,,Egypt,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
11576,,,Egypt,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
11577,,,Egypt,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
11578,,,Egypt,2020-02-14,ConfirmedCases,1.0,Fatalities,0.0
11579,,,Egypt,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
11580,,,Egypt,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
11581,,,Egypt,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
11582,,,Egypt,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
11583,,,Egypt,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
11584,,,Egypt,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
11585,,,Egypt,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
11586,,,Egypt,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
11587,,,Egypt,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
11588,,,Egypt,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
11589,,,Egypt,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
11590,,,Egypt,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
11591,,,Egypt,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
11592,,,Egypt,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
11593,,,Egypt,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
11594,,,Egypt,2020-03-01,ConfirmedCases,1.0,Fatalities,0.0
11595,,,Egypt,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
11596,,,Egypt,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
11597,,,Egypt,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
11598,,,Egypt,2020-03-05,ConfirmedCases,1.0,Fatalities,0.0
11599,,,Egypt,2020-03-06,ConfirmedCases,12.0,Fatalities,0.0
11600,,,Egypt,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
11601,,,Egypt,2020-03-08,ConfirmedCases,34.0,Fatalities,1.0
11602,,,Egypt,2020-03-09,ConfirmedCases,6.0,Fatalities,0.0
11603,,,Egypt,2020-03-10,ConfirmedCases,4.0,Fatalities,0.0
11604,,,Egypt,2020-03-11,ConfirmedCases,1.0,Fatalities,0.0
11605,,,Egypt,2020-03-12,ConfirmedCases,7.0,Fatalities,0.0
11606,,,Egypt,2020-03-13,ConfirmedCases,13.0,Fatalities,1.0
11607,,,Egypt,2020-03-14,ConfirmedCases,29.0,Fatalities,0.0
11608,,,Egypt,2020-03-15,ConfirmedCases,1.0,Fatalities,0.0
11609,,,Egypt,2020-03-16,ConfirmedCases,40.0,Fatalities,0.0
11610,,,Egypt,2020-03-17,ConfirmedCases,46.0,Fatalities,2.0
11611,,,Egypt,2020-03-18,ConfirmedCases,0.0,Fatalities,2.0
11612,,,Egypt,2020-03-19,ConfirmedCases,60.0,Fatalities,0.0
11613,,,Egypt,2020-03-20,ConfirmedCases,29.0,Fatalities,2.0
11614,,,Egypt,2020-03-21,ConfirmedCases,9.0,Fatalities,2.0
11615,,,Egypt,2020-03-22,ConfirmedCases,33.0,Fatalities,4.0
11616,,,Egypt,2020-03-23,ConfirmedCases,39.0,Fatalities,5.0
11617,,,Egypt,2020-03-24,ConfirmedCases,36.0,Fatalities,1.0
11618,,,Egypt,2020-03-25,ConfirmedCases,54.0,Fatalities,1.0
11619,,,Egypt,2020-03-26,ConfirmedCases,39.0,Fatalities,3.0
11620,,,Egypt,2020-03-27,ConfirmedCases,41.0,Fatalities,6.0
11621,,,Egypt,2020-03-28,ConfirmedCases,40.0,Fatalities,6.0
11622,,,Egypt,2020-03-29,ConfirmedCases,33.0,Fatalities,4.0
11623,,,Egypt,2020-03-30,ConfirmedCases,47.0,Fatalities,1.0
11624,,,Egypt,2020-03-31,ConfirmedCases,54.0,Fatalities,5.0
11625,,,Egypt,2020-04-01,ConfirmedCases,69.0,Fatalities,6.0
11626,,,Egypt,2020-04-02,ConfirmedCases,86.0,Fatalities,6.0
11627,,,Egypt,2020-04-03,ConfirmedCases,120.0,Fatalities,8.0
11628,,,Egypt,2020-04-04,ConfirmedCases,85.0,Fatalities,5.0
11629,,,Egypt,2020-04-05,ConfirmedCases,103.0,Fatalities,7.0
11630,,,Egypt,2020-04-06,ConfirmedCases,149.0,Fatalities,7.0
11631,,,Egypt,2020-04-07,ConfirmedCases,128.0,Fatalities,9.0
11632,,,Egypt,2020-04-08,ConfirmedCases,110.0,Fatalities,9.0
11633,,,Egypt,2020-04-09,ConfirmedCases,139.0,Fatalities,15.0
11634,,,Egypt,2020-04-10,ConfirmedCases,95.0,Fatalities,17.0
11635,,,Egypt,2020-04-11,ConfirmedCases,145.0,Fatalities,11.0
11636,,,Egypt,2020-04-12,ConfirmedCases,126.0,Fatalities,13.0
11637,,,Egypt,2020-04-13,ConfirmedCases,125.0,Fatalities,5.0
11638,,,Egypt,2020-04-14,ConfirmedCases,160.0,Fatalities,14.0
11639,,,Egypt,2020-04-15,ConfirmedCases,155.0,Fatalities,5.0
11640,,,Egypt,2020-04-16,ConfirmedCases,168.0,Fatalities,13.0
11641,,,Egypt,2020-04-17,ConfirmedCases,171.0,Fatalities,9.0
11642,,,Egypt,2020-04-18,ConfirmedCases,188.0,Fatalities,19.0
11643,,,Egypt,2020-04-19,ConfirmedCases,112.0,Fatalities,15.0
11644,,,Egypt,2020-04-20,ConfirmedCases,189.0,Fatalities,11.0
11645,,,Egypt,2020-04-21,ConfirmedCases,157.0,Fatalities,14.0
11646,,,Egypt,2020-04-22,ConfirmedCases,169.0,Fatalities,12.0
11647,,,Egypt,2020-04-23,ConfirmedCases,232.0,Fatalities,11.0
11648,,,Egypt,2020-04-24,ConfirmedCases,201.0,Fatalities,7.0
11649,,,Egypt,2020-04-25,ConfirmedCases,227.0,Fatalities,13.0
11650,,,Egypt,2020-04-26,ConfirmedCases,215.0,Fatalities,10.0
11651,,,Egypt,2020-04-27,ConfirmedCases,248.0,Fatalities,20.0
11652,,,Egypt,2020-04-28,ConfirmedCases,260.0,Fatalities,22.0
11653,,,Egypt,2020-04-29,ConfirmedCases,226.0,Fatalities,21.0
11654,,,Egypt,2020-04-30,ConfirmedCases,269.0,Fatalities,12.0
11655,,,Egypt,2020-05-01,ConfirmedCases,358.0,Fatalities,14.0
11656,,,Egypt,2020-05-02,ConfirmedCases,298.0,Fatalities,9.0
11657,,,Egypt,2020-05-03,ConfirmedCases,272.0,Fatalities,14.0
11658,,,Egypt,2020-05-04,ConfirmedCases,348.0,Fatalities,7.0
11659,,,Egypt,2020-05-05,ConfirmedCases,388.0,Fatalities,16.0
11660,,,Egypt,2020-05-06,ConfirmedCases,387.0,Fatalities,17.0
11661,,,Egypt,2020-05-07,ConfirmedCases,393.0,Fatalities,13.0
11662,,,Egypt,2020-05-08,ConfirmedCases,495.0,Fatalities,21.0
