,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
11770,,,Equatorial Guinea,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
11771,,,Equatorial Guinea,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
11772,,,Equatorial Guinea,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
11773,,,Equatorial Guinea,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
11774,,,Equatorial Guinea,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
11775,,,Equatorial Guinea,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
11776,,,Equatorial Guinea,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
11777,,,Equatorial Guinea,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
11778,,,Equatorial Guinea,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
11779,,,Equatorial Guinea,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
11780,,,Equatorial Guinea,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
11781,,,Equatorial Guinea,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
11782,,,Equatorial Guinea,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
11783,,,Equatorial Guinea,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
11784,,,Equatorial Guinea,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
11785,,,Equatorial Guinea,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
11786,,,Equatorial Guinea,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
11787,,,Equatorial Guinea,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
11788,,,Equatorial Guinea,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
11789,,,Equatorial Guinea,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
11790,,,Equatorial Guinea,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
11791,,,Equatorial Guinea,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
11792,,,Equatorial Guinea,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
11793,,,Equatorial Guinea,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
11794,,,Equatorial Guinea,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
11795,,,Equatorial Guinea,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
11796,,,Equatorial Guinea,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
11797,,,Equatorial Guinea,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
11798,,,Equatorial Guinea,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
11799,,,Equatorial Guinea,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
11800,,,Equatorial Guinea,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
11801,,,Equatorial Guinea,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
11802,,,Equatorial Guinea,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
11803,,,Equatorial Guinea,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
