,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
12198,,,Ethiopia,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
12199,,,Ethiopia,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
12200,,,Ethiopia,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
12201,,,Ethiopia,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
12202,,,Ethiopia,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
12203,,,Ethiopia,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
12204,,,Ethiopia,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
12205,,,Ethiopia,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
12206,,,Ethiopia,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
12207,,,Ethiopia,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
12208,,,Ethiopia,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
12209,,,Ethiopia,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
12210,,,Ethiopia,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
12211,,,Ethiopia,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
12212,,,Ethiopia,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
12213,,,Ethiopia,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
12214,,,Ethiopia,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
12215,,,Ethiopia,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
12216,,,Ethiopia,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
12217,,,Ethiopia,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
12218,,,Ethiopia,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
12219,,,Ethiopia,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
12220,,,Ethiopia,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
12221,,,Ethiopia,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
12222,,,Ethiopia,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
12223,,,Ethiopia,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
12224,,,Ethiopia,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
12225,,,Ethiopia,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
12226,,,Ethiopia,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
12227,,,Ethiopia,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
12228,,,Ethiopia,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
12229,,,Ethiopia,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
12230,,,Ethiopia,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
12231,,,Ethiopia,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
12232,,,Ethiopia,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
12233,,,Ethiopia,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
12234,,,Ethiopia,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
12235,,,Ethiopia,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
12236,,,Ethiopia,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
12237,,,Ethiopia,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
12238,,,Ethiopia,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
12239,,,Ethiopia,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
12240,,,Ethiopia,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
12241,,,Ethiopia,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
12242,,,Ethiopia,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
12243,,,Ethiopia,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
12244,,,Ethiopia,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
12245,,,Ethiopia,2020-03-10,ConfirmedCases,0.0,Fatalities,0.0
12246,,,Ethiopia,2020-03-11,ConfirmedCases,0.0,Fatalities,0.0
12247,,,Ethiopia,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
12248,,,Ethiopia,2020-03-13,ConfirmedCases,1.0,Fatalities,0.0
12249,,,Ethiopia,2020-03-14,ConfirmedCases,0.0,Fatalities,0.0
12250,,,Ethiopia,2020-03-15,ConfirmedCases,0.0,Fatalities,0.0
12251,,,Ethiopia,2020-03-16,ConfirmedCases,4.0,Fatalities,0.0
12252,,,Ethiopia,2020-03-17,ConfirmedCases,0.0,Fatalities,0.0
12253,,,Ethiopia,2020-03-18,ConfirmedCases,1.0,Fatalities,0.0
12254,,,Ethiopia,2020-03-19,ConfirmedCases,0.0,Fatalities,0.0
12255,,,Ethiopia,2020-03-20,ConfirmedCases,3.0,Fatalities,0.0
12256,,,Ethiopia,2020-03-21,ConfirmedCases,0.0,Fatalities,0.0
12257,,,Ethiopia,2020-03-22,ConfirmedCases,2.0,Fatalities,0.0
12258,,,Ethiopia,2020-03-23,ConfirmedCases,0.0,Fatalities,0.0
12259,,,Ethiopia,2020-03-24,ConfirmedCases,1.0,Fatalities,0.0
12260,,,Ethiopia,2020-03-25,ConfirmedCases,0.0,Fatalities,0.0
12261,,,Ethiopia,2020-03-26,ConfirmedCases,0.0,Fatalities,0.0
12262,,,Ethiopia,2020-03-27,ConfirmedCases,4.0,Fatalities,0.0
12263,,,Ethiopia,2020-03-28,ConfirmedCases,0.0,Fatalities,0.0
12264,,,Ethiopia,2020-03-29,ConfirmedCases,5.0,Fatalities,0.0
12265,,,Ethiopia,2020-03-30,ConfirmedCases,2.0,Fatalities,0.0
12266,,,Ethiopia,2020-03-31,ConfirmedCases,3.0,Fatalities,0.0
12267,,,Ethiopia,2020-04-01,ConfirmedCases,3.0,Fatalities,0.0
12268,,,Ethiopia,2020-04-02,ConfirmedCases,0.0,Fatalities,0.0
12269,,,Ethiopia,2020-04-03,ConfirmedCases,6.0,Fatalities,0.0
12270,,,Ethiopia,2020-04-04,ConfirmedCases,3.0,Fatalities,0.0
12271,,,Ethiopia,2020-04-05,ConfirmedCases,5.0,Fatalities,2.0
12272,,,Ethiopia,2020-04-06,ConfirmedCases,1.0,Fatalities,0.0
12273,,,Ethiopia,2020-04-07,ConfirmedCases,8.0,Fatalities,0.0
12274,,,Ethiopia,2020-04-08,ConfirmedCases,3.0,Fatalities,0.0
12275,,,Ethiopia,2020-04-09,ConfirmedCases,1.0,Fatalities,0.0
12276,,,Ethiopia,2020-04-10,ConfirmedCases,9.0,Fatalities,1.0
12277,,,Ethiopia,2020-04-11,ConfirmedCases,4.0,Fatalities,0.0
12278,,,Ethiopia,2020-04-12,ConfirmedCases,2.0,Fatalities,0.0
12279,,,Ethiopia,2020-04-13,ConfirmedCases,3.0,Fatalities,0.0
12280,,,Ethiopia,2020-04-14,ConfirmedCases,8.0,Fatalities,0.0
12281,,,Ethiopia,2020-04-15,ConfirmedCases,3.0,Fatalities,0.0
