,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
12412,,,Finland,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
12413,,,Finland,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
12414,,,Finland,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
12415,,,Finland,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
12416,,,Finland,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
12417,,,Finland,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
12418,,,Finland,2020-01-29,ConfirmedCases,1.0,Fatalities,0.0
12419,,,Finland,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
12420,,,Finland,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
12421,,,Finland,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
12422,,,Finland,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
12423,,,Finland,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
12424,,,Finland,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
12425,,,Finland,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
12426,,,Finland,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
12427,,,Finland,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
12428,,,Finland,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
12429,,,Finland,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
12430,,,Finland,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
12431,,,Finland,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
12432,,,Finland,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
12433,,,Finland,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
12434,,,Finland,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
12435,,,Finland,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
12436,,,Finland,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
12437,,,Finland,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
12438,,,Finland,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
12439,,,Finland,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
12440,,,Finland,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
12441,,,Finland,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
12442,,,Finland,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
12443,,,Finland,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
12444,,,Finland,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
12445,,,Finland,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
12446,,,Finland,2020-02-26,ConfirmedCases,1.0,Fatalities,0.0
12447,,,Finland,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
12448,,,Finland,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
12449,,,Finland,2020-02-29,ConfirmedCases,1.0,Fatalities,0.0
12450,,,Finland,2020-03-01,ConfirmedCases,3.0,Fatalities,0.0
12451,,,Finland,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
12452,,,Finland,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
12453,,,Finland,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
12454,,,Finland,2020-03-05,ConfirmedCases,6.0,Fatalities,0.0
12455,,,Finland,2020-03-06,ConfirmedCases,3.0,Fatalities,0.0
12456,,,Finland,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
12457,,,Finland,2020-03-08,ConfirmedCases,8.0,Fatalities,0.0
12458,,,Finland,2020-03-09,ConfirmedCases,7.0,Fatalities,0.0
12459,,,Finland,2020-03-10,ConfirmedCases,10.0,Fatalities,0.0
12460,,,Finland,2020-03-11,ConfirmedCases,19.0,Fatalities,0.0
12461,,,Finland,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
12462,,,Finland,2020-03-13,ConfirmedCases,96.0,Fatalities,0.0
12463,,,Finland,2020-03-14,ConfirmedCases,70.0,Fatalities,0.0
12464,,,Finland,2020-03-15,ConfirmedCases,19.0,Fatalities,0.0
12465,,,Finland,2020-03-16,ConfirmedCases,33.0,Fatalities,0.0
12466,,,Finland,2020-03-17,ConfirmedCases,44.0,Fatalities,0.0
12467,,,Finland,2020-03-18,ConfirmedCases,15.0,Fatalities,0.0
12468,,,Finland,2020-03-19,ConfirmedCases,64.0,Fatalities,0.0
12469,,,Finland,2020-03-20,ConfirmedCases,50.0,Fatalities,0.0
12470,,,Finland,2020-03-21,ConfirmedCases,73.0,Fatalities,1.0
12471,,,Finland,2020-03-22,ConfirmedCases,103.0,Fatalities,0.0
12472,,,Finland,2020-03-23,ConfirmedCases,74.0,Fatalities,0.0
12473,,,Finland,2020-03-24,ConfirmedCases,92.0,Fatalities,0.0
12474,,,Finland,2020-03-25,ConfirmedCases,88.0,Fatalities,2.0
12475,,,Finland,2020-03-26,ConfirmedCases,78.0,Fatalities,2.0
12476,,,Finland,2020-03-27,ConfirmedCases,83.0,Fatalities,2.0
12477,,,Finland,2020-03-28,ConfirmedCases,126.0,Fatalities,2.0
12478,,,Finland,2020-03-29,ConfirmedCases,73.0,Fatalities,2.0
12479,,,Finland,2020-03-30,ConfirmedCases,112.0,Fatalities,2.0
12480,,,Finland,2020-03-31,ConfirmedCases,66.0,Fatalities,4.0
12481,,,Finland,2020-04-01,ConfirmedCases,28.0,Fatalities,0.0
12482,,,Finland,2020-04-02,ConfirmedCases,72.0,Fatalities,2.0
12483,,,Finland,2020-04-03,ConfirmedCases,97.0,Fatalities,1.0
12484,,,Finland,2020-04-04,ConfirmedCases,267.0,Fatalities,5.0
12485,,,Finland,2020-04-05,ConfirmedCases,45.0,Fatalities,3.0
12486,,,Finland,2020-04-06,ConfirmedCases,249.0,Fatalities,-1.0
12487,,,Finland,2020-04-07,ConfirmedCases,132.0,Fatalities,7.0
12488,,,Finland,2020-04-08,ConfirmedCases,179.0,Fatalities,6.0
12489,,,Finland,2020-04-09,ConfirmedCases,118.0,Fatalities,2.0
12490,,,Finland,2020-04-10,ConfirmedCases,164.0,Fatalities,6.0
12491,,,Finland,2020-04-11,ConfirmedCases,136.0,Fatalities,1.0
12492,,,Finland,2020-04-12,ConfirmedCases,69.0,Fatalities,7.0
12493,,,Finland,2020-04-13,ConfirmedCases,90.0,Fatalities,3.0
12494,,,Finland,2020-04-14,ConfirmedCases,97.0,Fatalities,5.0
12495,,,Finland,2020-04-15,ConfirmedCases,76.0,Fatalities,8.0
12496,,,Finland,2020-04-16,ConfirmedCases,132.0,Fatalities,3.0
12497,,,Finland,2020-04-17,ConfirmedCases,120.0,Fatalities,7.0
12498,,,Finland,2020-04-18,ConfirmedCases,192.0,Fatalities,8.0
12499,,,Finland,2020-04-19,ConfirmedCases,102.0,Fatalities,4.0
12500,,,Finland,2020-04-20,ConfirmedCases,85.0,Fatalities,4.0
12501,,,Finland,2020-04-21,ConfirmedCases,146.0,Fatalities,43.0
12502,,,Finland,2020-04-22,ConfirmedCases,115.0,Fatalities,8.0
12503,,,Finland,2020-04-23,ConfirmedCases,155.0,Fatalities,23.0
12504,,,Finland,2020-04-24,ConfirmedCases,111.0,Fatalities,5.0
12505,,,Finland,2020-04-25,ConfirmedCases,80.0,Fatalities,9.0
12506,,,Finland,2020-04-26,ConfirmedCases,101.0,Fatalities,4.0
12507,,,Finland,2020-04-27,ConfirmedCases,119.0,Fatalities,3.0
12508,,,Finland,2020-04-28,ConfirmedCases,45.0,Fatalities,6.0
12509,,,Finland,2020-04-29,ConfirmedCases,166.0,Fatalities,7.0
12510,,,Finland,2020-04-30,ConfirmedCases,89.0,Fatalities,5.0
12511,,,Finland,2020-05-01,ConfirmedCases,56.0,Fatalities,7.0
12512,,,Finland,2020-05-02,ConfirmedCases,125.0,Fatalities,2.0
12513,,,Finland,2020-05-03,ConfirmedCases,78.0,Fatalities,10.0
12514,,,Finland,2020-05-04,ConfirmedCases,73.0,Fatalities,10.0
12515,,,Finland,2020-05-05,ConfirmedCases,85.0,Fatalities,6.0
12516,,,Finland,2020-05-06,ConfirmedCases,161.0,Fatalities,6.0
12517,,,Finland,2020-05-07,ConfirmedCases,100.0,Fatalities,3.0
12518,,,Finland,2020-05-08,ConfirmedCases,65.0,Fatalities,5.0
