,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
13589,,,France,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
13590,,,France,2020-01-24,ConfirmedCases,2.0,Fatalities,0.0
13591,,,France,2020-01-25,ConfirmedCases,1.0,Fatalities,0.0
13592,,,France,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
13593,,,France,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
13594,,,France,2020-01-28,ConfirmedCases,1.0,Fatalities,0.0
13595,,,France,2020-01-29,ConfirmedCases,1.0,Fatalities,0.0
13596,,,France,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
13597,,,France,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
13598,,,France,2020-02-01,ConfirmedCases,1.0,Fatalities,0.0
13599,,,France,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
13600,,,France,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
13601,,,France,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
13602,,,France,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
13603,,,France,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
13604,,,France,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
13605,,,France,2020-02-08,ConfirmedCases,5.0,Fatalities,0.0
13606,,,France,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
13607,,,France,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
13608,,,France,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
13609,,,France,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
13610,,,France,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
13611,,,France,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
13612,,,France,2020-02-15,ConfirmedCases,1.0,Fatalities,1.0
13613,,,France,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
13614,,,France,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
13615,,,France,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
13616,,,France,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
13617,,,France,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
13618,,,France,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
13619,,,France,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
13620,,,France,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
13621,,,France,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
13622,,,France,2020-02-25,ConfirmedCases,2.0,Fatalities,0.0
13623,,,France,2020-02-26,ConfirmedCases,4.0,Fatalities,1.0
13624,,,France,2020-02-27,ConfirmedCases,20.0,Fatalities,0.0
13625,,,France,2020-02-28,ConfirmedCases,19.0,Fatalities,0.0
13626,,,France,2020-02-29,ConfirmedCases,43.0,Fatalities,0.0
13627,,,France,2020-03-01,ConfirmedCases,30.0,Fatalities,0.0
13628,,,France,2020-03-02,ConfirmedCases,61.0,Fatalities,1.0
13629,,,France,2020-03-03,ConfirmedCases,13.0,Fatalities,1.0
13630,,,France,2020-03-04,ConfirmedCases,81.0,Fatalities,0.0
13631,,,France,2020-03-05,ConfirmedCases,92.0,Fatalities,2.0
13632,,,France,2020-03-06,ConfirmedCases,276.0,Fatalities,3.0
13633,,,France,2020-03-07,ConfirmedCases,296.0,Fatalities,2.0
13634,,,France,2020-03-08,ConfirmedCases,177.0,Fatalities,8.0
13635,,,France,2020-03-09,ConfirmedCases,83.0,Fatalities,0.0
13636,,,France,2020-03-10,ConfirmedCases,575.0,Fatalities,14.0
13637,,,France,2020-03-11,ConfirmedCases,497.0,Fatalities,15.0
13638,,,France,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
13639,,,France,2020-03-13,ConfirmedCases,1380.0,Fatalities,31.0
13640,,,France,2020-03-14,ConfirmedCases,808.0,Fatalities,12.0
13641,,,France,2020-03-15,ConfirmedCases,30.0,Fatalities,0.0
13642,,,France,2020-03-16,ConfirmedCases,2134.0,Fatalities,57.0
13643,,,France,2020-03-17,ConfirmedCases,1019.0,Fatalities,0.0
13644,,,France,2020-03-18,ConfirmedCases,1391.0,Fatalities,0.0
13645,,,France,2020-03-19,ConfirmedCases,1828.0,Fatalities,95.0
13646,,,France,2020-03-20,ConfirmedCases,1741.0,Fatalities,207.0
13647,,,France,2020-03-21,ConfirmedCases,1670.0,Fatalities,112.0
13648,,,France,2020-03-22,ConfirmedCases,1736.0,Fatalities,112.0
13649,,,France,2020-03-23,ConfirmedCases,3838.0,Fatalities,186.0
13650,,,France,2020-03-24,ConfirmedCases,2448.0,Fatalities,240.0
13651,,,France,2020-03-25,ConfirmedCases,2929.0,Fatalities,231.0
13652,,,France,2020-03-26,ConfirmedCases,3922.0,Fatalities,365.0
13653,,,France,2020-03-27,ConfirmedCases,3809.0,Fatalities,299.0
13654,,,France,2020-03-28,ConfirmedCases,4611.0,Fatalities,319.0
13655,,,France,2020-03-29,ConfirmedCases,2599.0,Fatalities,292.0
13656,,,France,2020-03-30,ConfirmedCases,4376.0,Fatalities,418.0
13657,,,France,2020-03-31,ConfirmedCases,7578.0,Fatalities,499.0
13658,,,France,2020-04-01,ConfirmedCases,4861.0,Fatalities,880.0
13659,,,France,2020-04-02,ConfirmedCases,2116.0,Fatalities,984.0
13660,,,France,2020-04-03,ConfirmedCases,5233.0,Fatalities,1120.0
13661,,,France,2020-04-04,ConfirmedCases,4267.0,Fatalities,1053.0
13662,,,France,2020-04-05,ConfirmedCases,1873.0,Fatalities,518.0
13663,,,France,2020-04-06,ConfirmedCases,3912.0,Fatalities,833.0
13664,,,France,2020-04-07,ConfirmedCases,3777.0,Fatalities,1417.0
13665,,,France,2020-04-08,ConfirmedCases,3881.0,Fatalities,541.0
13666,,,France,2020-04-09,ConfirmedCases,4286.0,Fatalities,1341.0
13667,,,France,2020-04-10,ConfirmedCases,4342.0,Fatalities,987.0
13668,,,France,2020-04-11,ConfirmedCases,3114.0,Fatalities,635.0
13669,,,France,2020-04-12,ConfirmedCases,26843.0,Fatalities,561.0
13670,,,France,2020-04-13,ConfirmedCases,3665.0,Fatalities,574.0
13671,,,France,2020-04-14,ConfirmedCases,4959.0,Fatalities,745.0
13672,,,France,2020-04-15,ConfirmedCases,3216.0,Fatalities,1436.0
13673,,,France,2020-04-16,ConfirmedCases,12471.0,Fatalities,753.0
13674,,,France,2020-04-17,ConfirmedCases,1979.0,Fatalities,760.0
13675,,,France,2020-04-18,ConfirmedCases,-17.0,Fatalities,642.0
13676,,,France,2020-04-19,ConfirmedCases,4902.0,Fatalities,391.0
13677,,,France,2020-04-20,ConfirmedCases,2380.0,Fatalities,546.0
13678,,,France,2020-04-21,ConfirmedCases,2733.0,Fatalities,525.0
13679,,,France,2020-04-22,ConfirmedCases,-2206.0,Fatalities,544.0
13680,,,France,2020-04-23,ConfirmedCases,2311.0,Fatalities,516.0
13681,,,France,2020-04-24,ConfirmedCases,1610.0,Fatalities,389.0
13682,,,France,2020-04-25,ConfirmedCases,1656.0,Fatalities,369.0
13683,,,France,2020-04-26,ConfirmedCases,555.0,Fatalities,242.0
13684,,,France,2020-04-27,ConfirmedCases,3742.0,Fatalities,437.0
13685,,,France,2020-04-28,ConfirmedCases,3016.0,Fatalities,367.0
13686,,,France,2020-04-29,ConfirmedCases,-2512.0,Fatalities,427.0
