,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
14017,,,Germany,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
14018,,,Germany,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
14019,,,Germany,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
14020,,,Germany,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
14021,,,Germany,2020-01-27,ConfirmedCases,1.0,Fatalities,0.0
14022,,,Germany,2020-01-28,ConfirmedCases,3.0,Fatalities,0.0
14023,,,Germany,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
14024,,,Germany,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
14025,,,Germany,2020-01-31,ConfirmedCases,1.0,Fatalities,0.0
14026,,,Germany,2020-02-01,ConfirmedCases,3.0,Fatalities,0.0
14027,,,Germany,2020-02-02,ConfirmedCases,2.0,Fatalities,0.0
14028,,,Germany,2020-02-03,ConfirmedCases,2.0,Fatalities,0.0
14029,,,Germany,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
14030,,,Germany,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
14031,,,Germany,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
14032,,,Germany,2020-02-07,ConfirmedCases,1.0,Fatalities,0.0
14033,,,Germany,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
14034,,,Germany,2020-02-09,ConfirmedCases,1.0,Fatalities,0.0
14035,,,Germany,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
14036,,,Germany,2020-02-11,ConfirmedCases,2.0,Fatalities,0.0
14037,,,Germany,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
14038,,,Germany,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
14039,,,Germany,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
14040,,,Germany,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
14041,,,Germany,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
14042,,,Germany,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
14043,,,Germany,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
14044,,,Germany,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
14045,,,Germany,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
14046,,,Germany,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
14047,,,Germany,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
14048,,,Germany,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
14049,,,Germany,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
14050,,,Germany,2020-02-25,ConfirmedCases,1.0,Fatalities,0.0
14051,,,Germany,2020-02-26,ConfirmedCases,10.0,Fatalities,0.0
14052,,,Germany,2020-02-27,ConfirmedCases,19.0,Fatalities,0.0
14053,,,Germany,2020-02-28,ConfirmedCases,2.0,Fatalities,0.0
14054,,,Germany,2020-02-29,ConfirmedCases,31.0,Fatalities,0.0
14055,,,Germany,2020-03-01,ConfirmedCases,51.0,Fatalities,0.0
14056,,,Germany,2020-03-02,ConfirmedCases,29.0,Fatalities,0.0
14057,,,Germany,2020-03-03,ConfirmedCases,37.0,Fatalities,0.0
14058,,,Germany,2020-03-04,ConfirmedCases,66.0,Fatalities,0.0
14059,,,Germany,2020-03-05,ConfirmedCases,220.0,Fatalities,0.0
14060,,,Germany,2020-03-06,ConfirmedCases,188.0,Fatalities,0.0
14061,,,Germany,2020-03-07,ConfirmedCases,129.0,Fatalities,0.0
14062,,,Germany,2020-03-08,ConfirmedCases,241.0,Fatalities,0.0
14063,,,Germany,2020-03-09,ConfirmedCases,136.0,Fatalities,2.0
14064,,,Germany,2020-03-10,ConfirmedCases,281.0,Fatalities,0.0
14065,,,Germany,2020-03-11,ConfirmedCases,451.0,Fatalities,1.0
14066,,,Germany,2020-03-12,ConfirmedCases,170.0,Fatalities,0.0
14067,,,Germany,2020-03-13,ConfirmedCases,1597.0,Fatalities,4.0
14068,,,Germany,2020-03-14,ConfirmedCases,910.0,Fatalities,2.0
14069,,,Germany,2020-03-15,ConfirmedCases,1210.0,Fatalities,2.0
14070,,,Germany,2020-03-16,ConfirmedCases,1477.0,Fatalities,6.0
14071,,,Germany,2020-03-17,ConfirmedCases,1985.0,Fatalities,7.0
14072,,,Germany,2020-03-18,ConfirmedCases,3070.0,Fatalities,4.0
14073,,,Germany,2020-03-19,ConfirmedCases,2993.0,Fatalities,16.0
14074,,,Germany,2020-03-20,ConfirmedCases,4528.0,Fatalities,23.0
14075,,,Germany,2020-03-21,ConfirmedCases,2365.0,Fatalities,17.0
14076,,,Germany,2020-03-22,ConfirmedCases,2660.0,Fatalities,10.0
14077,,,Germany,2020-03-23,ConfirmedCases,4183.0,Fatalities,29.0
14078,,,Germany,2020-03-24,ConfirmedCases,3930.0,Fatalities,34.0
14079,,,Germany,2020-03-25,ConfirmedCases,4337.0,Fatalities,49.0
14080,,,Germany,2020-03-26,ConfirmedCases,6615.0,Fatalities,61.0
14081,,,Germany,2020-03-27,ConfirmedCases,6933.0,Fatalities,75.0
14082,,,Germany,2020-03-28,ConfirmedCases,6824.0,Fatalities,91.0
14083,,,Germany,2020-03-29,ConfirmedCases,4400.0,Fatalities,100.0
14084,,,Germany,2020-03-30,ConfirmedCases,4790.0,Fatalities,112.0
14085,,,Germany,2020-03-31,ConfirmedCases,4923.0,Fatalities,130.0
14086,,,Germany,2020-04-01,ConfirmedCases,6064.0,Fatalities,145.0
14087,,,Germany,2020-04-02,ConfirmedCases,6922.0,Fatalities,187.0
14088,,,Germany,2020-04-03,ConfirmedCases,6365.0,Fatalities,168.0
14089,,,Germany,2020-04-04,ConfirmedCases,4933.0,Fatalities,169.0
14090,,,Germany,2020-04-05,ConfirmedCases,4031.0,Fatalities,140.0
14091,,,Germany,2020-04-06,ConfirmedCases,3251.0,Fatalities,226.0
14092,,,Germany,2020-04-07,ConfirmedCases,4289.0,Fatalities,206.0
14093,,,Germany,2020-04-08,ConfirmedCases,5633.0,Fatalities,333.0
14094,,,Germany,2020-04-09,ConfirmedCases,4885.0,Fatalities,258.0
14095,,,Germany,2020-04-10,ConfirmedCases,3990.0,Fatalities,160.0
14096,,,Germany,2020-04-11,ConfirmedCases,2737.0,Fatalities,-31.0
14097,,,Germany,2020-04-12,ConfirmedCases,2946.0,Fatalities,286.0
14098,,,Germany,2020-04-13,ConfirmedCases,2218.0,Fatalities,172.0
14099,,,Germany,2020-04-14,ConfirmedCases,1287.0,Fatalities,100.0
14100,,,Germany,2020-04-15,ConfirmedCases,3394.0,Fatalities,510.0
14101,,,Germany,2020-04-16,ConfirmedCases,2945.0,Fatalities,248.0
14102,,,Germany,2020-04-17,ConfirmedCases,3699.0,Fatalities,300.0
14103,,,Germany,2020-04-18,ConfirmedCases,1945.0,Fatalities,107.0
14104,,,Germany,2020-04-19,ConfirmedCases,1842.0,Fatalities,127.0
14105,,,Germany,2020-04-20,ConfirmedCases,1881.0,Fatalities,276.0
14106,,,Germany,2020-04-21,ConfirmedCases,1226.0,Fatalities,171.0
