,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
14124,,,Ghana,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
14125,,,Ghana,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
14126,,,Ghana,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
14127,,,Ghana,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
14128,,,Ghana,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
14129,,,Ghana,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
14130,,,Ghana,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
14131,,,Ghana,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
14132,,,Ghana,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
14133,,,Ghana,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
14134,,,Ghana,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
14135,,,Ghana,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
14136,,,Ghana,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
14137,,,Ghana,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
14138,,,Ghana,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
14139,,,Ghana,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
14140,,,Ghana,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
14141,,,Ghana,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
14142,,,Ghana,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
14143,,,Ghana,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
14144,,,Ghana,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
14145,,,Ghana,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
14146,,,Ghana,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
14147,,,Ghana,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
14148,,,Ghana,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
14149,,,Ghana,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
14150,,,Ghana,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
14151,,,Ghana,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
14152,,,Ghana,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
14153,,,Ghana,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
14154,,,Ghana,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
14155,,,Ghana,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
14156,,,Ghana,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
14157,,,Ghana,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
14158,,,Ghana,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
14159,,,Ghana,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
14160,,,Ghana,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
14161,,,Ghana,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
14162,,,Ghana,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
14163,,,Ghana,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
14164,,,Ghana,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
14165,,,Ghana,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
14166,,,Ghana,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
14167,,,Ghana,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
14168,,,Ghana,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
14169,,,Ghana,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
14170,,,Ghana,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
14171,,,Ghana,2020-03-10,ConfirmedCases,0.0,Fatalities,0.0
14172,,,Ghana,2020-03-11,ConfirmedCases,0.0,Fatalities,0.0
14173,,,Ghana,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
14174,,,Ghana,2020-03-13,ConfirmedCases,0.0,Fatalities,0.0
14175,,,Ghana,2020-03-14,ConfirmedCases,3.0,Fatalities,0.0
14176,,,Ghana,2020-03-15,ConfirmedCases,3.0,Fatalities,0.0
14177,,,Ghana,2020-03-16,ConfirmedCases,0.0,Fatalities,0.0
14178,,,Ghana,2020-03-17,ConfirmedCases,1.0,Fatalities,0.0
14179,,,Ghana,2020-03-18,ConfirmedCases,0.0,Fatalities,0.0
14180,,,Ghana,2020-03-19,ConfirmedCases,4.0,Fatalities,0.0
14181,,,Ghana,2020-03-20,ConfirmedCases,5.0,Fatalities,0.0
14182,,,Ghana,2020-03-21,ConfirmedCases,3.0,Fatalities,1.0
14183,,,Ghana,2020-03-22,ConfirmedCases,4.0,Fatalities,0.0
14184,,,Ghana,2020-03-23,ConfirmedCases,4.0,Fatalities,1.0
14185,,,Ghana,2020-03-24,ConfirmedCases,26.0,Fatalities,0.0
14186,,,Ghana,2020-03-25,ConfirmedCases,40.0,Fatalities,2.0
14187,,,Ghana,2020-03-26,ConfirmedCases,39.0,Fatalities,0.0
14188,,,Ghana,2020-03-27,ConfirmedCases,5.0,Fatalities,0.0
14189,,,Ghana,2020-03-28,ConfirmedCases,4.0,Fatalities,1.0
14190,,,Ghana,2020-03-29,ConfirmedCases,11.0,Fatalities,0.0
14191,,,Ghana,2020-03-30,ConfirmedCases,0.0,Fatalities,0.0
14192,,,Ghana,2020-03-31,ConfirmedCases,9.0,Fatalities,0.0
14193,,,Ghana,2020-04-01,ConfirmedCases,34.0,Fatalities,0.0
14194,,,Ghana,2020-04-02,ConfirmedCases,9.0,Fatalities,0.0
14195,,,Ghana,2020-04-03,ConfirmedCases,1.0,Fatalities,0.0
14196,,,Ghana,2020-04-04,ConfirmedCases,0.0,Fatalities,0.0
14197,,,Ghana,2020-04-05,ConfirmedCases,9.0,Fatalities,0.0
14198,,,Ghana,2020-04-06,ConfirmedCases,0.0,Fatalities,0.0
14199,,,Ghana,2020-04-07,ConfirmedCases,73.0,Fatalities,0.0
14200,,,Ghana,2020-04-08,ConfirmedCases,26.0,Fatalities,1.0
14201,,,Ghana,2020-04-09,ConfirmedCases,65.0,Fatalities,0.0
14202,,,Ghana,2020-04-10,ConfirmedCases,0.0,Fatalities,0.0
14203,,,Ghana,2020-04-11,ConfirmedCases,30.0,Fatalities,2.0
14204,,,Ghana,2020-04-12,ConfirmedCases,158.0,Fatalities,0.0
14205,,,Ghana,2020-04-13,ConfirmedCases,0.0,Fatalities,0.0
14206,,,Ghana,2020-04-14,ConfirmedCases,70.0,Fatalities,0.0
14207,,,Ghana,2020-04-15,ConfirmedCases,0.0,Fatalities,0.0
14208,,,Ghana,2020-04-16,ConfirmedCases,5.0,Fatalities,0.0
14209,,,Ghana,2020-04-17,ConfirmedCases,0.0,Fatalities,0.0
14210,,,Ghana,2020-04-18,ConfirmedCases,193.0,Fatalities,1.0
14211,,,Ghana,2020-04-19,ConfirmedCases,208.0,Fatalities,0.0
14212,,,Ghana,2020-04-20,ConfirmedCases,0.0,Fatalities,0.0
14213,,,Ghana,2020-04-21,ConfirmedCases,0.0,Fatalities,0.0
14214,,,Ghana,2020-04-22,ConfirmedCases,112.0,Fatalities,0.0
14215,,,Ghana,2020-04-23,ConfirmedCases,0.0,Fatalities,0.0
14216,,,Ghana,2020-04-24,ConfirmedCases,125.0,Fatalities,1.0
14217,,,Ghana,2020-04-25,ConfirmedCases,0.0,Fatalities,0.0
14218,,,Ghana,2020-04-26,ConfirmedCases,271.0,Fatalities,1.0
14219,,,Ghana,2020-04-27,ConfirmedCases,0.0,Fatalities,0.0
14220,,,Ghana,2020-04-28,ConfirmedCases,121.0,Fatalities,5.0
14221,,,Ghana,2020-04-29,ConfirmedCases,0.0,Fatalities,0.0
14222,,,Ghana,2020-04-30,ConfirmedCases,403.0,Fatalities,1.0
14223,,,Ghana,2020-05-01,ConfirmedCases,0.0,Fatalities,0.0
14224,,,Ghana,2020-05-02,ConfirmedCases,95.0,Fatalities,1.0
14225,,,Ghana,2020-05-03,ConfirmedCases,0.0,Fatalities,0.0
14226,,,Ghana,2020-05-04,ConfirmedCases,550.0,Fatalities,0.0
14227,,,Ghana,2020-05-05,ConfirmedCases,0.0,Fatalities,0.0
14228,,,Ghana,2020-05-06,ConfirmedCases,372.0,Fatalities,0.0
14229,,,Ghana,2020-05-07,ConfirmedCases,0.0,Fatalities,0.0
14230,,,Ghana,2020-05-08,ConfirmedCases,921.0,Fatalities,0.0
