,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
15194,,,Hungary,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
15195,,,Hungary,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
15196,,,Hungary,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
15197,,,Hungary,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
15198,,,Hungary,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
15199,,,Hungary,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
15200,,,Hungary,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
15201,,,Hungary,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
15202,,,Hungary,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
15203,,,Hungary,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
15204,,,Hungary,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
15205,,,Hungary,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
15206,,,Hungary,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
15207,,,Hungary,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
15208,,,Hungary,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
15209,,,Hungary,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
15210,,,Hungary,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
15211,,,Hungary,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
15212,,,Hungary,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
15213,,,Hungary,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
15214,,,Hungary,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
15215,,,Hungary,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
15216,,,Hungary,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
15217,,,Hungary,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
15218,,,Hungary,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
15219,,,Hungary,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
15220,,,Hungary,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
15221,,,Hungary,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
15222,,,Hungary,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
15223,,,Hungary,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
15224,,,Hungary,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
15225,,,Hungary,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
15226,,,Hungary,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
15227,,,Hungary,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
15228,,,Hungary,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
15229,,,Hungary,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
15230,,,Hungary,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
15231,,,Hungary,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
15232,,,Hungary,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
15233,,,Hungary,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
15234,,,Hungary,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
15235,,,Hungary,2020-03-04,ConfirmedCases,2.0,Fatalities,0.0
15236,,,Hungary,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
15237,,,Hungary,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
15238,,,Hungary,2020-03-07,ConfirmedCases,2.0,Fatalities,0.0
15239,,,Hungary,2020-03-08,ConfirmedCases,3.0,Fatalities,0.0
