,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
15301,,,Iceland,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
15302,,,Iceland,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
15303,,,Iceland,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
15304,,,Iceland,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
15305,,,Iceland,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
15306,,,Iceland,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
15307,,,Iceland,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
15308,,,Iceland,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
15309,,,Iceland,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
15310,,,Iceland,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
15311,,,Iceland,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
15312,,,Iceland,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
15313,,,Iceland,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
15314,,,Iceland,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
15315,,,Iceland,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
15316,,,Iceland,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
15317,,,Iceland,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
15318,,,Iceland,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
15319,,,Iceland,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
15320,,,Iceland,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
15321,,,Iceland,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
15322,,,Iceland,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
15323,,,Iceland,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
15324,,,Iceland,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
15325,,,Iceland,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
15326,,,Iceland,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
15327,,,Iceland,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
15328,,,Iceland,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
15329,,,Iceland,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
15330,,,Iceland,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
15331,,,Iceland,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
15332,,,Iceland,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
15333,,,Iceland,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
15334,,,Iceland,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
15335,,,Iceland,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
15336,,,Iceland,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
15337,,,Iceland,2020-02-28,ConfirmedCases,1.0,Fatalities,0.0
15338,,,Iceland,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
15339,,,Iceland,2020-03-01,ConfirmedCases,2.0,Fatalities,0.0
15340,,,Iceland,2020-03-02,ConfirmedCases,3.0,Fatalities,0.0
15341,,,Iceland,2020-03-03,ConfirmedCases,5.0,Fatalities,0.0
15342,,,Iceland,2020-03-04,ConfirmedCases,15.0,Fatalities,0.0
15343,,,Iceland,2020-03-05,ConfirmedCases,8.0,Fatalities,0.0
15344,,,Iceland,2020-03-06,ConfirmedCases,9.0,Fatalities,0.0
15345,,,Iceland,2020-03-07,ConfirmedCases,7.0,Fatalities,0.0
15346,,,Iceland,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
15347,,,Iceland,2020-03-09,ConfirmedCases,8.0,Fatalities,0.0
15348,,,Iceland,2020-03-10,ConfirmedCases,11.0,Fatalities,0.0
15349,,,Iceland,2020-03-11,ConfirmedCases,16.0,Fatalities,0.0
15350,,,Iceland,2020-03-12,ConfirmedCases,18.0,Fatalities,0.0
15351,,,Iceland,2020-03-13,ConfirmedCases,31.0,Fatalities,0.0
15352,,,Iceland,2020-03-14,ConfirmedCases,22.0,Fatalities,0.0
15353,,,Iceland,2020-03-15,ConfirmedCases,15.0,Fatalities,5.0
15354,,,Iceland,2020-03-16,ConfirmedCases,9.0,Fatalities,-5.0
15355,,,Iceland,2020-03-17,ConfirmedCases,40.0,Fatalities,1.0
15356,,,Iceland,2020-03-18,ConfirmedCases,30.0,Fatalities,0.0
15357,,,Iceland,2020-03-19,ConfirmedCases,80.0,Fatalities,0.0
15358,,,Iceland,2020-03-20,ConfirmedCases,79.0,Fatalities,-1.0
15359,,,Iceland,2020-03-21,ConfirmedCases,64.0,Fatalities,1.0
15360,,,Iceland,2020-03-22,ConfirmedCases,95.0,Fatalities,0.0
15361,,,Iceland,2020-03-23,ConfirmedCases,20.0,Fatalities,0.0
15362,,,Iceland,2020-03-24,ConfirmedCases,60.0,Fatalities,1.0
15363,,,Iceland,2020-03-25,ConfirmedCases,89.0,Fatalities,0.0
15364,,,Iceland,2020-03-26,ConfirmedCases,65.0,Fatalities,0.0
15365,,,Iceland,2020-03-27,ConfirmedCases,88.0,Fatalities,0.0
15366,,,Iceland,2020-03-28,ConfirmedCases,73.0,Fatalities,0.0
15367,,,Iceland,2020-03-29,ConfirmedCases,57.0,Fatalities,0.0
15368,,,Iceland,2020-03-30,ConfirmedCases,66.0,Fatalities,0.0
15369,,,Iceland,2020-03-31,ConfirmedCases,49.0,Fatalities,0.0
15370,,,Iceland,2020-04-01,ConfirmedCases,85.0,Fatalities,0.0
15371,,,Iceland,2020-04-02,ConfirmedCases,99.0,Fatalities,2.0
15372,,,Iceland,2020-04-03,ConfirmedCases,45.0,Fatalities,0.0
15373,,,Iceland,2020-04-04,ConfirmedCases,53.0,Fatalities,0.0
15374,,,Iceland,2020-04-05,ConfirmedCases,69.0,Fatalities,0.0
15375,,,Iceland,2020-04-06,ConfirmedCases,76.0,Fatalities,2.0
15376,,,Iceland,2020-04-07,ConfirmedCases,24.0,Fatalities,0.0
15377,,,Iceland,2020-04-08,ConfirmedCases,30.0,Fatalities,0.0
15378,,,Iceland,2020-04-09,ConfirmedCases,32.0,Fatalities,0.0
15379,,,Iceland,2020-04-10,ConfirmedCases,27.0,Fatalities,1.0
15380,,,Iceland,2020-04-11,ConfirmedCases,14.0,Fatalities,1.0
15381,,,Iceland,2020-04-12,ConfirmedCases,12.0,Fatalities,0.0
15382,,,Iceland,2020-04-13,ConfirmedCases,10.0,Fatalities,0.0
15383,,,Iceland,2020-04-14,ConfirmedCases,9.0,Fatalities,0.0
15384,,,Iceland,2020-04-15,ConfirmedCases,7.0,Fatalities,0.0
15385,,,Iceland,2020-04-16,ConfirmedCases,12.0,Fatalities,0.0
15386,,,Iceland,2020-04-17,ConfirmedCases,15.0,Fatalities,1.0
15387,,,Iceland,2020-04-18,ConfirmedCases,6.0,Fatalities,0.0
15388,,,Iceland,2020-04-19,ConfirmedCases,11.0,Fatalities,0.0
15389,,,Iceland,2020-04-20,ConfirmedCases,2.0,Fatalities,1.0
15390,,,Iceland,2020-04-21,ConfirmedCases,5.0,Fatalities,0.0
15391,,,Iceland,2020-04-22,ConfirmedCases,7.0,Fatalities,0.0
15392,,,Iceland,2020-04-23,ConfirmedCases,4.0,Fatalities,0.0
15393,,,Iceland,2020-04-24,ConfirmedCases,0.0,Fatalities,0.0
15394,,,Iceland,2020-04-25,ConfirmedCases,1.0,Fatalities,0.0
15395,,,Iceland,2020-04-26,ConfirmedCases,2.0,Fatalities,0.0
15396,,,Iceland,2020-04-27,ConfirmedCases,0.0,Fatalities,0.0
15397,,,Iceland,2020-04-28,ConfirmedCases,3.0,Fatalities,0.0
15398,,,Iceland,2020-04-29,ConfirmedCases,2.0,Fatalities,0.0
15399,,,Iceland,2020-04-30,ConfirmedCases,0.0,Fatalities,0.0
15400,,,Iceland,2020-05-01,ConfirmedCases,1.0,Fatalities,0.0
15401,,,Iceland,2020-05-02,ConfirmedCases,0.0,Fatalities,0.0
15402,,,Iceland,2020-05-03,ConfirmedCases,1.0,Fatalities,0.0
15403,,,Iceland,2020-05-04,ConfirmedCases,0.0,Fatalities,0.0
15404,,,Iceland,2020-05-05,ConfirmedCases,0.0,Fatalities,0.0
15405,,,Iceland,2020-05-06,ConfirmedCases,0.0,Fatalities,0.0
15406,,,Iceland,2020-05-07,ConfirmedCases,2.0,Fatalities,0.0
15407,,,Iceland,2020-05-08,ConfirmedCases,0.0,Fatalities,0.0
