,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
15408,,,India,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
15409,,,India,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
15410,,,India,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
15411,,,India,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
15412,,,India,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
15413,,,India,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
15414,,,India,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
15415,,,India,2020-01-30,ConfirmedCases,1.0,Fatalities,0.0
15416,,,India,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
15417,,,India,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
15418,,,India,2020-02-02,ConfirmedCases,1.0,Fatalities,0.0
15419,,,India,2020-02-03,ConfirmedCases,1.0,Fatalities,0.0
15420,,,India,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
15421,,,India,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
15422,,,India,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
15423,,,India,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
15424,,,India,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
15425,,,India,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
15426,,,India,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
15427,,,India,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
15428,,,India,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
15429,,,India,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
15430,,,India,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
15431,,,India,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
15432,,,India,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
15433,,,India,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
15434,,,India,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
15435,,,India,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
15436,,,India,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
15437,,,India,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
15438,,,India,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
15439,,,India,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
15440,,,India,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
15441,,,India,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
15442,,,India,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
15443,,,India,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
15444,,,India,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
15445,,,India,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
