,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
15622,,,Iran,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
15623,,,Iran,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
15624,,,Iran,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
15625,,,Iran,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
15626,,,Iran,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
15627,,,Iran,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
15628,,,Iran,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
15629,,,Iran,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
15630,,,Iran,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
15631,,,Iran,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
15632,,,Iran,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
15633,,,Iran,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
15634,,,Iran,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
15635,,,Iran,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
15636,,,Iran,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
15637,,,Iran,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
15638,,,Iran,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
15639,,,Iran,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
15640,,,Iran,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
15641,,,Iran,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
15642,,,Iran,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
15643,,,Iran,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
15644,,,Iran,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
15645,,,Iran,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
15646,,,Iran,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
15647,,,Iran,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
15648,,,Iran,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
15649,,,Iran,2020-02-19,ConfirmedCases,2.0,Fatalities,2.0
15650,,,Iran,2020-02-20,ConfirmedCases,3.0,Fatalities,0.0
15651,,,Iran,2020-02-21,ConfirmedCases,13.0,Fatalities,2.0
15652,,,Iran,2020-02-22,ConfirmedCases,10.0,Fatalities,1.0
15653,,,Iran,2020-02-23,ConfirmedCases,15.0,Fatalities,3.0
15654,,,Iran,2020-02-24,ConfirmedCases,18.0,Fatalities,4.0
15655,,,Iran,2020-02-25,ConfirmedCases,34.0,Fatalities,4.0
15656,,,Iran,2020-02-26,ConfirmedCases,44.0,Fatalities,3.0
15657,,,Iran,2020-02-27,ConfirmedCases,106.0,Fatalities,7.0
15658,,,Iran,2020-02-28,ConfirmedCases,143.0,Fatalities,8.0
15659,,,Iran,2020-02-29,ConfirmedCases,205.0,Fatalities,9.0
15660,,,Iran,2020-03-01,ConfirmedCases,385.0,Fatalities,11.0
15661,,,Iran,2020-03-02,ConfirmedCases,523.0,Fatalities,12.0
15662,,,Iran,2020-03-03,ConfirmedCases,835.0,Fatalities,11.0
15663,,,Iran,2020-03-04,ConfirmedCases,586.0,Fatalities,15.0
15664,,,Iran,2020-03-05,ConfirmedCases,591.0,Fatalities,15.0
15665,,,Iran,2020-03-06,ConfirmedCases,1234.0,Fatalities,17.0
15666,,,Iran,2020-03-07,ConfirmedCases,1076.0,Fatalities,21.0
15667,,,Iran,2020-03-08,ConfirmedCases,743.0,Fatalities,49.0
15668,,,Iran,2020-03-09,ConfirmedCases,595.0,Fatalities,43.0
15669,,,Iran,2020-03-10,ConfirmedCases,881.0,Fatalities,54.0
15670,,,Iran,2020-03-11,ConfirmedCases,958.0,Fatalities,63.0
15671,,,Iran,2020-03-12,ConfirmedCases,1075.0,Fatalities,75.0
15672,,,Iran,2020-03-13,ConfirmedCases,1289.0,Fatalities,85.0
15673,,,Iran,2020-03-14,ConfirmedCases,1365.0,Fatalities,97.0
15674,,,Iran,2020-03-15,ConfirmedCases,1209.0,Fatalities,113.0
15675,,,Iran,2020-03-16,ConfirmedCases,1053.0,Fatalities,129.0
15676,,,Iran,2020-03-17,ConfirmedCases,1178.0,Fatalities,135.0
15677,,,Iran,2020-03-18,ConfirmedCases,1192.0,Fatalities,147.0
15678,,,Iran,2020-03-19,ConfirmedCases,1046.0,Fatalities,149.0
15679,,,Iran,2020-03-20,ConfirmedCases,1237.0,Fatalities,149.0
15680,,,Iran,2020-03-21,ConfirmedCases,966.0,Fatalities,123.0
15681,,,Iran,2020-03-22,ConfirmedCases,1028.0,Fatalities,129.0
15682,,,Iran,2020-03-23,ConfirmedCases,1411.0,Fatalities,127.0
15683,,,Iran,2020-03-24,ConfirmedCases,1762.0,Fatalities,122.0
15684,,,Iran,2020-03-25,ConfirmedCases,2206.0,Fatalities,143.0
15685,,,Iran,2020-03-26,ConfirmedCases,2389.0,Fatalities,157.0
15686,,,Iran,2020-03-27,ConfirmedCases,2926.0,Fatalities,144.0
15687,,,Iran,2020-03-28,ConfirmedCases,3076.0,Fatalities,139.0
15688,,,Iran,2020-03-29,ConfirmedCases,2901.0,Fatalities,123.0
15689,,,Iran,2020-03-30,ConfirmedCases,3186.0,Fatalities,117.0
15690,,,Iran,2020-03-31,ConfirmedCases,3110.0,Fatalities,141.0
15691,,,Iran,2020-04-01,ConfirmedCases,2988.0,Fatalities,138.0
15692,,,Iran,2020-04-02,ConfirmedCases,2875.0,Fatalities,124.0
15693,,,Iran,2020-04-03,ConfirmedCases,2715.0,Fatalities,134.0
15694,,,Iran,2020-04-04,ConfirmedCases,2560.0,Fatalities,158.0
15695,,,Iran,2020-04-05,ConfirmedCases,2483.0,Fatalities,151.0
15696,,,Iran,2020-04-06,ConfirmedCases,2274.0,Fatalities,136.0
15697,,,Iran,2020-04-07,ConfirmedCases,2089.0,Fatalities,133.0
15698,,,Iran,2020-04-08,ConfirmedCases,1997.0,Fatalities,121.0
15699,,,Iran,2020-04-09,ConfirmedCases,1634.0,Fatalities,117.0
15700,,,Iran,2020-04-10,ConfirmedCases,1972.0,Fatalities,122.0
15701,,,Iran,2020-04-11,ConfirmedCases,1837.0,Fatalities,125.0
15702,,,Iran,2020-04-12,ConfirmedCases,1657.0,Fatalities,117.0
15703,,,Iran,2020-04-13,ConfirmedCases,1617.0,Fatalities,111.0
15704,,,Iran,2020-04-14,ConfirmedCases,1574.0,Fatalities,98.0
15705,,,Iran,2020-04-15,ConfirmedCases,1512.0,Fatalities,94.0
15706,,,Iran,2020-04-16,ConfirmedCases,1606.0,Fatalities,92.0
15707,,,Iran,2020-04-17,ConfirmedCases,1499.0,Fatalities,89.0
15708,,,Iran,2020-04-18,ConfirmedCases,1374.0,Fatalities,73.0
15709,,,Iran,2020-04-19,ConfirmedCases,1343.0,Fatalities,87.0
15710,,,Iran,2020-04-20,ConfirmedCases,1294.0,Fatalities,91.0
15711,,,Iran,2020-04-21,ConfirmedCases,1297.0,Fatalities,88.0
15712,,,Iran,2020-04-22,ConfirmedCases,1194.0,Fatalities,94.0
15713,,,Iran,2020-04-23,ConfirmedCases,1030.0,Fatalities,90.0
15714,,,Iran,2020-04-24,ConfirmedCases,1168.0,Fatalities,93.0
15715,,,Iran,2020-04-25,ConfirmedCases,1134.0,Fatalities,76.0
15716,,,Iran,2020-04-26,ConfirmedCases,1153.0,Fatalities,60.0
15717,,,Iran,2020-04-27,ConfirmedCases,991.0,Fatalities,96.0
15718,,,Iran,2020-04-28,ConfirmedCases,1112.0,Fatalities,71.0
15719,,,Iran,2020-04-29,ConfirmedCases,1073.0,Fatalities,80.0
15720,,,Iran,2020-04-30,ConfirmedCases,983.0,Fatalities,71.0
15721,,,Iran,2020-05-01,ConfirmedCases,1006.0,Fatalities,63.0
15722,,,Iran,2020-05-02,ConfirmedCases,802.0,Fatalities,65.0
15723,,,Iran,2020-05-03,ConfirmedCases,976.0,Fatalities,47.0
15724,,,Iran,2020-05-04,ConfirmedCases,1223.0,Fatalities,74.0
15725,,,Iran,2020-05-05,ConfirmedCases,1323.0,Fatalities,63.0
15726,,,Iran,2020-05-06,ConfirmedCases,1680.0,Fatalities,78.0
15727,,,Iran,2020-05-07,ConfirmedCases,1485.0,Fatalities,68.0
15728,,,Iran,2020-05-08,ConfirmedCases,1556.0,Fatalities,55.0
