,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
15729,,,Iraq,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
15730,,,Iraq,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
15731,,,Iraq,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
15732,,,Iraq,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
15733,,,Iraq,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
15734,,,Iraq,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
15735,,,Iraq,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
15736,,,Iraq,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
15737,,,Iraq,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
15738,,,Iraq,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
15739,,,Iraq,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
15740,,,Iraq,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
15741,,,Iraq,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
15742,,,Iraq,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
15743,,,Iraq,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
15744,,,Iraq,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
15745,,,Iraq,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
15746,,,Iraq,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
15747,,,Iraq,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
15748,,,Iraq,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
15749,,,Iraq,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
15750,,,Iraq,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
15751,,,Iraq,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
15752,,,Iraq,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
15753,,,Iraq,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
15754,,,Iraq,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
15755,,,Iraq,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
15756,,,Iraq,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
15757,,,Iraq,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
15758,,,Iraq,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
15759,,,Iraq,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
15760,,,Iraq,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
15761,,,Iraq,2020-02-24,ConfirmedCases,1.0,Fatalities,0.0
15762,,,Iraq,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
15763,,,Iraq,2020-02-26,ConfirmedCases,4.0,Fatalities,0.0
15764,,,Iraq,2020-02-27,ConfirmedCases,2.0,Fatalities,0.0
15765,,,Iraq,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
15766,,,Iraq,2020-02-29,ConfirmedCases,6.0,Fatalities,0.0
15767,,,Iraq,2020-03-01,ConfirmedCases,6.0,Fatalities,0.0
15768,,,Iraq,2020-03-02,ConfirmedCases,7.0,Fatalities,0.0
15769,,,Iraq,2020-03-03,ConfirmedCases,6.0,Fatalities,0.0
15770,,,Iraq,2020-03-04,ConfirmedCases,3.0,Fatalities,2.0
15771,,,Iraq,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
15772,,,Iraq,2020-03-06,ConfirmedCases,5.0,Fatalities,1.0
15773,,,Iraq,2020-03-07,ConfirmedCases,14.0,Fatalities,1.0
15774,,,Iraq,2020-03-08,ConfirmedCases,6.0,Fatalities,2.0
15775,,,Iraq,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
15776,,,Iraq,2020-03-10,ConfirmedCases,11.0,Fatalities,1.0
15777,,,Iraq,2020-03-11,ConfirmedCases,0.0,Fatalities,0.0
15778,,,Iraq,2020-03-12,ConfirmedCases,0.0,Fatalities,1.0
15779,,,Iraq,2020-03-13,ConfirmedCases,30.0,Fatalities,1.0
15780,,,Iraq,2020-03-14,ConfirmedCases,9.0,Fatalities,1.0
15781,,,Iraq,2020-03-15,ConfirmedCases,6.0,Fatalities,0.0
15782,,,Iraq,2020-03-16,ConfirmedCases,8.0,Fatalities,0.0
