,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
15943,,,Israel,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
15944,,,Israel,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
15945,,,Israel,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
15946,,,Israel,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
15947,,,Israel,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
15948,,,Israel,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
15949,,,Israel,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
15950,,,Israel,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
15951,,,Israel,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
15952,,,Israel,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
15953,,,Israel,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
15954,,,Israel,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
15955,,,Israel,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
15956,,,Israel,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
15957,,,Israel,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
15958,,,Israel,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
15959,,,Israel,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
15960,,,Israel,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
15961,,,Israel,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
15962,,,Israel,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
15963,,,Israel,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
15964,,,Israel,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
15965,,,Israel,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
15966,,,Israel,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
15967,,,Israel,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
15968,,,Israel,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
15969,,,Israel,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
15970,,,Israel,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
15971,,,Israel,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
15972,,,Israel,2020-02-21,ConfirmedCases,1.0,Fatalities,0.0
15973,,,Israel,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
15974,,,Israel,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
15975,,,Israel,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
15976,,,Israel,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
15977,,,Israel,2020-02-26,ConfirmedCases,1.0,Fatalities,0.0
15978,,,Israel,2020-02-27,ConfirmedCases,1.0,Fatalities,0.0
15979,,,Israel,2020-02-28,ConfirmedCases,1.0,Fatalities,0.0
15980,,,Israel,2020-02-29,ConfirmedCases,3.0,Fatalities,0.0
15981,,,Israel,2020-03-01,ConfirmedCases,3.0,Fatalities,0.0
15982,,,Israel,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
15983,,,Israel,2020-03-03,ConfirmedCases,2.0,Fatalities,0.0
15984,,,Israel,2020-03-04,ConfirmedCases,3.0,Fatalities,0.0
15985,,,Israel,2020-03-05,ConfirmedCases,5.0,Fatalities,0.0
15986,,,Israel,2020-03-06,ConfirmedCases,17.0,Fatalities,0.0
15987,,,Israel,2020-03-07,ConfirmedCases,6.0,Fatalities,0.0
15988,,,Israel,2020-03-08,ConfirmedCases,18.0,Fatalities,0.0
15989,,,Israel,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
15990,,,Israel,2020-03-10,ConfirmedCases,14.0,Fatalities,0.0
15991,,,Israel,2020-03-11,ConfirmedCases,4.0,Fatalities,0.0
15992,,,Israel,2020-03-12,ConfirmedCases,21.0,Fatalities,0.0
15993,,,Israel,2020-03-13,ConfirmedCases,26.0,Fatalities,0.0
15994,,,Israel,2020-03-14,ConfirmedCases,29.0,Fatalities,0.0
15995,,,Israel,2020-03-15,ConfirmedCases,58.0,Fatalities,0.0
15996,,,Israel,2020-03-16,ConfirmedCases,5.0,Fatalities,0.0
15997,,,Israel,2020-03-17,ConfirmedCases,32.0,Fatalities,0.0
15998,,,Israel,2020-03-18,ConfirmedCases,54.0,Fatalities,0.0
15999,,,Israel,2020-03-19,ConfirmedCases,123.0,Fatalities,0.0
16000,,,Israel,2020-03-20,ConfirmedCases,102.0,Fatalities,0.0
16001,,,Israel,2020-03-21,ConfirmedCases,183.0,Fatalities,1.0
16002,,,Israel,2020-03-22,ConfirmedCases,171.0,Fatalities,0.0
16003,,,Israel,2020-03-23,ConfirmedCases,188.0,Fatalities,0.0
16004,,,Israel,2020-03-24,ConfirmedCases,167.0,Fatalities,2.0
16005,,,Israel,2020-03-25,ConfirmedCases,1131.0,Fatalities,2.0
16006,,,Israel,2020-03-26,ConfirmedCases,324.0,Fatalities,3.0
16007,,,Israel,2020-03-27,ConfirmedCases,342.0,Fatalities,4.0
16008,,,Israel,2020-03-28,ConfirmedCases,584.0,Fatalities,0.0
16009,,,Israel,2020-03-29,ConfirmedCases,628.0,Fatalities,3.0
16010,,,Israel,2020-03-30,ConfirmedCases,448.0,Fatalities,1.0
16011,,,Israel,2020-03-31,ConfirmedCases,663.0,Fatalities,4.0
16012,,,Israel,2020-04-01,ConfirmedCases,734.0,Fatalities,6.0
16013,,,Israel,2020-04-02,ConfirmedCases,765.0,Fatalities,10.0
16014,,,Israel,2020-04-03,ConfirmedCases,571.0,Fatalities,4.0
16015,,,Israel,2020-04-04,ConfirmedCases,423.0,Fatalities,4.0
16016,,,Israel,2020-04-05,ConfirmedCases,579.0,Fatalities,5.0
16017,,,Israel,2020-04-06,ConfirmedCases,474.0,Fatalities,8.0
16018,,,Israel,2020-04-07,ConfirmedCases,344.0,Fatalities,8.0
16019,,,Israel,2020-04-08,ConfirmedCases,156.0,Fatalities,8.0
16020,,,Israel,2020-04-09,ConfirmedCases,564.0,Fatalities,13.0
16021,,,Israel,2020-04-10,ConfirmedCases,440.0,Fatalities,9.0
16022,,,Israel,2020-04-11,ConfirmedCases,335.0,Fatalities,6.0
16023,,,Israel,2020-04-12,ConfirmedCases,402.0,Fatalities,2.0
16024,,,Israel,2020-04-13,ConfirmedCases,441.0,Fatalities,13.0
16025,,,Israel,2020-04-14,ConfirmedCases,460.0,Fatalities,7.0
16026,,,Israel,2020-04-15,ConfirmedCases,455.0,Fatalities,7.0
16027,,,Israel,2020-04-16,ConfirmedCases,257.0,Fatalities,12.0
16028,,,Israel,2020-04-17,ConfirmedCases,224.0,Fatalities,9.0
16029,,,Israel,2020-04-18,ConfirmedCases,283.0,Fatalities,13.0
16030,,,Israel,2020-04-19,ConfirmedCases,226.0,Fatalities,8.0
16031,,,Israel,2020-04-20,ConfirmedCases,222.0,Fatalities,5.0
16032,,,Israel,2020-04-21,ConfirmedCases,229.0,Fatalities,7.0
16033,,,Israel,2020-04-22,ConfirmedCases,556.0,Fatalities,5.0
16034,,,Israel,2020-04-23,ConfirmedCases,305.0,Fatalities,3.0
16035,,,Israel,2020-04-24,ConfirmedCases,255.0,Fatalities,2.0
16036,,,Israel,2020-04-25,ConfirmedCases,240.0,Fatalities,5.0
16037,,,Israel,2020-04-26,ConfirmedCases,145.0,Fatalities,2.0
16038,,,Israel,2020-04-27,ConfirmedCases,112.0,Fatalities,3.0
16039,,,Israel,2020-04-28,ConfirmedCases,173.0,Fatalities,6.0
16040,,,Israel,2020-04-29,ConfirmedCases,106.0,Fatalities,5.0
16041,,,Israel,2020-04-30,ConfirmedCases,112.0,Fatalities,7.0
16042,,,Israel,2020-05-01,ConfirmedCases,155.0,Fatalities,3.0
16043,,,Israel,2020-05-02,ConfirmedCases,84.0,Fatalities,4.0
16044,,,Israel,2020-05-03,ConfirmedCases,23.0,Fatalities,3.0
16045,,,Israel,2020-05-04,ConfirmedCases,38.0,Fatalities,3.0
16046,,,Israel,2020-05-05,ConfirmedCases,43.0,Fatalities,3.0
16047,,,Israel,2020-05-06,ConfirmedCases,21.0,Fatalities,1.0
16048,,,Israel,2020-05-07,ConfirmedCases,71.0,Fatalities,1.0
16049,,,Israel,2020-05-08,ConfirmedCases,55.0,Fatalities,5.0
