,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
16050,,,Italy,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
16051,,,Italy,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
16052,,,Italy,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
16053,,,Italy,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
16054,,,Italy,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
16055,,,Italy,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
16056,,,Italy,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
16057,,,Italy,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
16058,,,Italy,2020-01-31,ConfirmedCases,2.0,Fatalities,0.0
16059,,,Italy,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
16060,,,Italy,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
16061,,,Italy,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
16062,,,Italy,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
16063,,,Italy,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
16064,,,Italy,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
16065,,,Italy,2020-02-07,ConfirmedCases,1.0,Fatalities,0.0
16066,,,Italy,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
16067,,,Italy,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
16068,,,Italy,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
16069,,,Italy,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
16070,,,Italy,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
16071,,,Italy,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
16072,,,Italy,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
16073,,,Italy,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
16074,,,Italy,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
16075,,,Italy,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
16076,,,Italy,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
16077,,,Italy,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
16078,,,Italy,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
16079,,,Italy,2020-02-21,ConfirmedCases,17.0,Fatalities,1.0
16080,,,Italy,2020-02-22,ConfirmedCases,42.0,Fatalities,1.0
16081,,,Italy,2020-02-23,ConfirmedCases,93.0,Fatalities,1.0
16082,,,Italy,2020-02-24,ConfirmedCases,74.0,Fatalities,4.0
16083,,,Italy,2020-02-25,ConfirmedCases,93.0,Fatalities,3.0
16084,,,Italy,2020-02-26,ConfirmedCases,131.0,Fatalities,2.0
16085,,,Italy,2020-02-27,ConfirmedCases,202.0,Fatalities,5.0
16086,,,Italy,2020-02-28,ConfirmedCases,233.0,Fatalities,4.0
