,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
16264,,,Japan,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
16265,,,Japan,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
16266,,,Japan,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
16267,,,Japan,2020-01-26,ConfirmedCases,2.0,Fatalities,0.0
16268,,,Japan,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
16269,,,Japan,2020-01-28,ConfirmedCases,3.0,Fatalities,0.0
16270,,,Japan,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
16271,,,Japan,2020-01-30,ConfirmedCases,4.0,Fatalities,0.0
16272,,,Japan,2020-01-31,ConfirmedCases,4.0,Fatalities,0.0
16273,,,Japan,2020-02-01,ConfirmedCases,5.0,Fatalities,0.0
16274,,,Japan,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
16275,,,Japan,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
16276,,,Japan,2020-02-04,ConfirmedCases,2.0,Fatalities,0.0
16277,,,Japan,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
16278,,,Japan,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
16279,,,Japan,2020-02-07,ConfirmedCases,3.0,Fatalities,0.0
16280,,,Japan,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
16281,,,Japan,2020-02-09,ConfirmedCases,1.0,Fatalities,0.0
16282,,,Japan,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
16283,,,Japan,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
16284,,,Japan,2020-02-12,ConfirmedCases,2.0,Fatalities,0.0
16285,,,Japan,2020-02-13,ConfirmedCases,0.0,Fatalities,1.0
16286,,,Japan,2020-02-14,ConfirmedCases,1.0,Fatalities,0.0
16287,,,Japan,2020-02-15,ConfirmedCases,14.0,Fatalities,0.0
16288,,,Japan,2020-02-16,ConfirmedCases,16.0,Fatalities,0.0
16289,,,Japan,2020-02-17,ConfirmedCases,7.0,Fatalities,0.0
16290,,,Japan,2020-02-18,ConfirmedCases,8.0,Fatalities,0.0
16291,,,Japan,2020-02-19,ConfirmedCases,10.0,Fatalities,0.0
16292,,,Japan,2020-02-20,ConfirmedCases,10.0,Fatalities,0.0
16293,,,Japan,2020-02-21,ConfirmedCases,11.0,Fatalities,0.0
16294,,,Japan,2020-02-22,ConfirmedCases,17.0,Fatalities,0.0
16295,,,Japan,2020-02-23,ConfirmedCases,25.0,Fatalities,0.0
16296,,,Japan,2020-02-24,ConfirmedCases,12.0,Fatalities,0.0
16297,,,Japan,2020-02-25,ConfirmedCases,11.0,Fatalities,0.0
16298,,,Japan,2020-02-26,ConfirmedCases,19.0,Fatalities,1.0
16299,,,Japan,2020-02-27,ConfirmedCases,25.0,Fatalities,2.0
16300,,,Japan,2020-02-28,ConfirmedCases,14.0,Fatalities,0.0
16301,,,Japan,2020-02-29,ConfirmedCases,13.0,Fatalities,1.0
16302,,,Japan,2020-03-01,ConfirmedCases,15.0,Fatalities,1.0
16303,,,Japan,2020-03-02,ConfirmedCases,18.0,Fatalities,0.0
