,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
16692,,,"Korea, South",2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
16693,,,"Korea, South",2020-01-24,ConfirmedCases,1.0,Fatalities,0.0
16694,,,"Korea, South",2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
16695,,,"Korea, South",2020-01-26,ConfirmedCases,1.0,Fatalities,0.0
16696,,,"Korea, South",2020-01-27,ConfirmedCases,1.0,Fatalities,0.0
16697,,,"Korea, South",2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
16698,,,"Korea, South",2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
16699,,,"Korea, South",2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
16700,,,"Korea, South",2020-01-31,ConfirmedCases,7.0,Fatalities,0.0
16701,,,"Korea, South",2020-02-01,ConfirmedCases,1.0,Fatalities,0.0
16702,,,"Korea, South",2020-02-02,ConfirmedCases,3.0,Fatalities,0.0
16703,,,"Korea, South",2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
16704,,,"Korea, South",2020-02-04,ConfirmedCases,1.0,Fatalities,0.0
16705,,,"Korea, South",2020-02-05,ConfirmedCases,3.0,Fatalities,0.0
16706,,,"Korea, South",2020-02-06,ConfirmedCases,4.0,Fatalities,0.0
16707,,,"Korea, South",2020-02-07,ConfirmedCases,1.0,Fatalities,0.0
16708,,,"Korea, South",2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
16709,,,"Korea, South",2020-02-09,ConfirmedCases,1.0,Fatalities,0.0
16710,,,"Korea, South",2020-02-10,ConfirmedCases,2.0,Fatalities,0.0
16711,,,"Korea, South",2020-02-11,ConfirmedCases,1.0,Fatalities,0.0
16712,,,"Korea, South",2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
16713,,,"Korea, South",2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
16714,,,"Korea, South",2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
16715,,,"Korea, South",2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
16716,,,"Korea, South",2020-02-16,ConfirmedCases,1.0,Fatalities,0.0
16717,,,"Korea, South",2020-02-17,ConfirmedCases,1.0,Fatalities,0.0
16718,,,"Korea, South",2020-02-18,ConfirmedCases,1.0,Fatalities,0.0
16719,,,"Korea, South",2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
16720,,,"Korea, South",2020-02-20,ConfirmedCases,73.0,Fatalities,1.0
16721,,,"Korea, South",2020-02-21,ConfirmedCases,100.0,Fatalities,1.0
16722,,,"Korea, South",2020-02-22,ConfirmedCases,229.0,Fatalities,0.0
16723,,,"Korea, South",2020-02-23,ConfirmedCases,169.0,Fatalities,4.0
16724,,,"Korea, South",2020-02-24,ConfirmedCases,231.0,Fatalities,2.0
16725,,,"Korea, South",2020-02-25,ConfirmedCases,144.0,Fatalities,2.0
16726,,,"Korea, South",2020-02-26,ConfirmedCases,284.0,Fatalities,2.0
16727,,,"Korea, South",2020-02-27,ConfirmedCases,505.0,Fatalities,1.0
16728,,,"Korea, South",2020-02-28,ConfirmedCases,571.0,Fatalities,0.0
16729,,,"Korea, South",2020-02-29,ConfirmedCases,813.0,Fatalities,3.0
16730,,,"Korea, South",2020-03-01,ConfirmedCases,586.0,Fatalities,1.0
16731,,,"Korea, South",2020-03-02,ConfirmedCases,599.0,Fatalities,11.0
16732,,,"Korea, South",2020-03-03,ConfirmedCases,851.0,Fatalities,0.0
16733,,,"Korea, South",2020-03-04,ConfirmedCases,435.0,Fatalities,7.0
16734,,,"Korea, South",2020-03-05,ConfirmedCases,467.0,Fatalities,0.0
16735,,,"Korea, South",2020-03-06,ConfirmedCases,505.0,Fatalities,7.0
16736,,,"Korea, South",2020-03-07,ConfirmedCases,448.0,Fatalities,2.0
16737,,,"Korea, South",2020-03-08,ConfirmedCases,273.0,Fatalities,6.0
16738,,,"Korea, South",2020-03-09,ConfirmedCases,164.0,Fatalities,3.0
16739,,,"Korea, South",2020-03-10,ConfirmedCases,35.0,Fatalities,1.0
16740,,,"Korea, South",2020-03-11,ConfirmedCases,242.0,Fatalities,6.0
16741,,,"Korea, South",2020-03-12,ConfirmedCases,114.0,Fatalities,6.0
16742,,,"Korea, South",2020-03-13,ConfirmedCases,110.0,Fatalities,0.0
16743,,,"Korea, South",2020-03-14,ConfirmedCases,107.0,Fatalities,6.0
16744,,,"Korea, South",2020-03-15,ConfirmedCases,76.0,Fatalities,3.0
16745,,,"Korea, South",2020-03-16,ConfirmedCases,74.0,Fatalities,0.0
16746,,,"Korea, South",2020-03-17,ConfirmedCases,84.0,Fatalities,6.0
16747,,,"Korea, South",2020-03-18,ConfirmedCases,93.0,Fatalities,3.0
16748,,,"Korea, South",2020-03-19,ConfirmedCases,152.0,Fatalities,7.0
16749,,,"Korea, South",2020-03-20,ConfirmedCases,87.0,Fatalities,3.0
16750,,,"Korea, South",2020-03-21,ConfirmedCases,147.0,Fatalities,8.0
16751,,,"Korea, South",2020-03-22,ConfirmedCases,162.0,Fatalities,9.0
16752,,,"Korea, South",2020-03-23,ConfirmedCases,0.0,Fatalities,0.0
16753,,,"Korea, South",2020-03-24,ConfirmedCases,76.0,Fatalities,9.0
16754,,,"Korea, South",2020-03-25,ConfirmedCases,100.0,Fatalities,6.0
16755,,,"Korea, South",2020-03-26,ConfirmedCases,104.0,Fatalities,5.0
16756,,,"Korea, South",2020-03-27,ConfirmedCases,91.0,Fatalities,8.0
16757,,,"Korea, South",2020-03-28,ConfirmedCases,146.0,Fatalities,5.0
16758,,,"Korea, South",2020-03-29,ConfirmedCases,105.0,Fatalities,8.0
16759,,,"Korea, South",2020-03-30,ConfirmedCases,78.0,Fatalities,6.0
16760,,,"Korea, South",2020-03-31,ConfirmedCases,125.0,Fatalities,4.0
16761,,,"Korea, South",2020-04-01,ConfirmedCases,101.0,Fatalities,3.0
16762,,,"Korea, South",2020-04-02,ConfirmedCases,89.0,Fatalities,4.0
16763,,,"Korea, South",2020-04-03,ConfirmedCases,86.0,Fatalities,5.0
16764,,,"Korea, South",2020-04-04,ConfirmedCases,94.0,Fatalities,3.0
16765,,,"Korea, South",2020-04-05,ConfirmedCases,81.0,Fatalities,6.0
16766,,,"Korea, South",2020-04-06,ConfirmedCases,47.0,Fatalities,3.0
16767,,,"Korea, South",2020-04-07,ConfirmedCases,47.0,Fatalities,6.0
16768,,,"Korea, South",2020-04-08,ConfirmedCases,53.0,Fatalities,8.0
16769,,,"Korea, South",2020-04-09,ConfirmedCases,39.0,Fatalities,4.0
16770,,,"Korea, South",2020-04-10,ConfirmedCases,27.0,Fatalities,4.0
16771,,,"Korea, South",2020-04-11,ConfirmedCases,30.0,Fatalities,3.0
16772,,,"Korea, South",2020-04-12,ConfirmedCases,32.0,Fatalities,3.0
16773,,,"Korea, South",2020-04-13,ConfirmedCases,25.0,Fatalities,3.0
16774,,,"Korea, South",2020-04-14,ConfirmedCases,27.0,Fatalities,5.0
16775,,,"Korea, South",2020-04-15,ConfirmedCases,27.0,Fatalities,3.0
16776,,,"Korea, South",2020-04-16,ConfirmedCases,22.0,Fatalities,4.0
16777,,,"Korea, South",2020-04-17,ConfirmedCases,22.0,Fatalities,1.0
16778,,,"Korea, South",2020-04-18,ConfirmedCases,18.0,Fatalities,2.0
16779,,,"Korea, South",2020-04-19,ConfirmedCases,8.0,Fatalities,2.0
16780,,,"Korea, South",2020-04-20,ConfirmedCases,13.0,Fatalities,2.0
16781,,,"Korea, South",2020-04-21,ConfirmedCases,9.0,Fatalities,1.0
16782,,,"Korea, South",2020-04-22,ConfirmedCases,11.0,Fatalities,1.0
16783,,,"Korea, South",2020-04-23,ConfirmedCases,14.0,Fatalities,2.0
16784,,,"Korea, South",2020-04-24,ConfirmedCases,10.0,Fatalities,0.0
16785,,,"Korea, South",2020-04-25,ConfirmedCases,10.0,Fatalities,2.0
16786,,,"Korea, South",2020-04-26,ConfirmedCases,10.0,Fatalities,1.0
16787,,,"Korea, South",2020-04-27,ConfirmedCases,14.0,Fatalities,1.0
16788,,,"Korea, South",2020-04-28,ConfirmedCases,9.0,Fatalities,2.0
16789,,,"Korea, South",2020-04-29,ConfirmedCases,4.0,Fatalities,1.0
16790,,,"Korea, South",2020-04-30,ConfirmedCases,9.0,Fatalities,1.0
16791,,,"Korea, South",2020-05-01,ConfirmedCases,6.0,Fatalities,2.0
16792,,,"Korea, South",2020-05-02,ConfirmedCases,13.0,Fatalities,0.0
16793,,,"Korea, South",2020-05-03,ConfirmedCases,8.0,Fatalities,2.0
16794,,,"Korea, South",2020-05-04,ConfirmedCases,3.0,Fatalities,2.0
16795,,,"Korea, South",2020-05-05,ConfirmedCases,2.0,Fatalities,1.0
16796,,,"Korea, South",2020-05-06,ConfirmedCases,4.0,Fatalities,1.0
16797,,,"Korea, South",2020-05-07,ConfirmedCases,12.0,Fatalities,0.0
16798,,,"Korea, South",2020-05-08,ConfirmedCases,18.0,Fatalities,0.0
