,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
16906,,,Kuwait,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
16907,,,Kuwait,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
16908,,,Kuwait,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
16909,,,Kuwait,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
16910,,,Kuwait,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
16911,,,Kuwait,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
16912,,,Kuwait,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
16913,,,Kuwait,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
16914,,,Kuwait,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
16915,,,Kuwait,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
16916,,,Kuwait,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
16917,,,Kuwait,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
16918,,,Kuwait,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
16919,,,Kuwait,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
16920,,,Kuwait,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
16921,,,Kuwait,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
16922,,,Kuwait,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
16923,,,Kuwait,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
16924,,,Kuwait,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
16925,,,Kuwait,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
16926,,,Kuwait,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
16927,,,Kuwait,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
16928,,,Kuwait,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
16929,,,Kuwait,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
16930,,,Kuwait,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
16931,,,Kuwait,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
16932,,,Kuwait,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
16933,,,Kuwait,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
16934,,,Kuwait,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
16935,,,Kuwait,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
16936,,,Kuwait,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
16937,,,Kuwait,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
16938,,,Kuwait,2020-02-24,ConfirmedCases,1.0,Fatalities,0.0
16939,,,Kuwait,2020-02-25,ConfirmedCases,10.0,Fatalities,0.0
16940,,,Kuwait,2020-02-26,ConfirmedCases,15.0,Fatalities,0.0
16941,,,Kuwait,2020-02-27,ConfirmedCases,17.0,Fatalities,0.0
16942,,,Kuwait,2020-02-28,ConfirmedCases,2.0,Fatalities,0.0
16943,,,Kuwait,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
16944,,,Kuwait,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
16945,,,Kuwait,2020-03-02,ConfirmedCases,11.0,Fatalities,0.0
16946,,,Kuwait,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
16947,,,Kuwait,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
16948,,,Kuwait,2020-03-05,ConfirmedCases,2.0,Fatalities,0.0
16949,,,Kuwait,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
16950,,,Kuwait,2020-03-07,ConfirmedCases,3.0,Fatalities,0.0
16951,,,Kuwait,2020-03-08,ConfirmedCases,3.0,Fatalities,0.0
16952,,,Kuwait,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
16953,,,Kuwait,2020-03-10,ConfirmedCases,5.0,Fatalities,0.0
16954,,,Kuwait,2020-03-11,ConfirmedCases,3.0,Fatalities,0.0
16955,,,Kuwait,2020-03-12,ConfirmedCases,8.0,Fatalities,0.0
16956,,,Kuwait,2020-03-13,ConfirmedCases,0.0,Fatalities,0.0
16957,,,Kuwait,2020-03-14,ConfirmedCases,24.0,Fatalities,0.0
16958,,,Kuwait,2020-03-15,ConfirmedCases,8.0,Fatalities,0.0
16959,,,Kuwait,2020-03-16,ConfirmedCases,11.0,Fatalities,0.0
16960,,,Kuwait,2020-03-17,ConfirmedCases,7.0,Fatalities,0.0
16961,,,Kuwait,2020-03-18,ConfirmedCases,12.0,Fatalities,0.0
16962,,,Kuwait,2020-03-19,ConfirmedCases,6.0,Fatalities,0.0
16963,,,Kuwait,2020-03-20,ConfirmedCases,11.0,Fatalities,0.0
16964,,,Kuwait,2020-03-21,ConfirmedCases,17.0,Fatalities,0.0
16965,,,Kuwait,2020-03-22,ConfirmedCases,12.0,Fatalities,0.0
16966,,,Kuwait,2020-03-23,ConfirmedCases,1.0,Fatalities,0.0
16967,,,Kuwait,2020-03-24,ConfirmedCases,2.0,Fatalities,0.0
16968,,,Kuwait,2020-03-25,ConfirmedCases,4.0,Fatalities,0.0
16969,,,Kuwait,2020-03-26,ConfirmedCases,13.0,Fatalities,0.0
16970,,,Kuwait,2020-03-27,ConfirmedCases,17.0,Fatalities,0.0
16971,,,Kuwait,2020-03-28,ConfirmedCases,10.0,Fatalities,0.0
16972,,,Kuwait,2020-03-29,ConfirmedCases,20.0,Fatalities,0.0
16973,,,Kuwait,2020-03-30,ConfirmedCases,11.0,Fatalities,0.0
16974,,,Kuwait,2020-03-31,ConfirmedCases,23.0,Fatalities,0.0
16975,,,Kuwait,2020-04-01,ConfirmedCases,28.0,Fatalities,0.0
16976,,,Kuwait,2020-04-02,ConfirmedCases,25.0,Fatalities,0.0
16977,,,Kuwait,2020-04-03,ConfirmedCases,75.0,Fatalities,0.0
16978,,,Kuwait,2020-04-04,ConfirmedCases,62.0,Fatalities,1.0
16979,,,Kuwait,2020-04-05,ConfirmedCases,77.0,Fatalities,0.0
