,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
17120,,,Laos,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
17121,,,Laos,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
17122,,,Laos,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
17123,,,Laos,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
17124,,,Laos,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
17125,,,Laos,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
17126,,,Laos,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
17127,,,Laos,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
17128,,,Laos,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
17129,,,Laos,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
17130,,,Laos,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
17131,,,Laos,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
17132,,,Laos,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
17133,,,Laos,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
17134,,,Laos,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
17135,,,Laos,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
17136,,,Laos,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
17137,,,Laos,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
17138,,,Laos,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
17139,,,Laos,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
17140,,,Laos,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
17141,,,Laos,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
17142,,,Laos,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
17143,,,Laos,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
17144,,,Laos,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
17145,,,Laos,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
17146,,,Laos,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
17147,,,Laos,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
17148,,,Laos,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
17149,,,Laos,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
17150,,,Laos,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
17151,,,Laos,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
17152,,,Laos,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
17153,,,Laos,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
17154,,,Laos,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
17155,,,Laos,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
17156,,,Laos,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
17157,,,Laos,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
17158,,,Laos,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
17159,,,Laos,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
17160,,,Laos,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
17161,,,Laos,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
17162,,,Laos,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
17163,,,Laos,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
17164,,,Laos,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
17165,,,Laos,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
17166,,,Laos,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
17167,,,Laos,2020-03-10,ConfirmedCases,0.0,Fatalities,0.0
17168,,,Laos,2020-03-11,ConfirmedCases,0.0,Fatalities,0.0
17169,,,Laos,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
17170,,,Laos,2020-03-13,ConfirmedCases,0.0,Fatalities,0.0
17171,,,Laos,2020-03-14,ConfirmedCases,0.0,Fatalities,0.0
17172,,,Laos,2020-03-15,ConfirmedCases,0.0,Fatalities,0.0
17173,,,Laos,2020-03-16,ConfirmedCases,0.0,Fatalities,0.0
17174,,,Laos,2020-03-17,ConfirmedCases,0.0,Fatalities,0.0
17175,,,Laos,2020-03-18,ConfirmedCases,0.0,Fatalities,0.0
17176,,,Laos,2020-03-19,ConfirmedCases,0.0,Fatalities,0.0
17177,,,Laos,2020-03-20,ConfirmedCases,0.0,Fatalities,0.0
17178,,,Laos,2020-03-21,ConfirmedCases,0.0,Fatalities,0.0
17179,,,Laos,2020-03-22,ConfirmedCases,0.0,Fatalities,0.0
17180,,,Laos,2020-03-23,ConfirmedCases,0.0,Fatalities,0.0
17181,,,Laos,2020-03-24,ConfirmedCases,2.0,Fatalities,0.0
17182,,,Laos,2020-03-25,ConfirmedCases,1.0,Fatalities,0.0
17183,,,Laos,2020-03-26,ConfirmedCases,3.0,Fatalities,0.0
17184,,,Laos,2020-03-27,ConfirmedCases,0.0,Fatalities,0.0
17185,,,Laos,2020-03-28,ConfirmedCases,2.0,Fatalities,0.0
17186,,,Laos,2020-03-29,ConfirmedCases,0.0,Fatalities,0.0
17187,,,Laos,2020-03-30,ConfirmedCases,0.0,Fatalities,0.0
17188,,,Laos,2020-03-31,ConfirmedCases,1.0,Fatalities,0.0
17189,,,Laos,2020-04-01,ConfirmedCases,1.0,Fatalities,0.0
17190,,,Laos,2020-04-02,ConfirmedCases,0.0,Fatalities,0.0
17191,,,Laos,2020-04-03,ConfirmedCases,0.0,Fatalities,0.0
