,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
17334,,,Lebanon,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
17335,,,Lebanon,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
17336,,,Lebanon,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
17337,,,Lebanon,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
17338,,,Lebanon,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
17339,,,Lebanon,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
17340,,,Lebanon,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
17341,,,Lebanon,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
17342,,,Lebanon,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
17343,,,Lebanon,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
17344,,,Lebanon,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
17345,,,Lebanon,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
17346,,,Lebanon,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
17347,,,Lebanon,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
17348,,,Lebanon,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
17349,,,Lebanon,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
17350,,,Lebanon,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
17351,,,Lebanon,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
17352,,,Lebanon,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
17353,,,Lebanon,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
17354,,,Lebanon,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
17355,,,Lebanon,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
17356,,,Lebanon,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
17357,,,Lebanon,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
17358,,,Lebanon,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
17359,,,Lebanon,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
17360,,,Lebanon,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
17361,,,Lebanon,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
17362,,,Lebanon,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
17363,,,Lebanon,2020-02-21,ConfirmedCases,1.0,Fatalities,0.0
17364,,,Lebanon,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
17365,,,Lebanon,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
17366,,,Lebanon,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
17367,,,Lebanon,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
17368,,,Lebanon,2020-02-26,ConfirmedCases,1.0,Fatalities,0.0
17369,,,Lebanon,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
17370,,,Lebanon,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
17371,,,Lebanon,2020-02-29,ConfirmedCases,2.0,Fatalities,0.0
17372,,,Lebanon,2020-03-01,ConfirmedCases,6.0,Fatalities,0.0
17373,,,Lebanon,2020-03-02,ConfirmedCases,3.0,Fatalities,0.0
17374,,,Lebanon,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
17375,,,Lebanon,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
17376,,,Lebanon,2020-03-05,ConfirmedCases,3.0,Fatalities,0.0
17377,,,Lebanon,2020-03-06,ConfirmedCases,6.0,Fatalities,0.0
17378,,,Lebanon,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
17379,,,Lebanon,2020-03-08,ConfirmedCases,10.0,Fatalities,0.0
17380,,,Lebanon,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
17381,,,Lebanon,2020-03-10,ConfirmedCases,9.0,Fatalities,1.0
17382,,,Lebanon,2020-03-11,ConfirmedCases,20.0,Fatalities,2.0
17383,,,Lebanon,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
