,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
17441,,,Liberia,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
17442,,,Liberia,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
17443,,,Liberia,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
17444,,,Liberia,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
17445,,,Liberia,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
17446,,,Liberia,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
17447,,,Liberia,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
17448,,,Liberia,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
17449,,,Liberia,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
17450,,,Liberia,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
17451,,,Liberia,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
17452,,,Liberia,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
17453,,,Liberia,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
17454,,,Liberia,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
17455,,,Liberia,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
17456,,,Liberia,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
17457,,,Liberia,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
17458,,,Liberia,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
17459,,,Liberia,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
17460,,,Liberia,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
17461,,,Liberia,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
17462,,,Liberia,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
17463,,,Liberia,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
17464,,,Liberia,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
17465,,,Liberia,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
17466,,,Liberia,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
17467,,,Liberia,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
17468,,,Liberia,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
17469,,,Liberia,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
17470,,,Liberia,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
17471,,,Liberia,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
17472,,,Liberia,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
17473,,,Liberia,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
17474,,,Liberia,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
17475,,,Liberia,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
17476,,,Liberia,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
17477,,,Liberia,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
17478,,,Liberia,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
17479,,,Liberia,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
17480,,,Liberia,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
17481,,,Liberia,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
17482,,,Liberia,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
17483,,,Liberia,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
17484,,,Liberia,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
17485,,,Liberia,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
17486,,,Liberia,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
17487,,,Liberia,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
17488,,,Liberia,2020-03-10,ConfirmedCases,0.0,Fatalities,0.0
17489,,,Liberia,2020-03-11,ConfirmedCases,0.0,Fatalities,0.0
17490,,,Liberia,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
17491,,,Liberia,2020-03-13,ConfirmedCases,0.0,Fatalities,0.0
17492,,,Liberia,2020-03-14,ConfirmedCases,0.0,Fatalities,0.0
17493,,,Liberia,2020-03-15,ConfirmedCases,0.0,Fatalities,0.0
17494,,,Liberia,2020-03-16,ConfirmedCases,1.0,Fatalities,0.0
17495,,,Liberia,2020-03-17,ConfirmedCases,0.0,Fatalities,0.0
17496,,,Liberia,2020-03-18,ConfirmedCases,1.0,Fatalities,0.0
17497,,,Liberia,2020-03-19,ConfirmedCases,0.0,Fatalities,0.0
17498,,,Liberia,2020-03-20,ConfirmedCases,0.0,Fatalities,0.0
17499,,,Liberia,2020-03-21,ConfirmedCases,1.0,Fatalities,0.0
17500,,,Liberia,2020-03-22,ConfirmedCases,0.0,Fatalities,0.0
17501,,,Liberia,2020-03-23,ConfirmedCases,0.0,Fatalities,0.0
17502,,,Liberia,2020-03-24,ConfirmedCases,0.0,Fatalities,0.0
17503,,,Liberia,2020-03-25,ConfirmedCases,0.0,Fatalities,0.0
17504,,,Liberia,2020-03-26,ConfirmedCases,0.0,Fatalities,0.0
17505,,,Liberia,2020-03-27,ConfirmedCases,0.0,Fatalities,0.0
17506,,,Liberia,2020-03-28,ConfirmedCases,0.0,Fatalities,0.0
17507,,,Liberia,2020-03-29,ConfirmedCases,0.0,Fatalities,0.0
