,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
17762,,,Lithuania,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
17763,,,Lithuania,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
17764,,,Lithuania,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
17765,,,Lithuania,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
17766,,,Lithuania,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
17767,,,Lithuania,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
17768,,,Lithuania,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
17769,,,Lithuania,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
17770,,,Lithuania,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
17771,,,Lithuania,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
17772,,,Lithuania,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
17773,,,Lithuania,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
17774,,,Lithuania,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
17775,,,Lithuania,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
17776,,,Lithuania,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
17777,,,Lithuania,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
17778,,,Lithuania,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
17779,,,Lithuania,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
17780,,,Lithuania,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
17781,,,Lithuania,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
17782,,,Lithuania,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
17783,,,Lithuania,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
17784,,,Lithuania,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
17785,,,Lithuania,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
17786,,,Lithuania,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
17787,,,Lithuania,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
17788,,,Lithuania,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
17789,,,Lithuania,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
17790,,,Lithuania,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
17791,,,Lithuania,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
17792,,,Lithuania,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
17793,,,Lithuania,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
17794,,,Lithuania,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
