,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
17869,,,Luxembourg,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
17870,,,Luxembourg,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
17871,,,Luxembourg,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
17872,,,Luxembourg,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
17873,,,Luxembourg,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
17874,,,Luxembourg,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
17875,,,Luxembourg,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
17876,,,Luxembourg,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
17877,,,Luxembourg,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
17878,,,Luxembourg,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
17879,,,Luxembourg,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
17880,,,Luxembourg,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
17881,,,Luxembourg,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
17882,,,Luxembourg,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
17883,,,Luxembourg,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
17884,,,Luxembourg,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
17885,,,Luxembourg,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
17886,,,Luxembourg,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
17887,,,Luxembourg,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
17888,,,Luxembourg,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
17889,,,Luxembourg,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
17890,,,Luxembourg,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
17891,,,Luxembourg,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
17892,,,Luxembourg,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
17893,,,Luxembourg,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
17894,,,Luxembourg,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
17895,,,Luxembourg,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
17896,,,Luxembourg,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
17897,,,Luxembourg,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
17898,,,Luxembourg,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
17899,,,Luxembourg,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
17900,,,Luxembourg,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
17901,,,Luxembourg,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
17902,,,Luxembourg,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
17903,,,Luxembourg,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
17904,,,Luxembourg,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
