,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
17976,,,MS Zaandam,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
17977,,,MS Zaandam,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
17978,,,MS Zaandam,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
17979,,,MS Zaandam,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
17980,,,MS Zaandam,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
17981,,,MS Zaandam,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
17982,,,MS Zaandam,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
17983,,,MS Zaandam,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
17984,,,MS Zaandam,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
17985,,,MS Zaandam,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
17986,,,MS Zaandam,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
17987,,,MS Zaandam,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
17988,,,MS Zaandam,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
17989,,,MS Zaandam,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
17990,,,MS Zaandam,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
17991,,,MS Zaandam,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
17992,,,MS Zaandam,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
17993,,,MS Zaandam,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
17994,,,MS Zaandam,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
17995,,,MS Zaandam,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
17996,,,MS Zaandam,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
17997,,,MS Zaandam,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
17998,,,MS Zaandam,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
17999,,,MS Zaandam,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
18000,,,MS Zaandam,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
18001,,,MS Zaandam,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
18002,,,MS Zaandam,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
18003,,,MS Zaandam,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
18004,,,MS Zaandam,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
18005,,,MS Zaandam,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
