,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
18404,,,Maldives,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
18405,,,Maldives,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
18406,,,Maldives,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
18407,,,Maldives,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
18408,,,Maldives,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
18409,,,Maldives,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
18410,,,Maldives,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
18411,,,Maldives,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
18412,,,Maldives,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
18413,,,Maldives,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
18414,,,Maldives,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
18415,,,Maldives,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
18416,,,Maldives,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
18417,,,Maldives,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
18418,,,Maldives,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
18419,,,Maldives,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
18420,,,Maldives,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
18421,,,Maldives,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
18422,,,Maldives,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
18423,,,Maldives,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
18424,,,Maldives,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
18425,,,Maldives,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
18426,,,Maldives,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
18427,,,Maldives,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
18428,,,Maldives,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
18429,,,Maldives,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
18430,,,Maldives,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
18431,,,Maldives,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
18432,,,Maldives,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
18433,,,Maldives,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
18434,,,Maldives,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
18435,,,Maldives,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
18436,,,Maldives,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
18437,,,Maldives,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
18438,,,Maldives,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
18439,,,Maldives,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
18440,,,Maldives,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
18441,,,Maldives,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
18442,,,Maldives,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
18443,,,Maldives,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
18444,,,Maldives,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
18445,,,Maldives,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
18446,,,Maldives,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
18447,,,Maldives,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
18448,,,Maldives,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
18449,,,Maldives,2020-03-08,ConfirmedCases,4.0,Fatalities,0.0
18450,,,Maldives,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
18451,,,Maldives,2020-03-10,ConfirmedCases,2.0,Fatalities,0.0
18452,,,Maldives,2020-03-11,ConfirmedCases,2.0,Fatalities,0.0
18453,,,Maldives,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
18454,,,Maldives,2020-03-13,ConfirmedCases,1.0,Fatalities,0.0
18455,,,Maldives,2020-03-14,ConfirmedCases,1.0,Fatalities,0.0
18456,,,Maldives,2020-03-15,ConfirmedCases,3.0,Fatalities,0.0
18457,,,Maldives,2020-03-16,ConfirmedCases,0.0,Fatalities,0.0
18458,,,Maldives,2020-03-17,ConfirmedCases,0.0,Fatalities,0.0
18459,,,Maldives,2020-03-18,ConfirmedCases,0.0,Fatalities,0.0
18460,,,Maldives,2020-03-19,ConfirmedCases,0.0,Fatalities,0.0
18461,,,Maldives,2020-03-20,ConfirmedCases,0.0,Fatalities,0.0
18462,,,Maldives,2020-03-21,ConfirmedCases,0.0,Fatalities,0.0
18463,,,Maldives,2020-03-22,ConfirmedCases,0.0,Fatalities,0.0
18464,,,Maldives,2020-03-23,ConfirmedCases,0.0,Fatalities,0.0
18465,,,Maldives,2020-03-24,ConfirmedCases,0.0,Fatalities,0.0
18466,,,Maldives,2020-03-25,ConfirmedCases,0.0,Fatalities,0.0
18467,,,Maldives,2020-03-26,ConfirmedCases,0.0,Fatalities,0.0
18468,,,Maldives,2020-03-27,ConfirmedCases,3.0,Fatalities,0.0
18469,,,Maldives,2020-03-28,ConfirmedCases,0.0,Fatalities,0.0
18470,,,Maldives,2020-03-29,ConfirmedCases,1.0,Fatalities,0.0
18471,,,Maldives,2020-03-30,ConfirmedCases,0.0,Fatalities,0.0
18472,,,Maldives,2020-03-31,ConfirmedCases,1.0,Fatalities,0.0
18473,,,Maldives,2020-04-01,ConfirmedCases,1.0,Fatalities,0.0
18474,,,Maldives,2020-04-02,ConfirmedCases,0.0,Fatalities,0.0
18475,,,Maldives,2020-04-03,ConfirmedCases,0.0,Fatalities,0.0
18476,,,Maldives,2020-04-04,ConfirmedCases,0.0,Fatalities,0.0
18477,,,Maldives,2020-04-05,ConfirmedCases,0.0,Fatalities,0.0
18478,,,Maldives,2020-04-06,ConfirmedCases,0.0,Fatalities,0.0
18479,,,Maldives,2020-04-07,ConfirmedCases,0.0,Fatalities,0.0
18480,,,Maldives,2020-04-08,ConfirmedCases,0.0,Fatalities,0.0
18481,,,Maldives,2020-04-09,ConfirmedCases,0.0,Fatalities,0.0
18482,,,Maldives,2020-04-10,ConfirmedCases,0.0,Fatalities,0.0
18483,,,Maldives,2020-04-11,ConfirmedCases,0.0,Fatalities,0.0
18484,,,Maldives,2020-04-12,ConfirmedCases,1.0,Fatalities,0.0
18485,,,Maldives,2020-04-13,ConfirmedCases,0.0,Fatalities,0.0
18486,,,Maldives,2020-04-14,ConfirmedCases,0.0,Fatalities,0.0
18487,,,Maldives,2020-04-15,ConfirmedCases,2.0,Fatalities,0.0
18488,,,Maldives,2020-04-16,ConfirmedCases,3.0,Fatalities,0.0
18489,,,Maldives,2020-04-17,ConfirmedCases,3.0,Fatalities,0.0
18490,,,Maldives,2020-04-18,ConfirmedCases,7.0,Fatalities,0.0
18491,,,Maldives,2020-04-19,ConfirmedCases,17.0,Fatalities,0.0
18492,,,Maldives,2020-04-20,ConfirmedCases,17.0,Fatalities,0.0
18493,,,Maldives,2020-04-21,ConfirmedCases,14.0,Fatalities,0.0
18494,,,Maldives,2020-04-22,ConfirmedCases,3.0,Fatalities,0.0
18495,,,Maldives,2020-04-23,ConfirmedCases,22.0,Fatalities,0.0
18496,,,Maldives,2020-04-24,ConfirmedCases,21.0,Fatalities,0.0
18497,,,Maldives,2020-04-25,ConfirmedCases,48.0,Fatalities,0.0
18498,,,Maldives,2020-04-26,ConfirmedCases,37.0,Fatalities,0.0
18499,,,Maldives,2020-04-27,ConfirmedCases,12.0,Fatalities,0.0
18500,,,Maldives,2020-04-28,ConfirmedCases,24.0,Fatalities,0.0
18501,,,Maldives,2020-04-29,ConfirmedCases,28.0,Fatalities,1.0
18502,,,Maldives,2020-04-30,ConfirmedCases,190.0,Fatalities,0.0
18503,,,Maldives,2020-05-01,ConfirmedCases,23.0,Fatalities,0.0
18504,,,Maldives,2020-05-02,ConfirmedCases,28.0,Fatalities,0.0
18505,,,Maldives,2020-05-03,ConfirmedCases,8.0,Fatalities,0.0
18506,,,Maldives,2020-05-04,ConfirmedCases,14.0,Fatalities,0.0
18507,,,Maldives,2020-05-05,ConfirmedCases,32.0,Fatalities,1.0
18508,,,Maldives,2020-05-06,ConfirmedCases,44.0,Fatalities,0.0
18509,,,Maldives,2020-05-07,ConfirmedCases,31.0,Fatalities,1.0
18510,,,Maldives,2020-05-08,ConfirmedCases,96.0,Fatalities,0.0
