,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
18939,,,Mexico,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
18940,,,Mexico,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
18941,,,Mexico,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
18942,,,Mexico,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
18943,,,Mexico,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
18944,,,Mexico,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
18945,,,Mexico,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
18946,,,Mexico,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
18947,,,Mexico,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
18948,,,Mexico,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
18949,,,Mexico,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
18950,,,Mexico,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
18951,,,Mexico,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
18952,,,Mexico,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
18953,,,Mexico,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
18954,,,Mexico,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
18955,,,Mexico,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
18956,,,Mexico,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
18957,,,Mexico,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
18958,,,Mexico,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
18959,,,Mexico,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
18960,,,Mexico,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
18961,,,Mexico,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
18962,,,Mexico,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
18963,,,Mexico,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
18964,,,Mexico,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
18965,,,Mexico,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
18966,,,Mexico,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
18967,,,Mexico,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
18968,,,Mexico,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
18969,,,Mexico,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
18970,,,Mexico,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
18971,,,Mexico,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
18972,,,Mexico,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
18973,,,Mexico,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
18974,,,Mexico,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
18975,,,Mexico,2020-02-28,ConfirmedCases,1.0,Fatalities,0.0
18976,,,Mexico,2020-02-29,ConfirmedCases,3.0,Fatalities,0.0
18977,,,Mexico,2020-03-01,ConfirmedCases,1.0,Fatalities,0.0
18978,,,Mexico,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
18979,,,Mexico,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
18980,,,Mexico,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
18981,,,Mexico,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
18982,,,Mexico,2020-03-06,ConfirmedCases,1.0,Fatalities,0.0
18983,,,Mexico,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
18984,,,Mexico,2020-03-08,ConfirmedCases,1.0,Fatalities,0.0
