,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
19260,,,Mongolia,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
19261,,,Mongolia,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
19262,,,Mongolia,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
19263,,,Mongolia,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
19264,,,Mongolia,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
19265,,,Mongolia,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
19266,,,Mongolia,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
19267,,,Mongolia,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
19268,,,Mongolia,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
19269,,,Mongolia,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
19270,,,Mongolia,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
19271,,,Mongolia,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
19272,,,Mongolia,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
19273,,,Mongolia,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
19274,,,Mongolia,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
19275,,,Mongolia,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
19276,,,Mongolia,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
19277,,,Mongolia,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
19278,,,Mongolia,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
19279,,,Mongolia,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
19280,,,Mongolia,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
19281,,,Mongolia,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
19282,,,Mongolia,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
19283,,,Mongolia,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
19284,,,Mongolia,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
19285,,,Mongolia,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
19286,,,Mongolia,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
19287,,,Mongolia,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
19288,,,Mongolia,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
19289,,,Mongolia,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
19290,,,Mongolia,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
19291,,,Mongolia,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
19292,,,Mongolia,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
19293,,,Mongolia,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
19294,,,Mongolia,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
19295,,,Mongolia,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
19296,,,Mongolia,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
19297,,,Mongolia,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
19298,,,Mongolia,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
19299,,,Mongolia,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
19300,,,Mongolia,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
19301,,,Mongolia,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
19302,,,Mongolia,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
19303,,,Mongolia,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
19304,,,Mongolia,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
19305,,,Mongolia,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
19306,,,Mongolia,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
19307,,,Mongolia,2020-03-10,ConfirmedCases,1.0,Fatalities,0.0
19308,,,Mongolia,2020-03-11,ConfirmedCases,0.0,Fatalities,0.0
19309,,,Mongolia,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
19310,,,Mongolia,2020-03-13,ConfirmedCases,0.0,Fatalities,0.0
19311,,,Mongolia,2020-03-14,ConfirmedCases,0.0,Fatalities,0.0
19312,,,Mongolia,2020-03-15,ConfirmedCases,0.0,Fatalities,0.0
19313,,,Mongolia,2020-03-16,ConfirmedCases,0.0,Fatalities,0.0
19314,,,Mongolia,2020-03-17,ConfirmedCases,4.0,Fatalities,0.0
19315,,,Mongolia,2020-03-18,ConfirmedCases,1.0,Fatalities,0.0
19316,,,Mongolia,2020-03-19,ConfirmedCases,0.0,Fatalities,0.0
19317,,,Mongolia,2020-03-20,ConfirmedCases,0.0,Fatalities,0.0
19318,,,Mongolia,2020-03-21,ConfirmedCases,4.0,Fatalities,0.0
19319,,,Mongolia,2020-03-22,ConfirmedCases,0.0,Fatalities,0.0
19320,,,Mongolia,2020-03-23,ConfirmedCases,0.0,Fatalities,0.0
19321,,,Mongolia,2020-03-24,ConfirmedCases,0.0,Fatalities,0.0
19322,,,Mongolia,2020-03-25,ConfirmedCases,0.0,Fatalities,0.0
19323,,,Mongolia,2020-03-26,ConfirmedCases,1.0,Fatalities,0.0
19324,,,Mongolia,2020-03-27,ConfirmedCases,0.0,Fatalities,0.0
19325,,,Mongolia,2020-03-28,ConfirmedCases,1.0,Fatalities,0.0
19326,,,Mongolia,2020-03-29,ConfirmedCases,0.0,Fatalities,0.0
19327,,,Mongolia,2020-03-30,ConfirmedCases,0.0,Fatalities,0.0
19328,,,Mongolia,2020-03-31,ConfirmedCases,0.0,Fatalities,0.0
19329,,,Mongolia,2020-04-01,ConfirmedCases,2.0,Fatalities,0.0
19330,,,Mongolia,2020-04-02,ConfirmedCases,0.0,Fatalities,0.0
