,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
19688,,,Namibia,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
19689,,,Namibia,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
19690,,,Namibia,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
19691,,,Namibia,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
19692,,,Namibia,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
19693,,,Namibia,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
19694,,,Namibia,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
19695,,,Namibia,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
19696,,,Namibia,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
19697,,,Namibia,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
19698,,,Namibia,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
19699,,,Namibia,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
19700,,,Namibia,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
19701,,,Namibia,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
19702,,,Namibia,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
19703,,,Namibia,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
19704,,,Namibia,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
19705,,,Namibia,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
19706,,,Namibia,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
19707,,,Namibia,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
19708,,,Namibia,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
19709,,,Namibia,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
19710,,,Namibia,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
19711,,,Namibia,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
19712,,,Namibia,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
19713,,,Namibia,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
19714,,,Namibia,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
19715,,,Namibia,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
19716,,,Namibia,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
19717,,,Namibia,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
19718,,,Namibia,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
19719,,,Namibia,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
19720,,,Namibia,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
19721,,,Namibia,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
19722,,,Namibia,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
19723,,,Namibia,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
19724,,,Namibia,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
19725,,,Namibia,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
19726,,,Namibia,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
19727,,,Namibia,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
19728,,,Namibia,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
19729,,,Namibia,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
19730,,,Namibia,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
19731,,,Namibia,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
19732,,,Namibia,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
19733,,,Namibia,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
19734,,,Namibia,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
19735,,,Namibia,2020-03-10,ConfirmedCases,0.0,Fatalities,0.0
19736,,,Namibia,2020-03-11,ConfirmedCases,0.0,Fatalities,0.0
19737,,,Namibia,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
19738,,,Namibia,2020-03-13,ConfirmedCases,0.0,Fatalities,0.0
19739,,,Namibia,2020-03-14,ConfirmedCases,2.0,Fatalities,0.0
19740,,,Namibia,2020-03-15,ConfirmedCases,0.0,Fatalities,0.0
19741,,,Namibia,2020-03-16,ConfirmedCases,0.0,Fatalities,0.0
19742,,,Namibia,2020-03-17,ConfirmedCases,0.0,Fatalities,0.0
19743,,,Namibia,2020-03-18,ConfirmedCases,0.0,Fatalities,0.0
19744,,,Namibia,2020-03-19,ConfirmedCases,1.0,Fatalities,0.0
19745,,,Namibia,2020-03-20,ConfirmedCases,0.0,Fatalities,0.0
19746,,,Namibia,2020-03-21,ConfirmedCases,0.0,Fatalities,0.0
19747,,,Namibia,2020-03-22,ConfirmedCases,0.0,Fatalities,0.0
19748,,,Namibia,2020-03-23,ConfirmedCases,1.0,Fatalities,0.0
19749,,,Namibia,2020-03-24,ConfirmedCases,3.0,Fatalities,0.0
19750,,,Namibia,2020-03-25,ConfirmedCases,0.0,Fatalities,0.0
19751,,,Namibia,2020-03-26,ConfirmedCases,1.0,Fatalities,0.0
19752,,,Namibia,2020-03-27,ConfirmedCases,0.0,Fatalities,0.0
19753,,,Namibia,2020-03-28,ConfirmedCases,0.0,Fatalities,0.0
19754,,,Namibia,2020-03-29,ConfirmedCases,3.0,Fatalities,0.0
19755,,,Namibia,2020-03-30,ConfirmedCases,0.0,Fatalities,0.0
19756,,,Namibia,2020-03-31,ConfirmedCases,0.0,Fatalities,0.0
19757,,,Namibia,2020-04-01,ConfirmedCases,3.0,Fatalities,0.0
19758,,,Namibia,2020-04-02,ConfirmedCases,0.0,Fatalities,0.0
19759,,,Namibia,2020-04-03,ConfirmedCases,0.0,Fatalities,0.0
19760,,,Namibia,2020-04-04,ConfirmedCases,0.0,Fatalities,0.0
19761,,,Namibia,2020-04-05,ConfirmedCases,2.0,Fatalities,0.0
19762,,,Namibia,2020-04-06,ConfirmedCases,0.0,Fatalities,0.0
19763,,,Namibia,2020-04-07,ConfirmedCases,0.0,Fatalities,0.0
19764,,,Namibia,2020-04-08,ConfirmedCases,0.0,Fatalities,0.0
19765,,,Namibia,2020-04-09,ConfirmedCases,0.0,Fatalities,0.0
19766,,,Namibia,2020-04-10,ConfirmedCases,0.0,Fatalities,0.0
19767,,,Namibia,2020-04-11,ConfirmedCases,0.0,Fatalities,0.0
19768,,,Namibia,2020-04-12,ConfirmedCases,0.0,Fatalities,0.0
19769,,,Namibia,2020-04-13,ConfirmedCases,0.0,Fatalities,0.0
19770,,,Namibia,2020-04-14,ConfirmedCases,0.0,Fatalities,0.0
19771,,,Namibia,2020-04-15,ConfirmedCases,0.0,Fatalities,0.0
19772,,,Namibia,2020-04-16,ConfirmedCases,0.0,Fatalities,0.0
19773,,,Namibia,2020-04-17,ConfirmedCases,0.0,Fatalities,0.0
19774,,,Namibia,2020-04-18,ConfirmedCases,0.0,Fatalities,0.0
19775,,,Namibia,2020-04-19,ConfirmedCases,0.0,Fatalities,0.0
19776,,,Namibia,2020-04-20,ConfirmedCases,0.0,Fatalities,0.0
19777,,,Namibia,2020-04-21,ConfirmedCases,0.0,Fatalities,0.0
19778,,,Namibia,2020-04-22,ConfirmedCases,0.0,Fatalities,0.0
19779,,,Namibia,2020-04-23,ConfirmedCases,0.0,Fatalities,0.0
19780,,,Namibia,2020-04-24,ConfirmedCases,0.0,Fatalities,0.0
19781,,,Namibia,2020-04-25,ConfirmedCases,0.0,Fatalities,0.0
19782,,,Namibia,2020-04-26,ConfirmedCases,0.0,Fatalities,0.0
19783,,,Namibia,2020-04-27,ConfirmedCases,0.0,Fatalities,0.0
19784,,,Namibia,2020-04-28,ConfirmedCases,0.0,Fatalities,0.0
19785,,,Namibia,2020-04-29,ConfirmedCases,0.0,Fatalities,0.0
19786,,,Namibia,2020-04-30,ConfirmedCases,0.0,Fatalities,0.0
19787,,,Namibia,2020-05-01,ConfirmedCases,0.0,Fatalities,0.0
19788,,,Namibia,2020-05-02,ConfirmedCases,0.0,Fatalities,0.0
19789,,,Namibia,2020-05-03,ConfirmedCases,0.0,Fatalities,0.0
19790,,,Namibia,2020-05-04,ConfirmedCases,0.0,Fatalities,0.0
19791,,,Namibia,2020-05-05,ConfirmedCases,0.0,Fatalities,0.0
19792,,,Namibia,2020-05-06,ConfirmedCases,0.0,Fatalities,0.0
19793,,,Namibia,2020-05-07,ConfirmedCases,0.0,Fatalities,0.0
19794,,,Namibia,2020-05-08,ConfirmedCases,0.0,Fatalities,0.0
