,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
20330,,,Netherlands,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
20331,,,Netherlands,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
20332,,,Netherlands,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
20333,,,Netherlands,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
20334,,,Netherlands,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
20335,,,Netherlands,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
20336,,,Netherlands,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
20337,,,Netherlands,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
20338,,,Netherlands,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
20339,,,Netherlands,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
20340,,,Netherlands,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
20341,,,Netherlands,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
20342,,,Netherlands,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
20343,,,Netherlands,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
20344,,,Netherlands,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
20345,,,Netherlands,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
20346,,,Netherlands,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
20347,,,Netherlands,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
20348,,,Netherlands,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
20349,,,Netherlands,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
20350,,,Netherlands,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
20351,,,Netherlands,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
20352,,,Netherlands,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
20353,,,Netherlands,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
20354,,,Netherlands,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
20355,,,Netherlands,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
20356,,,Netherlands,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
20357,,,Netherlands,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
20358,,,Netherlands,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
20359,,,Netherlands,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
20360,,,Netherlands,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
20361,,,Netherlands,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
20362,,,Netherlands,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
20363,,,Netherlands,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
20364,,,Netherlands,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
20365,,,Netherlands,2020-02-27,ConfirmedCases,1.0,Fatalities,0.0
20366,,,Netherlands,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
20367,,,Netherlands,2020-02-29,ConfirmedCases,5.0,Fatalities,0.0
20368,,,Netherlands,2020-03-01,ConfirmedCases,4.0,Fatalities,0.0
20369,,,Netherlands,2020-03-02,ConfirmedCases,8.0,Fatalities,0.0
20370,,,Netherlands,2020-03-03,ConfirmedCases,6.0,Fatalities,0.0
20371,,,Netherlands,2020-03-04,ConfirmedCases,14.0,Fatalities,0.0
