,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
20972,,,Norway,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
20973,,,Norway,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
20974,,,Norway,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
20975,,,Norway,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
20976,,,Norway,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
20977,,,Norway,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
20978,,,Norway,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
20979,,,Norway,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
20980,,,Norway,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
20981,,,Norway,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
20982,,,Norway,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
20983,,,Norway,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
20984,,,Norway,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
20985,,,Norway,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
20986,,,Norway,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
20987,,,Norway,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
20988,,,Norway,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
20989,,,Norway,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
20990,,,Norway,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
20991,,,Norway,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
20992,,,Norway,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
20993,,,Norway,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
20994,,,Norway,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
20995,,,Norway,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
20996,,,Norway,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
20997,,,Norway,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
20998,,,Norway,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
20999,,,Norway,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
21000,,,Norway,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
21001,,,Norway,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
21002,,,Norway,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
21003,,,Norway,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
