,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
21079,,,Oman,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
21080,,,Oman,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
21081,,,Oman,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
21082,,,Oman,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
21083,,,Oman,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
21084,,,Oman,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
21085,,,Oman,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
21086,,,Oman,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
21087,,,Oman,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
21088,,,Oman,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
21089,,,Oman,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
21090,,,Oman,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
21091,,,Oman,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
21092,,,Oman,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
21093,,,Oman,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
21094,,,Oman,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
21095,,,Oman,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
21096,,,Oman,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
21097,,,Oman,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
21098,,,Oman,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
21099,,,Oman,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
21100,,,Oman,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
21101,,,Oman,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
21102,,,Oman,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
21103,,,Oman,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
21104,,,Oman,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
21105,,,Oman,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
21106,,,Oman,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
21107,,,Oman,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
21108,,,Oman,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
21109,,,Oman,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
21110,,,Oman,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
21111,,,Oman,2020-02-24,ConfirmedCases,2.0,Fatalities,0.0
21112,,,Oman,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
21113,,,Oman,2020-02-26,ConfirmedCases,2.0,Fatalities,0.0
21114,,,Oman,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
21115,,,Oman,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
21116,,,Oman,2020-02-29,ConfirmedCases,2.0,Fatalities,0.0
21117,,,Oman,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
21118,,,Oman,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
21119,,,Oman,2020-03-03,ConfirmedCases,6.0,Fatalities,0.0
21120,,,Oman,2020-03-04,ConfirmedCases,3.0,Fatalities,0.0
21121,,,Oman,2020-03-05,ConfirmedCases,1.0,Fatalities,0.0
21122,,,Oman,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
21123,,,Oman,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
21124,,,Oman,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
21125,,,Oman,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
21126,,,Oman,2020-03-10,ConfirmedCases,2.0,Fatalities,0.0
21127,,,Oman,2020-03-11,ConfirmedCases,0.0,Fatalities,0.0
21128,,,Oman,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
21129,,,Oman,2020-03-13,ConfirmedCases,1.0,Fatalities,0.0
21130,,,Oman,2020-03-14,ConfirmedCases,0.0,Fatalities,0.0
21131,,,Oman,2020-03-15,ConfirmedCases,3.0,Fatalities,0.0
21132,,,Oman,2020-03-16,ConfirmedCases,0.0,Fatalities,0.0
21133,,,Oman,2020-03-17,ConfirmedCases,2.0,Fatalities,0.0
21134,,,Oman,2020-03-18,ConfirmedCases,15.0,Fatalities,0.0
21135,,,Oman,2020-03-19,ConfirmedCases,9.0,Fatalities,0.0
21136,,,Oman,2020-03-20,ConfirmedCases,0.0,Fatalities,0.0
21137,,,Oman,2020-03-21,ConfirmedCases,4.0,Fatalities,0.0
21138,,,Oman,2020-03-22,ConfirmedCases,3.0,Fatalities,0.0
21139,,,Oman,2020-03-23,ConfirmedCases,11.0,Fatalities,0.0
21140,,,Oman,2020-03-24,ConfirmedCases,18.0,Fatalities,0.0
21141,,,Oman,2020-03-25,ConfirmedCases,15.0,Fatalities,0.0
21142,,,Oman,2020-03-26,ConfirmedCases,10.0,Fatalities,0.0
21143,,,Oman,2020-03-27,ConfirmedCases,22.0,Fatalities,0.0
21144,,,Oman,2020-03-28,ConfirmedCases,21.0,Fatalities,0.0
21145,,,Oman,2020-03-29,ConfirmedCases,15.0,Fatalities,0.0
21146,,,Oman,2020-03-30,ConfirmedCases,12.0,Fatalities,0.0
21147,,,Oman,2020-03-31,ConfirmedCases,13.0,Fatalities,1.0
21148,,,Oman,2020-04-01,ConfirmedCases,18.0,Fatalities,0.0
21149,,,Oman,2020-04-02,ConfirmedCases,21.0,Fatalities,0.0
21150,,,Oman,2020-04-03,ConfirmedCases,21.0,Fatalities,0.0
21151,,,Oman,2020-04-04,ConfirmedCases,25.0,Fatalities,1.0
21152,,,Oman,2020-04-05,ConfirmedCases,21.0,Fatalities,0.0
21153,,,Oman,2020-04-06,ConfirmedCases,33.0,Fatalities,0.0
21154,,,Oman,2020-04-07,ConfirmedCases,40.0,Fatalities,0.0
21155,,,Oman,2020-04-08,ConfirmedCases,48.0,Fatalities,0.0
21156,,,Oman,2020-04-09,ConfirmedCases,38.0,Fatalities,1.0
21157,,,Oman,2020-04-10,ConfirmedCases,27.0,Fatalities,0.0
21158,,,Oman,2020-04-11,ConfirmedCases,62.0,Fatalities,0.0
21159,,,Oman,2020-04-12,ConfirmedCases,53.0,Fatalities,1.0
21160,,,Oman,2020-04-13,ConfirmedCases,128.0,Fatalities,0.0
21161,,,Oman,2020-04-14,ConfirmedCases,86.0,Fatalities,0.0
21162,,,Oman,2020-04-15,ConfirmedCases,97.0,Fatalities,0.0
