,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
21186,,,Pakistan,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
21187,,,Pakistan,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
21188,,,Pakistan,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
21189,,,Pakistan,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
21190,,,Pakistan,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
21191,,,Pakistan,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
21192,,,Pakistan,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
21193,,,Pakistan,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
21194,,,Pakistan,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
21195,,,Pakistan,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
21196,,,Pakistan,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
21197,,,Pakistan,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
21198,,,Pakistan,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
21199,,,Pakistan,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
21200,,,Pakistan,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
21201,,,Pakistan,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
21202,,,Pakistan,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
21203,,,Pakistan,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
21204,,,Pakistan,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
21205,,,Pakistan,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
21206,,,Pakistan,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
21207,,,Pakistan,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
21208,,,Pakistan,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
21209,,,Pakistan,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
21210,,,Pakistan,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
21211,,,Pakistan,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
21212,,,Pakistan,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
21213,,,Pakistan,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
21214,,,Pakistan,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
21215,,,Pakistan,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
21216,,,Pakistan,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
21217,,,Pakistan,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
21218,,,Pakistan,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
21219,,,Pakistan,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
21220,,,Pakistan,2020-02-26,ConfirmedCases,2.0,Fatalities,0.0
21221,,,Pakistan,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
21222,,,Pakistan,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
21223,,,Pakistan,2020-02-29,ConfirmedCases,2.0,Fatalities,0.0
21224,,,Pakistan,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
21225,,,Pakistan,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
21226,,,Pakistan,2020-03-03,ConfirmedCases,1.0,Fatalities,0.0
21227,,,Pakistan,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
21228,,,Pakistan,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
21229,,,Pakistan,2020-03-06,ConfirmedCases,1.0,Fatalities,0.0
21230,,,Pakistan,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
21231,,,Pakistan,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
21232,,,Pakistan,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
21233,,,Pakistan,2020-03-10,ConfirmedCases,10.0,Fatalities,0.0
21234,,,Pakistan,2020-03-11,ConfirmedCases,3.0,Fatalities,0.0
21235,,,Pakistan,2020-03-12,ConfirmedCases,1.0,Fatalities,0.0
21236,,,Pakistan,2020-03-13,ConfirmedCases,8.0,Fatalities,0.0
21237,,,Pakistan,2020-03-14,ConfirmedCases,3.0,Fatalities,0.0
21238,,,Pakistan,2020-03-15,ConfirmedCases,22.0,Fatalities,0.0
21239,,,Pakistan,2020-03-16,ConfirmedCases,83.0,Fatalities,0.0
21240,,,Pakistan,2020-03-17,ConfirmedCases,100.0,Fatalities,0.0
21241,,,Pakistan,2020-03-18,ConfirmedCases,63.0,Fatalities,0.0
21242,,,Pakistan,2020-03-19,ConfirmedCases,155.0,Fatalities,2.0
21243,,,Pakistan,2020-03-20,ConfirmedCases,47.0,Fatalities,1.0
21244,,,Pakistan,2020-03-21,ConfirmedCases,229.0,Fatalities,0.0
21245,,,Pakistan,2020-03-22,ConfirmedCases,46.0,Fatalities,2.0
21246,,,Pakistan,2020-03-23,ConfirmedCases,99.0,Fatalities,1.0
21247,,,Pakistan,2020-03-24,ConfirmedCases,97.0,Fatalities,1.0
21248,,,Pakistan,2020-03-25,ConfirmedCases,91.0,Fatalities,1.0
21249,,,Pakistan,2020-03-26,ConfirmedCases,138.0,Fatalities,1.0
21250,,,Pakistan,2020-03-27,ConfirmedCases,172.0,Fatalities,2.0
21251,,,Pakistan,2020-03-28,ConfirmedCases,122.0,Fatalities,1.0
21252,,,Pakistan,2020-03-29,ConfirmedCases,102.0,Fatalities,2.0
21253,,,Pakistan,2020-03-30,ConfirmedCases,120.0,Fatalities,7.0
21254,,,Pakistan,2020-03-31,ConfirmedCases,221.0,Fatalities,5.0
21255,,,Pakistan,2020-04-01,ConfirmedCases,180.0,Fatalities,1.0
21256,,,Pakistan,2020-04-02,ConfirmedCases,303.0,Fatalities,7.0
21257,,,Pakistan,2020-04-03,ConfirmedCases,265.0,Fatalities,6.0
21258,,,Pakistan,2020-04-04,ConfirmedCases,132.0,Fatalities,1.0
21259,,,Pakistan,2020-04-05,ConfirmedCases,339.0,Fatalities,6.0
21260,,,Pakistan,2020-04-06,ConfirmedCases,609.0,Fatalities,6.0
21261,,,Pakistan,2020-04-07,ConfirmedCases,269.0,Fatalities,4.0
21262,,,Pakistan,2020-04-08,ConfirmedCases,228.0,Fatalities,4.0
21263,,,Pakistan,2020-04-09,ConfirmedCases,226.0,Fatalities,4.0
21264,,,Pakistan,2020-04-10,ConfirmedCases,206.0,Fatalities,1.0
21265,,,Pakistan,2020-04-11,ConfirmedCases,316.0,Fatalities,20.0
21266,,,Pakistan,2020-04-12,ConfirmedCases,219.0,Fatalities,5.0
21267,,,Pakistan,2020-04-13,ConfirmedCases,266.0,Fatalities,2.0
21268,,,Pakistan,2020-04-14,ConfirmedCases,341.0,Fatalities,3.0
21269,,,Pakistan,2020-04-15,ConfirmedCases,546.0,Fatalities,15.0
21270,,,Pakistan,2020-04-16,ConfirmedCases,536.0,Fatalities,17.0
21271,,,Pakistan,2020-04-17,ConfirmedCases,106.0,Fatalities,7.0
21272,,,Pakistan,2020-04-18,ConfirmedCases,613.0,Fatalities,8.0
21273,,,Pakistan,2020-04-19,ConfirmedCases,710.0,Fatalities,25.0
21274,,,Pakistan,2020-04-20,ConfirmedCases,70.0,Fatalities,8.0
21275,,,Pakistan,2020-04-21,ConfirmedCases,1147.0,Fatalities,25.0
21276,,,Pakistan,2020-04-22,ConfirmedCases,511.0,Fatalities,11.0
21277,,,Pakistan,2020-04-23,ConfirmedCases,1079.0,Fatalities,25.0
21278,,,Pakistan,2020-04-24,ConfirmedCases,785.0,Fatalities,16.0
21279,,,Pakistan,2020-04-25,ConfirmedCases,783.0,Fatalities,16.0
21280,,,Pakistan,2020-04-26,ConfirmedCases,605.0,Fatalities,12.0
21281,,,Pakistan,2020-04-27,ConfirmedCases,587.0,Fatalities,11.0
21282,,,Pakistan,2020-04-28,ConfirmedCases,697.0,Fatalities,20.0
21283,,,Pakistan,2020-04-29,ConfirmedCases,913.0,Fatalities,31.0
21284,,,Pakistan,2020-04-30,ConfirmedCases,1292.0,Fatalities,42.0
21285,,,Pakistan,2020-05-01,ConfirmedCases,1297.0,Fatalities,32.0
21286,,,Pakistan,2020-05-02,ConfirmedCases,989.0,Fatalities,23.0
21287,,,Pakistan,2020-05-03,ConfirmedCases,981.0,Fatalities,17.0
21288,,,Pakistan,2020-05-04,ConfirmedCases,857.0,Fatalities,19.0
21289,,,Pakistan,2020-05-05,ConfirmedCases,1108.0,Fatalities,38.0
21290,,,Pakistan,2020-05-06,ConfirmedCases,2024.0,Fatalities,50.0
21291,,,Pakistan,2020-05-07,ConfirmedCases,571.0,Fatalities,21.0
21292,,,Pakistan,2020-05-08,ConfirmedCases,1791.0,Fatalities,14.0
