,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
21507,,,Paraguay,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
21508,,,Paraguay,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
21509,,,Paraguay,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
21510,,,Paraguay,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
21511,,,Paraguay,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
21512,,,Paraguay,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
21513,,,Paraguay,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
21514,,,Paraguay,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
21515,,,Paraguay,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
21516,,,Paraguay,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
21517,,,Paraguay,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
21518,,,Paraguay,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
21519,,,Paraguay,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
21520,,,Paraguay,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
21521,,,Paraguay,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
21522,,,Paraguay,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
21523,,,Paraguay,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
21524,,,Paraguay,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
21525,,,Paraguay,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
21526,,,Paraguay,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
21527,,,Paraguay,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
21528,,,Paraguay,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
21529,,,Paraguay,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
21530,,,Paraguay,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
21531,,,Paraguay,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
21532,,,Paraguay,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
21533,,,Paraguay,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
21534,,,Paraguay,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
21535,,,Paraguay,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
21536,,,Paraguay,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
21537,,,Paraguay,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
21538,,,Paraguay,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
21539,,,Paraguay,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
21540,,,Paraguay,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
21541,,,Paraguay,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
21542,,,Paraguay,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
21543,,,Paraguay,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
21544,,,Paraguay,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
21545,,,Paraguay,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
21546,,,Paraguay,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
21547,,,Paraguay,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
21548,,,Paraguay,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
21549,,,Paraguay,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
21550,,,Paraguay,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
21551,,,Paraguay,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
21552,,,Paraguay,2020-03-08,ConfirmedCases,1.0,Fatalities,0.0
21553,,,Paraguay,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
21554,,,Paraguay,2020-03-10,ConfirmedCases,0.0,Fatalities,0.0
21555,,,Paraguay,2020-03-11,ConfirmedCases,4.0,Fatalities,0.0
