,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
21614,,,Peru,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
21615,,,Peru,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
21616,,,Peru,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
21617,,,Peru,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
21618,,,Peru,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
21619,,,Peru,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
21620,,,Peru,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
21621,,,Peru,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
21622,,,Peru,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
21623,,,Peru,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
21624,,,Peru,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
21625,,,Peru,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
21626,,,Peru,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
21627,,,Peru,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
21628,,,Peru,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
21629,,,Peru,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
21630,,,Peru,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
21631,,,Peru,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
21632,,,Peru,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
21633,,,Peru,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
21634,,,Peru,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
21635,,,Peru,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
21636,,,Peru,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
21637,,,Peru,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
21638,,,Peru,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
21639,,,Peru,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
21640,,,Peru,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
21641,,,Peru,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
21642,,,Peru,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
21643,,,Peru,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
21644,,,Peru,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
21645,,,Peru,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
21646,,,Peru,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
21647,,,Peru,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
21648,,,Peru,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
21649,,,Peru,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
21650,,,Peru,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
21651,,,Peru,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
21652,,,Peru,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
21653,,,Peru,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
21654,,,Peru,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
21655,,,Peru,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
21656,,,Peru,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
21657,,,Peru,2020-03-06,ConfirmedCases,1.0,Fatalities,0.0
21658,,,Peru,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
21659,,,Peru,2020-03-08,ConfirmedCases,5.0,Fatalities,0.0
21660,,,Peru,2020-03-09,ConfirmedCases,1.0,Fatalities,0.0
21661,,,Peru,2020-03-10,ConfirmedCases,4.0,Fatalities,0.0
21662,,,Peru,2020-03-11,ConfirmedCases,0.0,Fatalities,0.0
21663,,,Peru,2020-03-12,ConfirmedCases,4.0,Fatalities,0.0
21664,,,Peru,2020-03-13,ConfirmedCases,13.0,Fatalities,0.0
21665,,,Peru,2020-03-14,ConfirmedCases,10.0,Fatalities,0.0
21666,,,Peru,2020-03-15,ConfirmedCases,5.0,Fatalities,0.0
21667,,,Peru,2020-03-16,ConfirmedCases,43.0,Fatalities,0.0
21668,,,Peru,2020-03-17,ConfirmedCases,31.0,Fatalities,0.0
21669,,,Peru,2020-03-18,ConfirmedCases,28.0,Fatalities,0.0
21670,,,Peru,2020-03-19,ConfirmedCases,89.0,Fatalities,0.0
21671,,,Peru,2020-03-20,ConfirmedCases,0.0,Fatalities,3.0
21672,,,Peru,2020-03-21,ConfirmedCases,84.0,Fatalities,2.0
21673,,,Peru,2020-03-22,ConfirmedCases,45.0,Fatalities,0.0
21674,,,Peru,2020-03-23,ConfirmedCases,32.0,Fatalities,0.0
21675,,,Peru,2020-03-24,ConfirmedCases,21.0,Fatalities,2.0
21676,,,Peru,2020-03-25,ConfirmedCases,64.0,Fatalities,2.0
21677,,,Peru,2020-03-26,ConfirmedCases,100.0,Fatalities,0.0
21678,,,Peru,2020-03-27,ConfirmedCases,55.0,Fatalities,2.0
21679,,,Peru,2020-03-28,ConfirmedCases,36.0,Fatalities,5.0
21680,,,Peru,2020-03-29,ConfirmedCases,181.0,Fatalities,2.0
21681,,,Peru,2020-03-30,ConfirmedCases,98.0,Fatalities,6.0
21682,,,Peru,2020-03-31,ConfirmedCases,115.0,Fatalities,6.0
21683,,,Peru,2020-04-01,ConfirmedCases,258.0,Fatalities,8.0
21684,,,Peru,2020-04-02,ConfirmedCases,91.0,Fatalities,17.0
21685,,,Peru,2020-04-03,ConfirmedCases,181.0,Fatalities,6.0
21686,,,Peru,2020-04-04,ConfirmedCases,151.0,Fatalities,12.0
21687,,,Peru,2020-04-05,ConfirmedCases,535.0,Fatalities,10.0
21688,,,Peru,2020-04-06,ConfirmedCases,280.0,Fatalities,9.0
21689,,,Peru,2020-04-07,ConfirmedCases,393.0,Fatalities,15.0
21690,,,Peru,2020-04-08,ConfirmedCases,1388.0,Fatalities,14.0
21691,,,Peru,2020-04-09,ConfirmedCases,914.0,Fatalities,17.0
21692,,,Peru,2020-04-10,ConfirmedCases,641.0,Fatalities,31.0
21693,,,Peru,2020-04-11,ConfirmedCases,951.0,Fatalities,12.0
21694,,,Peru,2020-04-12,ConfirmedCases,671.0,Fatalities,12.0
