,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
21721,,,Philippines,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
21722,,,Philippines,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
21723,,,Philippines,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
21724,,,Philippines,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
21725,,,Philippines,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
21726,,,Philippines,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
21727,,,Philippines,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
21728,,,Philippines,2020-01-30,ConfirmedCases,1.0,Fatalities,0.0
21729,,,Philippines,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
21730,,,Philippines,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
21731,,,Philippines,2020-02-02,ConfirmedCases,1.0,Fatalities,1.0
21732,,,Philippines,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
21733,,,Philippines,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
21734,,,Philippines,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
21735,,,Philippines,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
21736,,,Philippines,2020-02-07,ConfirmedCases,1.0,Fatalities,0.0
21737,,,Philippines,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
21738,,,Philippines,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
21739,,,Philippines,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
21740,,,Philippines,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
21741,,,Philippines,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
21742,,,Philippines,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
21743,,,Philippines,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
21744,,,Philippines,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
21745,,,Philippines,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
21746,,,Philippines,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
21747,,,Philippines,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
21748,,,Philippines,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
21749,,,Philippines,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
21750,,,Philippines,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
21751,,,Philippines,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
21752,,,Philippines,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
21753,,,Philippines,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
21754,,,Philippines,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
21755,,,Philippines,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
21756,,,Philippines,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
21757,,,Philippines,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
21758,,,Philippines,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
21759,,,Philippines,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
21760,,,Philippines,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
21761,,,Philippines,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
21762,,,Philippines,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
21763,,,Philippines,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
21764,,,Philippines,2020-03-06,ConfirmedCases,2.0,Fatalities,0.0
21765,,,Philippines,2020-03-07,ConfirmedCases,1.0,Fatalities,0.0
21766,,,Philippines,2020-03-08,ConfirmedCases,4.0,Fatalities,0.0
21767,,,Philippines,2020-03-09,ConfirmedCases,10.0,Fatalities,0.0
21768,,,Philippines,2020-03-10,ConfirmedCases,13.0,Fatalities,0.0
21769,,,Philippines,2020-03-11,ConfirmedCases,16.0,Fatalities,0.0
21770,,,Philippines,2020-03-12,ConfirmedCases,3.0,Fatalities,1.0
21771,,,Philippines,2020-03-13,ConfirmedCases,12.0,Fatalities,3.0
21772,,,Philippines,2020-03-14,ConfirmedCases,47.0,Fatalities,3.0
21773,,,Philippines,2020-03-15,ConfirmedCases,29.0,Fatalities,3.0
21774,,,Philippines,2020-03-16,ConfirmedCases,2.0,Fatalities,1.0
21775,,,Philippines,2020-03-17,ConfirmedCases,45.0,Fatalities,0.0
21776,,,Philippines,2020-03-18,ConfirmedCases,15.0,Fatalities,7.0
21777,,,Philippines,2020-03-19,ConfirmedCases,15.0,Fatalities,-2.0
21778,,,Philippines,2020-03-20,ConfirmedCases,13.0,Fatalities,1.0
21779,,,Philippines,2020-03-21,ConfirmedCases,77.0,Fatalities,1.0
21780,,,Philippines,2020-03-22,ConfirmedCases,73.0,Fatalities,6.0
21781,,,Philippines,2020-03-23,ConfirmedCases,82.0,Fatalities,8.0
21782,,,Philippines,2020-03-24,ConfirmedCases,90.0,Fatalities,2.0
21783,,,Philippines,2020-03-25,ConfirmedCases,84.0,Fatalities,3.0
21784,,,Philippines,2020-03-26,ConfirmedCases,71.0,Fatalities,7.0
21785,,,Philippines,2020-03-27,ConfirmedCases,96.0,Fatalities,9.0
21786,,,Philippines,2020-03-28,ConfirmedCases,272.0,Fatalities,14.0
21787,,,Philippines,2020-03-29,ConfirmedCases,343.0,Fatalities,3.0
21788,,,Philippines,2020-03-30,ConfirmedCases,128.0,Fatalities,7.0
21789,,,Philippines,2020-03-31,ConfirmedCases,538.0,Fatalities,10.0
21790,,,Philippines,2020-04-01,ConfirmedCases,227.0,Fatalities,8.0
21791,,,Philippines,2020-04-02,ConfirmedCases,322.0,Fatalities,11.0
21792,,,Philippines,2020-04-03,ConfirmedCases,385.0,Fatalities,29.0
21793,,,Philippines,2020-04-04,ConfirmedCases,76.0,Fatalities,8.0
21794,,,Philippines,2020-04-05,ConfirmedCases,152.0,Fatalities,8.0
21795,,,Philippines,2020-04-06,ConfirmedCases,414.0,Fatalities,11.0
21796,,,Philippines,2020-04-07,ConfirmedCases,104.0,Fatalities,14.0
21797,,,Philippines,2020-04-08,ConfirmedCases,106.0,Fatalities,5.0
21798,,,Philippines,2020-04-09,ConfirmedCases,206.0,Fatalities,21.0
21799,,,Philippines,2020-04-10,ConfirmedCases,119.0,Fatalities,18.0
21800,,,Philippines,2020-04-11,ConfirmedCases,233.0,Fatalities,26.0
21801,,,Philippines,2020-04-12,ConfirmedCases,220.0,Fatalities,50.0
21802,,,Philippines,2020-04-13,ConfirmedCases,284.0,Fatalities,18.0
21803,,,Philippines,2020-04-14,ConfirmedCases,291.0,Fatalities,20.0
21804,,,Philippines,2020-04-15,ConfirmedCases,230.0,Fatalities,14.0
21805,,,Philippines,2020-04-16,ConfirmedCases,207.0,Fatalities,13.0
21806,,,Philippines,2020-04-17,ConfirmedCases,218.0,Fatalities,25.0
21807,,,Philippines,2020-04-18,ConfirmedCases,209.0,Fatalities,10.0
21808,,,Philippines,2020-04-19,ConfirmedCases,172.0,Fatalities,12.0
21809,,,Philippines,2020-04-20,ConfirmedCases,200.0,Fatalities,19.0
21810,,,Philippines,2020-04-21,ConfirmedCases,140.0,Fatalities,9.0
21811,,,Philippines,2020-04-22,ConfirmedCases,111.0,Fatalities,9.0
21812,,,Philippines,2020-04-23,ConfirmedCases,271.0,Fatalities,16.0
21813,,,Philippines,2020-04-24,ConfirmedCases,211.0,Fatalities,15.0
21814,,,Philippines,2020-04-25,ConfirmedCases,102.0,Fatalities,17.0
21815,,,Philippines,2020-04-26,ConfirmedCases,285.0,Fatalities,7.0
21816,,,Philippines,2020-04-27,ConfirmedCases,198.0,Fatalities,10.0
21817,,,Philippines,2020-04-28,ConfirmedCases,181.0,Fatalities,19.0
21818,,,Philippines,2020-04-29,ConfirmedCases,254.0,Fatalities,28.0
21819,,,Philippines,2020-04-30,ConfirmedCases,276.0,Fatalities,10.0
21820,,,Philippines,2020-05-01,ConfirmedCases,284.0,Fatalities,11.0
21821,,,Philippines,2020-05-02,ConfirmedCases,156.0,Fatalities,24.0
21822,,,Philippines,2020-05-03,ConfirmedCases,295.0,Fatalities,4.0
21823,,,Philippines,2020-05-04,ConfirmedCases,262.0,Fatalities,16.0
21824,,,Philippines,2020-05-05,ConfirmedCases,199.0,Fatalities,14.0
21825,,,Philippines,2020-05-06,ConfirmedCases,320.0,Fatalities,21.0
21826,,,Philippines,2020-05-07,ConfirmedCases,339.0,Fatalities,27.0
21827,,,Philippines,2020-05-08,ConfirmedCases,120.0,Fatalities,11.0
