,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
22042,,,Qatar,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
22043,,,Qatar,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
22044,,,Qatar,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
22045,,,Qatar,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
22046,,,Qatar,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
22047,,,Qatar,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
22048,,,Qatar,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
22049,,,Qatar,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
22050,,,Qatar,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
22051,,,Qatar,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
22052,,,Qatar,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
22053,,,Qatar,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
22054,,,Qatar,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
22055,,,Qatar,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
22056,,,Qatar,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
22057,,,Qatar,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
22058,,,Qatar,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
22059,,,Qatar,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
22060,,,Qatar,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
22061,,,Qatar,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
22062,,,Qatar,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
22063,,,Qatar,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
22064,,,Qatar,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
22065,,,Qatar,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
22066,,,Qatar,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
22067,,,Qatar,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
22068,,,Qatar,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
22069,,,Qatar,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
22070,,,Qatar,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
22071,,,Qatar,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
22072,,,Qatar,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
22073,,,Qatar,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
22074,,,Qatar,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
22075,,,Qatar,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
22076,,,Qatar,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
22077,,,Qatar,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
22078,,,Qatar,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
22079,,,Qatar,2020-02-29,ConfirmedCases,1.0,Fatalities,0.0
22080,,,Qatar,2020-03-01,ConfirmedCases,2.0,Fatalities,0.0
22081,,,Qatar,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
22082,,,Qatar,2020-03-03,ConfirmedCases,4.0,Fatalities,0.0
22083,,,Qatar,2020-03-04,ConfirmedCases,1.0,Fatalities,0.0
22084,,,Qatar,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
22085,,,Qatar,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
22086,,,Qatar,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
22087,,,Qatar,2020-03-08,ConfirmedCases,7.0,Fatalities,0.0
22088,,,Qatar,2020-03-09,ConfirmedCases,3.0,Fatalities,0.0
22089,,,Qatar,2020-03-10,ConfirmedCases,6.0,Fatalities,0.0
22090,,,Qatar,2020-03-11,ConfirmedCases,238.0,Fatalities,0.0
22091,,,Qatar,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
22092,,,Qatar,2020-03-13,ConfirmedCases,58.0,Fatalities,0.0
22093,,,Qatar,2020-03-14,ConfirmedCases,17.0,Fatalities,0.0
22094,,,Qatar,2020-03-15,ConfirmedCases,64.0,Fatalities,0.0
22095,,,Qatar,2020-03-16,ConfirmedCases,38.0,Fatalities,0.0
22096,,,Qatar,2020-03-17,ConfirmedCases,0.0,Fatalities,0.0
22097,,,Qatar,2020-03-18,ConfirmedCases,13.0,Fatalities,0.0
22098,,,Qatar,2020-03-19,ConfirmedCases,8.0,Fatalities,0.0
22099,,,Qatar,2020-03-20,ConfirmedCases,10.0,Fatalities,0.0
22100,,,Qatar,2020-03-21,ConfirmedCases,11.0,Fatalities,0.0
22101,,,Qatar,2020-03-22,ConfirmedCases,13.0,Fatalities,0.0
22102,,,Qatar,2020-03-23,ConfirmedCases,7.0,Fatalities,0.0
22103,,,Qatar,2020-03-24,ConfirmedCases,25.0,Fatalities,0.0
22104,,,Qatar,2020-03-25,ConfirmedCases,11.0,Fatalities,0.0
22105,,,Qatar,2020-03-26,ConfirmedCases,12.0,Fatalities,0.0
22106,,,Qatar,2020-03-27,ConfirmedCases,13.0,Fatalities,0.0
22107,,,Qatar,2020-03-28,ConfirmedCases,28.0,Fatalities,1.0
22108,,,Qatar,2020-03-29,ConfirmedCases,44.0,Fatalities,0.0
22109,,,Qatar,2020-03-30,ConfirmedCases,59.0,Fatalities,0.0
22110,,,Qatar,2020-03-31,ConfirmedCases,88.0,Fatalities,1.0
22111,,,Qatar,2020-04-01,ConfirmedCases,54.0,Fatalities,0.0
22112,,,Qatar,2020-04-02,ConfirmedCases,114.0,Fatalities,1.0
22113,,,Qatar,2020-04-03,ConfirmedCases,126.0,Fatalities,0.0
22114,,,Qatar,2020-04-04,ConfirmedCases,250.0,Fatalities,0.0
22115,,,Qatar,2020-04-05,ConfirmedCases,279.0,Fatalities,1.0
22116,,,Qatar,2020-04-06,ConfirmedCases,228.0,Fatalities,0.0
22117,,,Qatar,2020-04-07,ConfirmedCases,225.0,Fatalities,2.0
22118,,,Qatar,2020-04-08,ConfirmedCases,153.0,Fatalities,0.0
22119,,,Qatar,2020-04-09,ConfirmedCases,166.0,Fatalities,0.0
22120,,,Qatar,2020-04-10,ConfirmedCases,136.0,Fatalities,0.0
22121,,,Qatar,2020-04-11,ConfirmedCases,216.0,Fatalities,0.0
22122,,,Qatar,2020-04-12,ConfirmedCases,251.0,Fatalities,1.0
22123,,,Qatar,2020-04-13,ConfirmedCases,252.0,Fatalities,0.0
22124,,,Qatar,2020-04-14,ConfirmedCases,197.0,Fatalities,0.0
22125,,,Qatar,2020-04-15,ConfirmedCases,283.0,Fatalities,0.0
22126,,,Qatar,2020-04-16,ConfirmedCases,392.0,Fatalities,0.0
22127,,,Qatar,2020-04-17,ConfirmedCases,560.0,Fatalities,0.0
22128,,,Qatar,2020-04-18,ConfirmedCases,345.0,Fatalities,1.0
22129,,,Qatar,2020-04-19,ConfirmedCases,440.0,Fatalities,0.0
22130,,,Qatar,2020-04-20,ConfirmedCases,567.0,Fatalities,1.0
22131,,,Qatar,2020-04-21,ConfirmedCases,518.0,Fatalities,0.0
22132,,,Qatar,2020-04-22,ConfirmedCases,608.0,Fatalities,1.0
22133,,,Qatar,2020-04-23,ConfirmedCases,623.0,Fatalities,0.0
22134,,,Qatar,2020-04-24,ConfirmedCases,761.0,Fatalities,0.0
22135,,,Qatar,2020-04-25,ConfirmedCases,833.0,Fatalities,0.0
22136,,,Qatar,2020-04-26,ConfirmedCases,929.0,Fatalities,0.0
22137,,,Qatar,2020-04-27,ConfirmedCases,957.0,Fatalities,0.0
22138,,,Qatar,2020-04-28,ConfirmedCases,677.0,Fatalities,0.0
22139,,,Qatar,2020-04-29,ConfirmedCases,643.0,Fatalities,0.0
22140,,,Qatar,2020-04-30,ConfirmedCases,845.0,Fatalities,0.0
22141,,,Qatar,2020-05-01,ConfirmedCases,687.0,Fatalities,2.0
22142,,,Qatar,2020-05-02,ConfirmedCases,776.0,Fatalities,0.0
22143,,,Qatar,2020-05-03,ConfirmedCases,679.0,Fatalities,0.0
22144,,,Qatar,2020-05-04,ConfirmedCases,640.0,Fatalities,0.0
22145,,,Qatar,2020-05-05,ConfirmedCases,951.0,Fatalities,0.0
22146,,,Qatar,2020-05-06,ConfirmedCases,830.0,Fatalities,0.0
22147,,,Qatar,2020-05-07,ConfirmedCases,918.0,Fatalities,0.0
22148,,,Qatar,2020-05-08,ConfirmedCases,1311.0,Fatalities,0.0
