,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
22256,,,Russia,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
22257,,,Russia,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
22258,,,Russia,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
22259,,,Russia,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
22260,,,Russia,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
22261,,,Russia,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
22262,,,Russia,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
22263,,,Russia,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
22264,,,Russia,2020-01-31,ConfirmedCases,2.0,Fatalities,0.0
22265,,,Russia,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
22266,,,Russia,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
22267,,,Russia,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
22268,,,Russia,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
22269,,,Russia,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
22270,,,Russia,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
22271,,,Russia,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
22272,,,Russia,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
22273,,,Russia,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
22274,,,Russia,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
22275,,,Russia,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
22276,,,Russia,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
22277,,,Russia,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
22278,,,Russia,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
22279,,,Russia,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
22280,,,Russia,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
22281,,,Russia,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
22282,,,Russia,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
22283,,,Russia,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
22284,,,Russia,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
22285,,,Russia,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
22286,,,Russia,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
22287,,,Russia,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
22288,,,Russia,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
22289,,,Russia,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
22290,,,Russia,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
22291,,,Russia,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
22292,,,Russia,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
22293,,,Russia,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
22294,,,Russia,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
22295,,,Russia,2020-03-02,ConfirmedCases,1.0,Fatalities,0.0
22296,,,Russia,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
22297,,,Russia,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
22298,,,Russia,2020-03-05,ConfirmedCases,1.0,Fatalities,0.0
22299,,,Russia,2020-03-06,ConfirmedCases,9.0,Fatalities,0.0
22300,,,Russia,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
22301,,,Russia,2020-03-08,ConfirmedCases,4.0,Fatalities,0.0
22302,,,Russia,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
22303,,,Russia,2020-03-10,ConfirmedCases,3.0,Fatalities,0.0
22304,,,Russia,2020-03-11,ConfirmedCases,0.0,Fatalities,0.0
22305,,,Russia,2020-03-12,ConfirmedCases,8.0,Fatalities,0.0
22306,,,Russia,2020-03-13,ConfirmedCases,17.0,Fatalities,0.0
22307,,,Russia,2020-03-14,ConfirmedCases,14.0,Fatalities,0.0
22308,,,Russia,2020-03-15,ConfirmedCases,4.0,Fatalities,0.0
22309,,,Russia,2020-03-16,ConfirmedCases,27.0,Fatalities,0.0
22310,,,Russia,2020-03-17,ConfirmedCases,24.0,Fatalities,0.0
22311,,,Russia,2020-03-18,ConfirmedCases,33.0,Fatalities,0.0
22312,,,Russia,2020-03-19,ConfirmedCases,52.0,Fatalities,1.0
22313,,,Russia,2020-03-20,ConfirmedCases,54.0,Fatalities,0.0
22314,,,Russia,2020-03-21,ConfirmedCases,53.0,Fatalities,0.0
22315,,,Russia,2020-03-22,ConfirmedCases,61.0,Fatalities,0.0
22316,,,Russia,2020-03-23,ConfirmedCases,71.0,Fatalities,0.0
22317,,,Russia,2020-03-24,ConfirmedCases,57.0,Fatalities,0.0
22318,,,Russia,2020-03-25,ConfirmedCases,163.0,Fatalities,2.0
22319,,,Russia,2020-03-26,ConfirmedCases,182.0,Fatalities,0.0
22320,,,Russia,2020-03-27,ConfirmedCases,196.0,Fatalities,1.0
22321,,,Russia,2020-03-28,ConfirmedCases,228.0,Fatalities,0.0
