,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
22470,,,Saint Kitts and Nevis,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
22471,,,Saint Kitts and Nevis,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
22472,,,Saint Kitts and Nevis,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
22473,,,Saint Kitts and Nevis,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
22474,,,Saint Kitts and Nevis,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
22475,,,Saint Kitts and Nevis,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
22476,,,Saint Kitts and Nevis,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
22477,,,Saint Kitts and Nevis,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
22478,,,Saint Kitts and Nevis,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
22479,,,Saint Kitts and Nevis,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
22480,,,Saint Kitts and Nevis,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
22481,,,Saint Kitts and Nevis,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
22482,,,Saint Kitts and Nevis,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
22483,,,Saint Kitts and Nevis,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
22484,,,Saint Kitts and Nevis,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
22485,,,Saint Kitts and Nevis,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
22486,,,Saint Kitts and Nevis,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
22487,,,Saint Kitts and Nevis,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
22488,,,Saint Kitts and Nevis,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
22489,,,Saint Kitts and Nevis,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
22490,,,Saint Kitts and Nevis,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
22491,,,Saint Kitts and Nevis,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
22492,,,Saint Kitts and Nevis,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
22493,,,Saint Kitts and Nevis,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
22494,,,Saint Kitts and Nevis,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
22495,,,Saint Kitts and Nevis,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
22496,,,Saint Kitts and Nevis,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
22497,,,Saint Kitts and Nevis,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
22498,,,Saint Kitts and Nevis,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
22499,,,Saint Kitts and Nevis,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
22500,,,Saint Kitts and Nevis,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
22501,,,Saint Kitts and Nevis,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
22502,,,Saint Kitts and Nevis,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
22503,,,Saint Kitts and Nevis,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
22504,,,Saint Kitts and Nevis,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
22505,,,Saint Kitts and Nevis,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
22506,,,Saint Kitts and Nevis,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
22507,,,Saint Kitts and Nevis,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
22508,,,Saint Kitts and Nevis,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
22509,,,Saint Kitts and Nevis,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
22510,,,Saint Kitts and Nevis,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
22511,,,Saint Kitts and Nevis,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
22512,,,Saint Kitts and Nevis,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
22513,,,Saint Kitts and Nevis,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
22514,,,Saint Kitts and Nevis,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
22515,,,Saint Kitts and Nevis,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
22516,,,Saint Kitts and Nevis,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
22517,,,Saint Kitts and Nevis,2020-03-10,ConfirmedCases,0.0,Fatalities,0.0
22518,,,Saint Kitts and Nevis,2020-03-11,ConfirmedCases,0.0,Fatalities,0.0
22519,,,Saint Kitts and Nevis,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
22520,,,Saint Kitts and Nevis,2020-03-13,ConfirmedCases,0.0,Fatalities,0.0
22521,,,Saint Kitts and Nevis,2020-03-14,ConfirmedCases,0.0,Fatalities,0.0
22522,,,Saint Kitts and Nevis,2020-03-15,ConfirmedCases,0.0,Fatalities,0.0
22523,,,Saint Kitts and Nevis,2020-03-16,ConfirmedCases,0.0,Fatalities,0.0
22524,,,Saint Kitts and Nevis,2020-03-17,ConfirmedCases,0.0,Fatalities,0.0
22525,,,Saint Kitts and Nevis,2020-03-18,ConfirmedCases,0.0,Fatalities,0.0
22526,,,Saint Kitts and Nevis,2020-03-19,ConfirmedCases,0.0,Fatalities,0.0
22527,,,Saint Kitts and Nevis,2020-03-20,ConfirmedCases,0.0,Fatalities,0.0
22528,,,Saint Kitts and Nevis,2020-03-21,ConfirmedCases,0.0,Fatalities,0.0
22529,,,Saint Kitts and Nevis,2020-03-22,ConfirmedCases,0.0,Fatalities,0.0
22530,,,Saint Kitts and Nevis,2020-03-23,ConfirmedCases,0.0,Fatalities,0.0
22531,,,Saint Kitts and Nevis,2020-03-24,ConfirmedCases,0.0,Fatalities,0.0
22532,,,Saint Kitts and Nevis,2020-03-25,ConfirmedCases,2.0,Fatalities,0.0
22533,,,Saint Kitts and Nevis,2020-03-26,ConfirmedCases,0.0,Fatalities,0.0
22534,,,Saint Kitts and Nevis,2020-03-27,ConfirmedCases,0.0,Fatalities,0.0
22535,,,Saint Kitts and Nevis,2020-03-28,ConfirmedCases,0.0,Fatalities,0.0
22536,,,Saint Kitts and Nevis,2020-03-29,ConfirmedCases,0.0,Fatalities,0.0
22537,,,Saint Kitts and Nevis,2020-03-30,ConfirmedCases,5.0,Fatalities,0.0
