,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
22577,,,Saint Lucia,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
22578,,,Saint Lucia,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
22579,,,Saint Lucia,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
22580,,,Saint Lucia,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
22581,,,Saint Lucia,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
22582,,,Saint Lucia,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
22583,,,Saint Lucia,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
22584,,,Saint Lucia,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
22585,,,Saint Lucia,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
22586,,,Saint Lucia,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
22587,,,Saint Lucia,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
22588,,,Saint Lucia,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
22589,,,Saint Lucia,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
22590,,,Saint Lucia,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
22591,,,Saint Lucia,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
22592,,,Saint Lucia,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
22593,,,Saint Lucia,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
22594,,,Saint Lucia,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
22595,,,Saint Lucia,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
22596,,,Saint Lucia,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
22597,,,Saint Lucia,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
22598,,,Saint Lucia,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
22599,,,Saint Lucia,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
22600,,,Saint Lucia,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
22601,,,Saint Lucia,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
22602,,,Saint Lucia,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
22603,,,Saint Lucia,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
22604,,,Saint Lucia,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
